protein_extract_24d_scans,protein_extract_24_scans,protein_extract_32_scans,protein_extract_48_scans
-0.012557015754282475,-0.012820040807127953,-0.012599627953022718,-0.012206120416522026
-0.012478946708142757,-0.013157672248780727,-0.012833186890929937,-0.012604030780494213
-0.012967107351869345,-0.013227452524006367,-0.01245422288775444,-0.012681873515248299
,-0.01222946122288704,,
,-0.012552201747894287,,
,-0.012168035842478275,,
,-0.012416910380125046,,
,-0.012370878830552101,,
,-0.012292822357267141,,
,-0.012776209507137537,,
,-0.012640422210097313,,
,-0.012736749835312366,,
,-0.012063608504831791,,
,-0.012223954312503338,,
,-0.012105978094041348,,
