protein_extract_24_scans_mdi,protein_extract_32_scans_mdi
-0.013205926399677992,-0.01202712720260024
-0.012392946518957615,-0.012006960343569517
-0.013139301910996437,-0.011933480855077505
-0.012386192101985216,-0.012913748621940613
-0.01214000815525651,-0.012896392960101366
-0.0122218681499362,-0.0127514130435884
-0.012766561470925808,-0.013002600986510515
-0.012478225864470005,-0.012751426082104445
-0.012665546499192715,-0.01267109252512455
-0.01339062163606286,-0.012580746784806252
-0.012949783354997635,-0.01246956642717123
-0.012727511581033468,-0.012411595787853003
-0.012328445445746183,-0.01213505631312728
-0.012287810444831848,-0.007151474244892597
-0.01235883217304945,-0.012036682572215796
