protein_extract_24_scans_sample1,protein_extract_24_scans_sample2,protein_extract_24_scans_sample3,protein_extract_24_scans_sample4,protein_extract_24_scans_sample5,protein_extract_24_scans_sample6,protein_extract_24_scans_sample7,protein_extract_24_scans_sample8,protein_extract_24_scans_sample9,protein_extract_24_scans_sample10,protein_extract_24_scans_sample11,protein_extract_24_scans_sample12,protein_extract_24_scans_sample13,protein_extract_24_scans_sample14,protein_extract_24_scans_sample15
0.001295,0.000505,0.00126,0.000425,0.000145,0.00022,0.00075,0.00048499999999999997,0.0006125,0.0007250000000000001,0.0006925,0.0005949999999999999,0.00034250000000000003,0.000275,0.000365
0.0013174999999999999,0.000495,0.0012275,0.00031249999999999995,0.0001325,0.0002725,0.0006225,0.00030250000000000003,0.000465,0.00040249999999999997,0.0003475,0.00040750000000000004,0.0005200000000000001,0.0005125,0.0006
0.00116,0.000595,0.0011374999999999998,0.0001075,0.00017,0.00039,0.0004625,0.00013749999999999998,0.000315,7.75e-05,9e-05,0.0001875,0.000735,0.0007975,0.0007525000000000001
0.0008024999999999999,0.000595,0.0009699999999999999,9e-05,0.00031,0.000465,0.00041,0.0001025,0.0002825,8e-05,0.0001575,0.000125,0.0007125,0.00079,0.00061
0.000505,0.00038749999999999993,0.00081,0.00035999999999999997,0.0004925,0.000495,0.00044249999999999997,0.00013749999999999998,0.00032750000000000005,0.00022,0.00038,0.0001325,0.0004975,0.0005125,0.0003225
0.00035000000000000005,0.000195,0.00073,0.00059,0.0005775,0.0004875,0.0004325,0.0002275,0.0004275,0.000385,0.0005775,0.00022,0.0002625,0.00027249999999999996,0.00017
0.00018249999999999996,9.25e-05,0.0006425000000000001,0.0007025,0.0006399999999999999,0.0005525,0.000335,0.00035749999999999996,0.00054,0.00059,0.000715,0.0003975,0.000105,0.00018,0.000215
0.0001475,0.00012750000000000004,0.000565,0.00091,0.0008049999999999999,0.00075,0.000215,0.0003675,0.00044,0.0006225,0.00071,0.000545,3.2500000000000004e-05,0.000125,0.0003125
0.0003525,0.00031499999999999996,0.0006275,0.0010225,0.0008475000000000001,0.00081,0.0002175,0.0003275,0.0002525,0.0005,0.000715,0.000675,0.00018999999999999998,0.000225,0.00046249999999999997
0.0004975,0.00035250000000000006,0.0007124999999999999,0.0007624999999999999,0.0005625,0.000545,0.00038,0.00039999999999999996,0.000385,0.0005375,0.0008925000000000001,0.0008375,0.0006925000000000001,0.000595,0.00079
0.0005824999999999999,0.0002775,0.0008125,0.00034,0.0001475,0.0002375,0.00061,0.00057,0.0007575,0.0007925,0.0010825,0.00096,0.001165,0.000915,0.0010825
0.0007625,0.0004175,0.0010199999999999999,0.00021999999999999998,8.75e-05,0.00030250000000000003,0.00071,0.000645,0.0008649999999999999,0.0009525,0.000975,0.0009025,0.00109,0.0008475,0.0009975000000000001
0.0009149999999999999,0.00074,0.0012100000000000001,0.00043000000000000004,0.00044,0.0006475000000000001,0.0006375,0.0005399999999999999,0.00068,0.0008975000000000001,0.0007025,0.0007099999999999999,0.0006425000000000001,0.0005225000000000001,0.000695
0.001075,0.00106,0.0013149999999999998,0.0006025,0.0007700000000000001,0.0008075000000000001,0.0006749999999999999,0.0004725,0.0006075,0.00086,0.0006875,0.000635,0.000455,0.000305,0.0006000000000000001
0.001255,0.001235,0.00134,0.0006925,0.000975,0.00079,0.0007625,0.00048499999999999997,0.0006425000000000001,0.0008100000000000001,0.0008049999999999999,0.0006025000000000001,0.0005925,0.000295,0.000655
0.0012224999999999998,0.0012324999999999999,0.0012825,0.0008775,0.0011775,0.0008750000000000001,0.00058,0.0003975,0.000525,0.0006325,0.00068,0.000535,0.00065,0.000395,0.00067
0.00106,0.00114,0.00123,0.0010625,0.00128,0.0009775,0.0003725,0.0003775,0.00046,0.0006325,0.0005650000000000001,0.00068,0.0005325,0.00054,0.0007224999999999999
0.0010175,0.001035,0.0012025,0.0010475,0.00122,0.0008875,0.00048,0.000575,0.000615,0.0008625,0.0007599999999999999,0.0009625,0.0003675,0.0006325,0.000725
0.0010175,0.001,0.00113,0.00085,0.0011275,0.0006975,0.0006225,0.0006925,0.0006475000000000001,0.0008425,0.0008725,0.0009,0.00030500000000000004,0.00061,0.0006075
0.001005,0.00114,0.001095,0.0006425,0.00104,0.0006275,0.0005775,0.00058,0.00046750000000000003,0.0005575,0.0006925,0.0005225,0.0004375,0.0005549999999999999,0.000575
0.0010625,0.00126,0.0010675,0.0005075,0.0009450000000000001,0.0007474999999999999,0.0005425,0.000545,0.00043,0.0004275,0.00063,0.0003325,0.0005924999999999999,0.0004675,0.0006525
0.000965,0.000945,0.000775,0.00058,0.0009549999999999999,0.0009674999999999999,0.0005475,0.0006324999999999999,0.00057,0.0005075,0.0007725,0.0004125,0.0005725,0.0003575,0.0006575
0.0005525,0.00031000000000000005,0.000285,0.0008374999999999999,0.0010625,0.00108,0.0004175,0.000625,0.0006475000000000001,0.0005925,0.000835,0.0004825,0.0005225,0.0003375,0.0006175
0.00015999999999999999,-1e-05,1.5e-05,0.00102,0.0011225,0.0010575,0.0003275,0.00064,0.0007025,0.0007225,0.0008225,0.0005775,0.00059,0.000465,0.0006275
0.00016,0.0002225,0.000155,0.00099,0.001105,0.0011099999999999999,0.0005,0.0008475,0.000865,0.0009175,0.0008275,0.0008049999999999999,0.00064,0.00057,0.0006524999999999999
0.000275,0.00043499999999999995,0.00039000000000000005,0.000945,0.0010775,0.00122,0.0006825,0.0008925000000000001,0.0009375,0.0010075000000000001,0.0007574999999999999,0.0009575,0.0005924999999999999,0.000535,0.0007475
0.000255,0.0003325,0.0003925,0.0010175,0.001045,0.00116,0.0007350000000000001,0.0006975,0.0008525000000000001,0.0009649999999999999,0.0007525,0.0009600000000000001,0.00061,0.0005525,0.0009550000000000001
0.000515,0.00038500000000000003,0.000475,0.0009649999999999999,0.0008600000000000001,0.000895,0.0009024999999999999,0.0008625,0.0009025,0.0009975,0.0010049999999999998,0.0010724999999999999,0.0007825,0.0007574999999999999,0.0011375
0.0011099999999999999,0.0007675,0.000915,0.0007875,0.0006025,0.000575,0.00114,0.001345,0.0010925000000000002,0.0012000000000000001,0.0013275000000000001,0.0013175,0.0008724999999999999,0.000935,0.0011525
0.001485,0.001085,0.001285,0.0007,0.000475,0.0004575,0.0010575,0.00149,0.0010825000000000001,0.0012075,0.0013475,0.0013250000000000002,0.0006949999999999999,0.0009350000000000001,0.001
0.001185,0.001035,0.0011375,0.0007900000000000001,0.0006025,0.0006875,0.0007125,0.00113,0.0008975,0.0010625,0.0010875,0.0010500000000000002,0.00047,0.0008950000000000001,0.0008225
0.0005425,0.0007474999999999999,0.0007224999999999999,0.0008849999999999999,0.0007999999999999999,0.0009775,0.000635,0.0007975,0.0008874999999999999,0.0012075,0.000995,0.0009175,0.00041000000000000005,0.0008225,0.0006700000000000001
0.00042750000000000004,0.0007250000000000001,0.00061,0.0007375,0.0007675,0.0010075,0.00084,0.0008175,0.0009175,0.0013075,0.0010225,0.0009549999999999999,0.00034,0.0006475000000000001,0.00051
0.0009175,0.0010249999999999999,0.0008925,0.00067,0.0007750000000000001,0.001045,0.0008024999999999999,0.0008125000000000001,0.0007,0.0009649999999999999,0.0007700000000000001,0.0008425,0.00026500000000000004,0.0005200000000000001,0.0004900000000000001
0.0014075000000000001,0.00124,0.0012625,0.0011524999999999999,0.001245,0.0014099999999999998,0.000525,0.000575,0.0005099999999999999,0.0006175,0.00039,0.0006875,0.000415,0.000585,0.0007000000000000001
0.0017975,0.00147,0.00154,0.001745,0.0016825,0.0017699999999999999,0.00046750000000000003,0.000495,0.000665,0.0005925,0.00033,0.0007250000000000001,0.0007025,0.0008175000000000001,0.00101
0.002095,0.0017775,0.0016425,0.0016725000000000002,0.0015,0.0017050000000000001,0.0007374999999999999,0.00083,0.001,0.0008525,0.000685,0.0009475,0.00084,0.001105,0.001265
0.0020325,0.001755,0.0015575,0.0012100000000000001,0.0011975,0.0014075000000000001,0.0009925,0.0011099999999999999,0.0012125,0.0012375,0.0011975,0.0011425,0.0008024999999999999,0.0012575000000000002,0.00139
0.0016625000000000001,0.0013774999999999998,0.0012949999999999997,0.0009925,0.0012174999999999998,0.0012425,0.0010175,0.0010075,0.0011975000000000002,0.0013575,0.001575,0.0011125,0.0007199999999999999,0.0011949999999999999,0.001325
0.0013575,0.0011575000000000001,0.00103,0.0009900000000000002,0.0012025,0.0012325,0.0008650000000000001,0.0007300000000000001,0.0009575,0.0009825,0.00148,0.0007975,0.000735,0.0010724999999999999,0.001165
0.00138,0.0013375,0.00103,0.0007275,0.000815,0.001085,0.0006525,0.0006274999999999999,0.00066,0.0005675,0.0009674999999999999,0.000465,0.0008325,0.001105,0.001145
0.0014375,0.00152,0.0011324999999999998,0.000275,0.000365,0.0007325,0.000515,0.000715,0.000495,0.0005575,0.0005924999999999999,0.0003575,0.0008875,0.001225,0.0012625
0.0011925,0.0013474999999999997,0.0009625,8.5e-05,0.0002,0.0005600000000000001,0.0005,0.0008525,0.00045,0.0006450000000000001,0.0005124999999999999,0.00041500000000000006,0.0009025,0.0012799999999999999,0.001385
0.000715,0.0008725,0.000525,0.00030500000000000004,0.00035,0.00071,0.00051,0.0008449999999999999,0.000445,0.000645,0.0004525,0.00056,0.0010175,0.0012625,0.0015725
0.00025,0.0004275,0.00021999999999999998,0.0008049999999999999,0.0008024999999999999,0.0009774999999999999,0.0004275,0.000585,0.0005,0.0007375,0.0003475,0.0007675,0.0012725,0.001225,0.0018475
0.00011750000000000001,0.0004675,0.000365,0.0012850000000000001,0.0013599999999999999,0.0012675,0.000385,0.00045000000000000004,0.0007175,0.0008625,0.00047749999999999995,0.0009325,0.0013375000000000001,0.0010600000000000002,0.0018774999999999998
0.00031999999999999997,0.0007524999999999999,0.0007675,0.0014675,0.0016725,0.0014875,0.0005425,0.0006850000000000001,0.0009375,0.000855,0.0008774999999999999,0.0008925000000000001,0.00096,0.0008250000000000001,0.0015
0.0005725,0.000825,0.00092,0.0013499999999999999,0.001585,0.00152,0.0007700000000000001,0.000945,0.0008925000000000001,0.0007725,0.00113,0.00069,0.0005625000000000001,0.0008725,0.0011275
0.0010375,0.0010624999999999999,0.0008500000000000001,0.0009250000000000001,0.0010525,0.00132,0.000875,0.00113,0.00067,0.000555,0.0010400000000000001,0.0005875,0.000605,0.0011725000000000001,0.0011575000000000001
0.0014700000000000002,0.00136,0.0008475,0.0006875000000000001,0.0006375,0.001115,0.0007275000000000001,0.0010299999999999999,0.00042750000000000004,0.0004025,0.00071,0.0005549999999999999,0.0009425,0.00149,0.00163
0.0013025,0.0010775,0.0008325,0.0009824999999999999,0.0007925,0.0010500000000000002,0.00036499999999999993,0.0004925,0.0002225,0.0004525,0.00035,0.0003725,0.0013,0.00182,0.002225
0.000795,0.0005175,0.000695,0.0012200000000000002,0.0009375,0.000915,0.000125,0.0002475,0.00021,0.0005250000000000001,0.00023750000000000003,0.000155,0.0015400000000000001,0.002075,0.0025249999999999995
0.0007049999999999999,0.0005549999999999999,0.0005925,0.0008125000000000001,0.000535,0.0006225,0.00037,0.0008950000000000001,0.0006500000000000001,0.00063,0.0005225,0.00034250000000000003,0.0014724999999999999,0.0020599999999999998,0.0024425
0.00088,0.0008874999999999999,0.00068,0.00037,0.00026750000000000005,0.0004275,0.000895,0.0014725000000000003,0.0013525,0.0011375,0.00091,0.0009599999999999999,0.0011324999999999998,0.0018375,0.0022250000000000004
0.0012749999999999999,0.0012925,0.0010325,0.00023500000000000002,0.00033,0.00047250000000000005,0.0012274999999999999,0.0015425000000000003,0.0017325,0.0015000000000000002,0.001045,0.0013874999999999998,0.0007300000000000001,0.0014475,0.0018075
0.0016925,0.0017000000000000001,0.001395,0.0002975,0.000515,0.0007625,0.0011975,0.0015175,0.001565,0.001325,0.0009375000000000001,0.0013325,0.00037999999999999997,0.0008075000000000001,0.0011424999999999999
0.00141,0.00147,0.0014325000000000002,0.0009475,0.001155,0.0012925,0.0010999999999999998,0.0013775,0.0013675,0.0013175,0.0009299999999999999,0.0012000000000000001,0.00021500000000000002,0.00028,0.000605
0.00118,0.0012625,0.0012950000000000001,0.0015925000000000002,0.00163,0.0017975,0.001195,0.0016649999999999998,0.001435,0.001315,0.00124,0.0013125,0.000405,0.0003725,0.000585
0.0013725,0.0014199999999999998,0.00123,0.0016875,0.0016075,0.0018625,0.001235,0.0020475,0.0013975,0.0011650000000000002,0.0013925,0.001405,0.0008175,0.0008324999999999999,0.001015
0.0014375000000000002,0.0014075,0.0012374999999999999,0.0014725,0.0013275,0.0014475,0.0010650000000000002,0.0018000000000000002,0.0011225,0.0011375,0.001105,0.0012274999999999999,0.00114,0.0011350000000000002,0.0014025
0.00151,0.001335,0.0011925,0.0010625,0.0007775,0.000865,0.0009275,0.0014199999999999998,0.00096,0.00116,0.0008024999999999999,0.00098,0.00133,0.0012799999999999999,0.001645
0.0015800000000000002,0.00133,0.0011,0.00103,0.0006325,0.00066,0.000995,0.0012050000000000001,0.00114,0.0013475000000000002,0.0008375,0.0008725,0.0015325,0.0015300000000000001,0.0019525
0.0019249999999999998,0.0018025,0.00123,0.0012225,0.0007974999999999999,0.000915,0.0010525,0.0012675,0.0013725,0.001195,0.00097,0.0007850000000000001,0.0017125,0.0019025000000000001,0.0021325
0.002245,0.0022675,0.0014849999999999998,0.00124,0.0008374999999999999,0.0011250000000000001,0.0008500000000000001,0.0012475000000000001,0.0013475000000000002,0.000845,0.0009,0.0006850000000000001,0.00168,0.00199,0.0019975
0.0020525,0.00202,0.00154,0.0012799999999999999,0.0009525,0.0010125,0.0007725,0.0009925000000000001,0.0013775,0.0009874999999999999,0.0009625,0.0007624999999999999,0.0013575,0.00162,0.0016549999999999998
0.0020099999999999996,0.00181,0.00143,0.0011075,0.0008975000000000001,0.00075,0.0011350000000000002,0.0013050000000000002,0.0016375,0.0012100000000000001,0.0013425,0.0010425,0.0008975,0.00113,0.0012375
0.00212,0.00185,0.0012025,0.000925,0.0008150000000000001,0.0007175,0.0013875,0.00185,0.0017025,0.0011325,0.0014925,0.0012225,0.000625,0.0009125000000000001,0.0010049999999999998
0.0018350000000000003,0.001625,0.0008125000000000001,0.0010075000000000001,0.00093,0.001045,0.0011775,0.0020499999999999997,0.001505,0.0009575,0.0011975000000000002,0.0012525000000000001,0.0006025,0.0009024999999999999,0.0010450000000000001
0.001125,0.0010175,0.000525,0.001545,0.00147,0.0015775,0.0009825,0.0018375000000000002,0.0014125,0.001225,0.0008775000000000001,0.0014375,0.000595,0.000835,0.0011825
0.0006125,0.000535,0.0007925,0.0025800000000000003,0.0024275,0.0021175,0.00122,0.0013575,0.001525,0.0018225,0.0009425,0.0017425,0.0005424999999999999,0.00084,0.0012675
0.001135,0.000915,0.00142,0.00306,0.002645,0.002285,0.0015925000000000002,0.0014025,0.00164,0.0016350000000000002,0.001395,0.0017975,0.0006399999999999999,0.0011975,0.00125
0.0018425,0.0014525,0.0014825,0.0023925,0.0018025,0.00182,0.0015475,0.0018675,0.001575,0.0009625000000000001,0.0016,0.0015399999999999997,0.0008,0.0014474999999999998,0.0011975
0.0018325000000000001,0.00145,0.001095,0.0016,0.001125,0.0013175,0.00124,0.0018774999999999998,0.0014175,0.0007275000000000001,0.001345,0.0012975,0.00091,0.0013774999999999998,0.001255
0.0014274999999999997,0.0011325,0.0007475,0.0012825,0.0010249999999999999,0.0011350000000000002,0.0009425,0.0014399999999999999,0.0011949999999999999,0.0007100000000000001,0.00093,0.001055,0.0011275,0.0014349999999999999,0.0015275
0.0011275,0.0008275,0.00055,0.00126,0.0011225,0.0010674999999999999,0.000715,0.0009824999999999999,0.0009975000000000001,0.00076,0.0007075,0.00081,0.001445,0.0017625,0.002035
0.0013475000000000002,0.00095,0.00069,0.0010925,0.0010375,0.0008799999999999999,0.0006825000000000001,0.0008275,0.001065,0.0009725,0.0008025000000000002,0.000815,0.0017875,0.00215,0.00272
0.00205,0.0015225,0.0014575,0.00098,0.00105,0.0007025,0.000925,0.0008700000000000001,0.0013999999999999998,0.0014,0.000975,0.001065,0.0021825000000000004,0.002575,0.0034024999999999997
0.0028175,0.0021,0.002395,0.0010625,0.0012725,0.0007075,0.0013525,0.0013025,0.0017074999999999998,0.001695,0.001165,0.0013025,0.002445,0.0029675,0.0036074999999999996
0.0030499999999999998,0.0021449999999999998,0.00247,0.0008975000000000001,0.0012175,0.0007325000000000001,0.0016224999999999998,0.001965,0.00174,0.0015775,0.0014525,0.0013449999999999998,0.002205,0.0027575000000000004,0.0030499999999999998
0.0025975,0.0016975,0.0018675,0.0006,0.0009275,0.000685,0.0013224999999999999,0.00187,0.0013475000000000002,0.0012325,0.001495,0.0010375,0.001595,0.0019775,0.0021975
0.0021425,0.0014325,0.0015175,0.0006275,0.0008325,0.0007775000000000001,0.00073,0.0012900000000000001,0.0008225,0.000885,0.001215,0.0006275,0.0010474999999999998,0.0012799999999999999,0.0015700000000000002
0.00201,0.001545,0.0015525,0.0008975000000000001,0.0009625,0.0009525,0.0005525,0.0011925,0.00077,0.0008225,0.001005,0.0005549999999999999,0.0008024999999999999,0.0009549999999999999,0.0013224999999999999
0.0018700000000000001,0.0016325,0.0015325,0.0012675,0.001235,0.0010825000000000001,0.0008575000000000001,0.0014449999999999999,0.0011775,0.00114,0.00102,0.0008325000000000001,0.0009599999999999999,0.0010125,0.001475
0.00179,0.0017000000000000001,0.0013800000000000002,0.00151,0.0015175000000000002,0.0012775,0.00107,0.001755,0.00145,0.0013124999999999999,0.0009725000000000001,0.0011175,0.0014075,0.001335,0.0018199999999999998
0.00154,0.0015149999999999999,0.00124,0.0016175,0.0018874999999999999,0.0015149999999999999,0.0008900000000000001,0.0017625,0.0013050000000000002,0.0013375000000000001,0.0007225,0.0010825,0.00175,0.0016775000000000002,0.00208
0.00113,0.0011125,0.0011775000000000002,0.0016549999999999998,0.0020675000000000003,0.0016275,0.0005725,0.0013375,0.0008725,0.0012699999999999999,0.0004225,0.0006649999999999999,0.0019125000000000001,0.00197,0.0021449999999999998
0.0013625,0.0013900000000000002,0.00124,0.0013050000000000002,0.0013599999999999999,0.0015525,0.00044750000000000004,0.0011875,0.000485,0.0008025,0.0002725,0.0003125,0.0021375,0.002215,0.0022224999999999996
0.0014825,0.0015400000000000001,0.0013425,0.0011525,0.0006675,0.001175,0.0005425,0.001045,0.00043,0.0008224999999999999,0.00030000000000000003,0.000385,0.0024625,0.002345,0.00249
