Created as New Dataset,Sample 028 By Analyst Date Thursday, March 27 2025
cm-1,A
4000.00,-0.0969
3999.00,-0.0969
3998.00,-0.0969
3997.00,-0.0969
3996.00,-0.0969
3995.00,-0.0969
3994.00,-0.0969
3993.00,-0.0969
3992.00,-0.0968
3991.00,-0.0968
3990.00,-0.0968
3989.00,-0.0968
3988.00,-0.0968
3987.00,-0.0967
3986.00,-0.0967
3985.00,-0.0967
3984.00,-0.0967
3983.00,-0.0967
3982.00,-0.0966
3981.00,-0.0966
3980.00,-0.0966
3979.00,-0.0966
3978.00,-0.0966
3977.00,-0.0965
3976.00,-0.0965
3975.00,-0.0965
3974.00,-0.0965
3973.00,-0.0965
3972.00,-0.0965
3971.00,-0.0965
3970.00,-0.0965
3969.00,-0.0964
3968.00,-0.0964
3967.00,-0.0964
3966.00,-0.0964
3965.00,-0.0964
3964.00,-0.0964
3963.00,-0.0964
3962.00,-0.0964
3961.00,-0.0964
3960.00,-0.0964
3959.00,-0.0964
3958.00,-0.0964
3957.00,-0.0964
3956.00,-0.0964
3955.00,-0.0964
3954.00,-0.0965
3953.00,-0.0965
3952.00,-0.0965
3951.00,-0.0965
3950.00,-0.0965
3949.00,-0.0965
3948.00,-0.0965
3947.00,-0.0965
3946.00,-0.0965
3945.00,-0.0965
3944.00,-0.0965
3943.00,-0.0965
3942.00,-0.0964
3941.00,-0.0964
3940.00,-0.0965
3939.00,-0.0965
3938.00,-0.0964
3937.00,-0.0964
3936.00,-0.0964
3935.00,-0.0964
3934.00,-0.0964
3933.00,-0.0964
3932.00,-0.0963
3931.00,-0.0963
3930.00,-0.0963
3929.00,-0.0963
3928.00,-0.0963
3927.00,-0.0963
3926.00,-0.0963
3925.00,-0.0962
3924.00,-0.0962
3923.00,-0.0962
3922.00,-0.0962
3921.00,-0.0962
3920.00,-0.0962
3919.00,-0.0961
3918.00,-0.0961
3917.00,-0.0960
3916.00,-0.0960
3915.00,-0.0960
3914.00,-0.0960
3913.00,-0.0960
3912.00,-0.0960
3911.00,-0.0960
3910.00,-0.0960
3909.00,-0.0960
3908.00,-0.0961
3907.00,-0.0961
3906.00,-0.0961
3905.00,-0.0961
3904.00,-0.0961
3903.00,-0.0961
3902.00,-0.0961
3901.00,-0.0961
3900.00,-0.0960
3899.00,-0.0960
3898.00,-0.0960
3897.00,-0.0961
3896.00,-0.0962
3895.00,-0.0962
3894.00,-0.0962
3893.00,-0.0962
3892.00,-0.0960
3891.00,-0.0960
3890.00,-0.0960
3889.00,-0.0962
3888.00,-0.0963
3887.00,-0.0962
3886.00,-0.0961
3885.00,-0.0960
3884.00,-0.0961
3883.00,-0.0962
3882.00,-0.0962
3881.00,-0.0961
3880.00,-0.0960
3879.00,-0.0960
3878.00,-0.0961
3877.00,-0.0962
3876.00,-0.0961
3875.00,-0.0960
3874.00,-0.0960
3873.00,-0.0961
3872.00,-0.0961
3871.00,-0.0961
3870.00,-0.0959
3869.00,-0.0959
3868.00,-0.0960
3867.00,-0.0961
3866.00,-0.0961
3865.00,-0.0959
3864.00,-0.0959
3863.00,-0.0959
3862.00,-0.0959
3861.00,-0.0959
3860.00,-0.0959
3859.00,-0.0959
3858.00,-0.0960
3857.00,-0.0961
3856.00,-0.0962
3855.00,-0.0962
3854.00,-0.0959
3853.00,-0.0956
3852.00,-0.0957
3851.00,-0.0961
3850.00,-0.0964
3849.00,-0.0963
3848.00,-0.0961
3847.00,-0.0960
3846.00,-0.0959
3845.00,-0.0959
3844.00,-0.0959
3843.00,-0.0959
3842.00,-0.0960
3841.00,-0.0960
3840.00,-0.0961
3839.00,-0.0960
3838.00,-0.0959
3837.00,-0.0959
3836.00,-0.0959
3835.00,-0.0960
3834.00,-0.0960
3833.00,-0.0959
3832.00,-0.0958
3831.00,-0.0958
3830.00,-0.0958
3829.00,-0.0958
3828.00,-0.0957
3827.00,-0.0957
3826.00,-0.0956
3825.00,-0.0957
3824.00,-0.0958
3823.00,-0.0958
3822.00,-0.0956
3821.00,-0.0954
3820.00,-0.0954
3819.00,-0.0956
3818.00,-0.0957
3817.00,-0.0956
3816.00,-0.0954
3815.00,-0.0953
3814.00,-0.0954
3813.00,-0.0955
3812.00,-0.0955
3811.00,-0.0954
3810.00,-0.0954
3809.00,-0.0954
3808.00,-0.0953
3807.00,-0.0952
3806.00,-0.0952
3805.00,-0.0954
3804.00,-0.0955
3803.00,-0.0955
3802.00,-0.0953
3801.00,-0.0952
3800.00,-0.0953
3799.00,-0.0955
3798.00,-0.0955
3797.00,-0.0954
3796.00,-0.0953
3795.00,-0.0953
3794.00,-0.0953
3793.00,-0.0953
3792.00,-0.0953
3791.00,-0.0953
3790.00,-0.0953
3789.00,-0.0953
3788.00,-0.0953
3787.00,-0.0953
3786.00,-0.0953
3785.00,-0.0953
3784.00,-0.0953
3783.00,-0.0953
3782.00,-0.0954
3781.00,-0.0953
3780.00,-0.0953
3779.00,-0.0952
3778.00,-0.0953
3777.00,-0.0953
3776.00,-0.0953
3775.00,-0.0953
3774.00,-0.0953
3773.00,-0.0954
3772.00,-0.0953
3771.00,-0.0953
3770.00,-0.0952
3769.00,-0.0952
3768.00,-0.0953
3767.00,-0.0953
3766.00,-0.0953
3765.00,-0.0952
3764.00,-0.0953
3763.00,-0.0953
3762.00,-0.0953
3761.00,-0.0953
3760.00,-0.0952
3759.00,-0.0952
3758.00,-0.0952
3757.00,-0.0953
3756.00,-0.0953
3755.00,-0.0954
3754.00,-0.0954
3753.00,-0.0954
3752.00,-0.0953
3751.00,-0.0952
3750.00,-0.0951
3749.00,-0.0952
3748.00,-0.0954
3747.00,-0.0955
3746.00,-0.0953
3745.00,-0.0950
3744.00,-0.0948
3743.00,-0.0949
3742.00,-0.0952
3741.00,-0.0953
3740.00,-0.0952
3739.00,-0.0951
3738.00,-0.0951
3737.00,-0.0950
3736.00,-0.0949
3735.00,-0.0948
3734.00,-0.0948
3733.00,-0.0948
3732.00,-0.0948
3731.00,-0.0948
3730.00,-0.0948
3729.00,-0.0948
3728.00,-0.0948
3727.00,-0.0947
3726.00,-0.0946
3725.00,-0.0946
3724.00,-0.0946
3723.00,-0.0946
3722.00,-0.0946
3721.00,-0.0946
3720.00,-0.0946
3719.00,-0.0946
3718.00,-0.0946
3717.00,-0.0946
3716.00,-0.0947
3715.00,-0.0947
3714.00,-0.0947
3713.00,-0.0947
3712.00,-0.0946
3711.00,-0.0946
3710.00,-0.0947
3709.00,-0.0947
3708.00,-0.0948
3707.00,-0.0948
3706.00,-0.0948
3705.00,-0.0949
3704.00,-0.0949
3703.00,-0.0949
3702.00,-0.0949
3701.00,-0.0949
3700.00,-0.0950
3699.00,-0.0952
3698.00,-0.0953
3697.00,-0.0953
3696.00,-0.0954
3695.00,-0.0955
3694.00,-0.0956
3693.00,-0.0958
3692.00,-0.0959
3691.00,-0.0959
3690.00,-0.0960
3689.00,-0.0959
3688.00,-0.0960
3687.00,-0.0962
3686.00,-0.0964
3685.00,-0.0964
3684.00,-0.0964
3683.00,-0.0964
3682.00,-0.0964
3681.00,-0.0964
3680.00,-0.0965
3679.00,-0.0966
3678.00,-0.0968
3677.00,-0.0968
3676.00,-0.0966
3675.00,-0.0965
3674.00,-0.0966
3673.00,-0.0968
3672.00,-0.0968
3671.00,-0.0967
3670.00,-0.0964
3669.00,-0.0963
3668.00,-0.0964
3667.00,-0.0965
3666.00,-0.0965
3665.00,-0.0964
3664.00,-0.0963
3663.00,-0.0963
3662.00,-0.0962
3661.00,-0.0962
3660.00,-0.0962
3659.00,-0.0962
3658.00,-0.0962
3657.00,-0.0961
3656.00,-0.0960
3655.00,-0.0960
3654.00,-0.0961
3653.00,-0.0962
3652.00,-0.0962
3651.00,-0.0961
3650.00,-0.0960
3649.00,-0.0959
3648.00,-0.0959
3647.00,-0.0959
3646.00,-0.0960
3645.00,-0.0960
3644.00,-0.0959
3643.00,-0.0958
3642.00,-0.0957
3641.00,-0.0957
3640.00,-0.0957
3639.00,-0.0956
3638.00,-0.0956
3637.00,-0.0957
3636.00,-0.0957
3635.00,-0.0957
3634.00,-0.0957
3633.00,-0.0957
3632.00,-0.0958
3631.00,-0.0959
