Created as New Dataset,Sample 037 By Analyst Date Thursday, March 27 2025
cm-1,A
4000.00,-0.0970
3999.00,-0.0970
3998.00,-0.0970
3997.00,-0.0970
3996.00,-0.0970
3995.00,-0.0970
3994.00,-0.0970
3993.00,-0.0970
3992.00,-0.0969
3991.00,-0.0969
3990.00,-0.0969
3989.00,-0.0969
3988.00,-0.0969
3987.00,-0.0968
3986.00,-0.0968
3985.00,-0.0968
3984.00,-0.0968
3983.00,-0.0968
3982.00,-0.0968
3981.00,-0.0967
3980.00,-0.0967
3979.00,-0.0967
3978.00,-0.0967
3977.00,-0.0966
3976.00,-0.0966
3975.00,-0.0966
3974.00,-0.0966
3973.00,-0.0966
3972.00,-0.0966
3971.00,-0.0965
3970.00,-0.0965
3969.00,-0.0965
3968.00,-0.0965
3967.00,-0.0965
3966.00,-0.0965
3965.00,-0.0965
3964.00,-0.0965
3963.00,-0.0965
3962.00,-0.0965
3961.00,-0.0965
3960.00,-0.0965
3959.00,-0.0965
3958.00,-0.0965
3957.00,-0.0965
3956.00,-0.0965
3955.00,-0.0965
3954.00,-0.0965
3953.00,-0.0965
3952.00,-0.0965
3951.00,-0.0965
3950.00,-0.0965
3949.00,-0.0965
3948.00,-0.0965
3947.00,-0.0965
3946.00,-0.0965
3945.00,-0.0965
3944.00,-0.0965
3943.00,-0.0965
3942.00,-0.0965
3941.00,-0.0965
3940.00,-0.0965
3939.00,-0.0965
3938.00,-0.0965
3937.00,-0.0965
3936.00,-0.0965
3935.00,-0.0964
3934.00,-0.0964
3933.00,-0.0964
3932.00,-0.0964
3931.00,-0.0964
3930.00,-0.0963
3929.00,-0.0963
3928.00,-0.0963
3927.00,-0.0963
3926.00,-0.0963
3925.00,-0.0962
3924.00,-0.0962
3923.00,-0.0962
3922.00,-0.0962
3921.00,-0.0962
3920.00,-0.0962
3919.00,-0.0961
3918.00,-0.0961
3917.00,-0.0961
3916.00,-0.0961
3915.00,-0.0960
3914.00,-0.0960
3913.00,-0.0960
3912.00,-0.0960
3911.00,-0.0960
3910.00,-0.0961
3909.00,-0.0961
3908.00,-0.0961
3907.00,-0.0961
3906.00,-0.0961
3905.00,-0.0961
3904.00,-0.0960
3903.00,-0.0960
3902.00,-0.0960
3901.00,-0.0960
3900.00,-0.0959
3899.00,-0.0959
3898.00,-0.0959
3897.00,-0.0960
3896.00,-0.0960
3895.00,-0.0961
3894.00,-0.0961
3893.00,-0.0961
3892.00,-0.0961
3891.00,-0.0960
3890.00,-0.0961
3889.00,-0.0961
3888.00,-0.0961
3887.00,-0.0961
3886.00,-0.0960
3885.00,-0.0960
3884.00,-0.0960
3883.00,-0.0961
3882.00,-0.0960
3881.00,-0.0960
3880.00,-0.0959
3879.00,-0.0960
3878.00,-0.0960
3877.00,-0.0960
3876.00,-0.0960
3875.00,-0.0960
3874.00,-0.0960
3873.00,-0.0960
3872.00,-0.0960
3871.00,-0.0960
3870.00,-0.0959
3869.00,-0.0959
3868.00,-0.0959
3867.00,-0.0959
3866.00,-0.0959
3865.00,-0.0958
3864.00,-0.0958
3863.00,-0.0958
3862.00,-0.0959
3861.00,-0.0959
3860.00,-0.0959
3859.00,-0.0958
3858.00,-0.0958
3857.00,-0.0958
3856.00,-0.0959
3855.00,-0.0959
3854.00,-0.0957
3853.00,-0.0956
3852.00,-0.0957
3851.00,-0.0959
3850.00,-0.0959
3849.00,-0.0958
3848.00,-0.0958
3847.00,-0.0958
3846.00,-0.0958
3845.00,-0.0959
3844.00,-0.0959
3843.00,-0.0959
3842.00,-0.0959
3841.00,-0.0960
3840.00,-0.0959
3839.00,-0.0959
3838.00,-0.0958
3837.00,-0.0958
3836.00,-0.0958
3835.00,-0.0958
3834.00,-0.0958
3833.00,-0.0957
3832.00,-0.0957
3831.00,-0.0957
3830.00,-0.0957
3829.00,-0.0957
3828.00,-0.0957
3827.00,-0.0956
3826.00,-0.0956
3825.00,-0.0956
3824.00,-0.0957
3823.00,-0.0957
3822.00,-0.0956
3821.00,-0.0955
3820.00,-0.0955
3819.00,-0.0955
3818.00,-0.0954
3817.00,-0.0954
3816.00,-0.0953
3815.00,-0.0953
3814.00,-0.0953
3813.00,-0.0953
3812.00,-0.0953
3811.00,-0.0953
3810.00,-0.0953
3809.00,-0.0953
3808.00,-0.0953
3807.00,-0.0953
3806.00,-0.0953
3805.00,-0.0954
3804.00,-0.0954
3803.00,-0.0953
3802.00,-0.0952
3801.00,-0.0952
3800.00,-0.0952
3799.00,-0.0953
3798.00,-0.0953
3797.00,-0.0952
3796.00,-0.0952
3795.00,-0.0952
3794.00,-0.0953
3793.00,-0.0953
3792.00,-0.0953
3791.00,-0.0953
3790.00,-0.0953
3789.00,-0.0953
3788.00,-0.0953
3787.00,-0.0953
3786.00,-0.0954
3785.00,-0.0953
3784.00,-0.0954
3783.00,-0.0954
3782.00,-0.0954
3781.00,-0.0953
3780.00,-0.0953
3779.00,-0.0953
3778.00,-0.0953
3777.00,-0.0953
3776.00,-0.0953
3775.00,-0.0953
3774.00,-0.0953
3773.00,-0.0953
3772.00,-0.0953
3771.00,-0.0953
3770.00,-0.0953
3769.00,-0.0953
3768.00,-0.0953
3767.00,-0.0953
3766.00,-0.0953
3765.00,-0.0952
3764.00,-0.0952
3763.00,-0.0953
3762.00,-0.0953
3761.00,-0.0953
3760.00,-0.0953
3759.00,-0.0952
3758.00,-0.0952
3757.00,-0.0952
3756.00,-0.0952
3755.00,-0.0952
3754.00,-0.0952
3753.00,-0.0952
3752.00,-0.0952
3751.00,-0.0951
3750.00,-0.0950
3749.00,-0.0950
3748.00,-0.0950
3747.00,-0.0949
3746.00,-0.0948
3745.00,-0.0947
3744.00,-0.0946
3743.00,-0.0947
3742.00,-0.0949
3741.00,-0.0949
3740.00,-0.0948
3739.00,-0.0948
3738.00,-0.0948
3737.00,-0.0948
3736.00,-0.0948
3735.00,-0.0948
3734.00,-0.0947
3733.00,-0.0946
3732.00,-0.0946
3731.00,-0.0946
3730.00,-0.0946
3729.00,-0.0946
3728.00,-0.0946
3727.00,-0.0946
3726.00,-0.0946
3725.00,-0.0946
3724.00,-0.0946
3723.00,-0.0945
3722.00,-0.0945
3721.00,-0.0945
3720.00,-0.0945
3719.00,-0.0945
3718.00,-0.0945
3717.00,-0.0945
3716.00,-0.0946
3715.00,-0.0946
3714.00,-0.0946
3713.00,-0.0946
3712.00,-0.0946
3711.00,-0.0946
3710.00,-0.0946
3709.00,-0.0947
3708.00,-0.0947
3707.00,-0.0947
3706.00,-0.0947
3705.00,-0.0948
3704.00,-0.0948
3703.00,-0.0949
3702.00,-0.0949
3701.00,-0.0950
3700.00,-0.0951
3699.00,-0.0951
3698.00,-0.0952
3697.00,-0.0953
3696.00,-0.0954
3695.00,-0.0955
3694.00,-0.0956
3693.00,-0.0957
3692.00,-0.0958
3691.00,-0.0959
3690.00,-0.0959
3689.00,-0.0959
3688.00,-0.0959
3687.00,-0.0961
3686.00,-0.0961
3685.00,-0.0962
3684.00,-0.0962
3683.00,-0.0963
3682.00,-0.0963
3681.00,-0.0964
3680.00,-0.0965
3679.00,-0.0966
3678.00,-0.0966
3677.00,-0.0966
3676.00,-0.0965
3675.00,-0.0964
3674.00,-0.0964
3673.00,-0.0965
3672.00,-0.0964
3671.00,-0.0963
3670.00,-0.0963
3669.00,-0.0963
3668.00,-0.0963
3667.00,-0.0963
3666.00,-0.0963
3665.00,-0.0962
3664.00,-0.0962
3663.00,-0.0962
3662.00,-0.0962
3661.00,-0.0962
3660.00,-0.0962
3659.00,-0.0962
3658.00,-0.0961
3657.00,-0.0961
3656.00,-0.0960
3655.00,-0.0960
3654.00,-0.0960
3653.00,-0.0960
3652.00,-0.0960
3651.00,-0.0960
3650.00,-0.0959
3649.00,-0.0958
3648.00,-0.0958
3647.00,-0.0957
3646.00,-0.0957
3645.00,-0.0957
3644.00,-0.0956
3643.00,-0.0956
3642.00,-0.0956
3641.00,-0.0956
3640.00,-0.0957
3639.00,-0.0957
3638.00,-0.0957
3637.00,-0.0957
3636.00,-0.0957
3635.00,-0.0957
3634.00,-0.0957
3633.00,-0.0957
3632.00,-0.0957
3631.00,-0.0957
3630.00,-0.0957
3629.00,-0.0956
3628.00,-0.0955
3627.00,-0.0956
3626.00,-0.0957
3625.00,-0.0957
3624.00,-0.0956
3623.00,-0.0957
3622.00,-0.0957
3621.00,-0.0957
3620.00,-0.0957
3619.00,-0.0957
3618.00,-0.0957
3617.00,-0.0958
3616.00,-0.0958
3615.00,-0.0958
3614.00,-0.0958
3613.00,-0.0957
3612.00,-0.0957
3611.00,-0.0957
3610.00,-0.0957
3609.00,-0.0957
3608.00,-0.0957
3607.00,-0.0956
3606.00,-0.0956
3605.00,-0.0956
3604.00,-0.0956
3603.00,-0.0957
3602.00,-0.0957
3601.00,-0.0957
3600.00,-0.0957
3599.00,-0.0957
3598.00,-0.0958
3597.00,-0.0958
3596.00,-0.0958
3595.00,-0.0958
3594.00,-0.0958
3593.00,-0.0958
3592.00,-0.0958
3591.00,-0.0958
3590.00,-0.0958
3589.00,-0.0958
3588.00,-0.0958
3587.00,-0.0958
3586.00,-0.0958
3585.00,-0.0959
3584.00,-0.0959
3583.00,-0.0959
3582.00,-0.0959
3581.00,-0.0960
3580.00,-0.0960
3579.00,-0.0961
3578.00,-0.0961
3577.00,-0.0962
3576.00,-0.0962
3575.00,-0.0962
3574.00,-0.0962
3573.00,-0.0962
3572.00,-0.0962
3571.00,-0.0963
3570.00,-0.0963
3569.00,-0.0963
3568.00,-0.0963
3567.00,-0.0963
3566.00,-0.0963
3565.00,-0.0963
3564.00,-0.0963
3563.00,-0.0963
3562.00,-0.0963
3561.00,-0.0963
3560.00,-0.0963
3559.00,-0.0964
3558.00,-0.0964
3557.00,-0.0964
3556.00,-0.0964
3555.00,-0.0964
3554.00,-0.0964
3553.00,-0.0964
3552.00,-0.0964
3551.00,-0.0964
3550.00,-0.0964
3549.00,-0.0963
3548.00,-0.0963
3547.00,-0.0963
3546.00,-0.0963
3545.00,-0.0963
3544.00,-0.0963
3543.00,-0.0962
3542.00,-0.0962
3541.00,-0.0962
3540.00,-0.0963
3539.00,-0.0963
3538.00,-0.0963
3537.00,-0.0963
3536.00,-0.0963
3535.00,-0.0963
3534.00,-0.0963
3533.00,-0.0963
3532.00,-0.0963
3531.00,-0.0964
3530.00,-0.0964
3529.00,-0.0964
3528.00,-0.0964
3527.00,-0.0964
3526.00,-0.0964
3525.00,-0.0964
3524.00,-0.0964
3523.00,-0.0964
3522.00,-0.0964
3521.00,-0.0964
3520.00,-0.0964
3519.00,-0.0964
3518.00,-0.0963
3517.00,-0.0963
3516.00,-0.0963
3515.00,-0.0963
3514.00,-0.0963
3513.00,-0.0963
3512.00,-0.0963
3511.00,-0.0963
3510.00,-0.0963
3509.00,-0.0963
3508.00,-0.0962
3507.00,-0.0962
3506.00,-0.0962
3505.00,-0.0962
3504.00,-0.0961
3503.00,-0.0961
3502.00,-0.0961
3501.00,-0.0961
3500.00,-0.0961
3499.00,-0.0961
3498.00,-0.0961
3497.00,-0.0961
3496.00,-0.0961
3495.00,-0.0961
3494.00,-0.0961
3493.00,-0.0961
3492.00,-0.0961
3491.00,-0.0961
3490.00,-0.0961
3489.00,-0.0961
3488.00,-0.0961
3487.00,-0.0962
3486.00,-0.0962
3485.00,-0.0962
3484.00,-0.0962
3483.00,-0.0962
3482.00,-0.0963
3481.00,-0.0963
3480.00,-0.0963
3479.00,-0.0963
3478.00,-0.0963
3477.00,-0.0964
3476.00,-0.0964
3475.00,-0.0964
3474.00,-0.0964
3473.00,-0.0965
3472.00,-0.0965
3471.00,-0.0965
3470.00,-0.0965
3469.00,-0.0965
3468.00,-0.0966
3467.00,-0.0966
3466.00,-0.0966
3465.00,-0.0966
3464.00,-0.0967
3463.00,-0.0967
