Created as New Dataset,Sample 040 By Analyst Date Thursday, March 27 2025
cm-1,A
4000.00,-0.0485
3999.00,-0.0485
3998.00,-0.0485
3997.00,-0.0485
3996.00,-0.0485
3995.00,-0.0485
3994.00,-0.0485
3993.00,-0.0484
3992.00,-0.0484
3991.00,-0.0484
3990.00,-0.0484
3989.00,-0.0484
3988.00,-0.0484
3987.00,-0.0484
3986.00,-0.0484
3985.00,-0.0484
3984.00,-0.0484
3983.00,-0.0484
3982.00,-0.0483
3981.00,-0.0483
3980.00,-0.0483
3979.00,-0.0483
3978.00,-0.0483
3977.00,-0.0483
3976.00,-0.0483
3975.00,-0.0483
3974.00,-0.0483
3973.00,-0.0483
3972.00,-0.0483
3971.00,-0.0482
3970.00,-0.0482
3969.00,-0.0482
3968.00,-0.0482
3967.00,-0.0482
3966.00,-0.0483
3965.00,-0.0483
3964.00,-0.0483
3963.00,-0.0483
3962.00,-0.0483
3961.00,-0.0483
3960.00,-0.0483
3959.00,-0.0483
3958.00,-0.0483
3957.00,-0.0483
3956.00,-0.0483
3955.00,-0.0483
3954.00,-0.0483
3953.00,-0.0483
3952.00,-0.0483
3951.00,-0.0484
3950.00,-0.0484
3949.00,-0.0484
3948.00,-0.0484
3947.00,-0.0484
3946.00,-0.0484
3945.00,-0.0484
3944.00,-0.0484
3943.00,-0.0483
3942.00,-0.0483
3941.00,-0.0483
3940.00,-0.0483
3939.00,-0.0483
3938.00,-0.0483
3937.00,-0.0483
3936.00,-0.0484
3935.00,-0.0484
3934.00,-0.0484
3933.00,-0.0483
3932.00,-0.0483
3931.00,-0.0483
3930.00,-0.0482
3929.00,-0.0482
3928.00,-0.0482
3927.00,-0.0482
3926.00,-0.0482
3925.00,-0.0482
3924.00,-0.0482
3923.00,-0.0482
3922.00,-0.0482
3921.00,-0.0482
3920.00,-0.0482
3919.00,-0.0482
3918.00,-0.0481
3917.00,-0.0481
3916.00,-0.0481
3915.00,-0.0480
3914.00,-0.0480
3913.00,-0.0480
3912.00,-0.0480
3911.00,-0.0481
3910.00,-0.0481
3909.00,-0.0482
3908.00,-0.0482
3907.00,-0.0482
3906.00,-0.0482
3905.00,-0.0482
3904.00,-0.0482
3903.00,-0.0482
3902.00,-0.0482
3901.00,-0.0481
3900.00,-0.0480
3899.00,-0.0479
3898.00,-0.0480
3897.00,-0.0480
3896.00,-0.0481
3895.00,-0.0481
3894.00,-0.0481
3893.00,-0.0481
3892.00,-0.0481
3891.00,-0.0481
3890.00,-0.0482
3889.00,-0.0482
3888.00,-0.0481
3887.00,-0.0481
3886.00,-0.0481
3885.00,-0.0481
3884.00,-0.0482
3883.00,-0.0481
3882.00,-0.0480
3881.00,-0.0480
3880.00,-0.0480
3879.00,-0.0480
3878.00,-0.0481
3877.00,-0.0481
3876.00,-0.0481
3875.00,-0.0481
3874.00,-0.0481
3873.00,-0.0482
3872.00,-0.0481
3871.00,-0.0480
3870.00,-0.0480
3869.00,-0.0480
3868.00,-0.0480
3867.00,-0.0480
3866.00,-0.0479
3865.00,-0.0479
3864.00,-0.0479
3863.00,-0.0480
3862.00,-0.0480
3861.00,-0.0480
3860.00,-0.0480
3859.00,-0.0480
3858.00,-0.0481
3857.00,-0.0481
3856.00,-0.0480
3855.00,-0.0479
3854.00,-0.0478
3853.00,-0.0479
3852.00,-0.0480
3851.00,-0.0480
3850.00,-0.0479
3849.00,-0.0478
3848.00,-0.0479
3847.00,-0.0480
3846.00,-0.0481
3845.00,-0.0482
3844.00,-0.0482
3843.00,-0.0483
3842.00,-0.0483
3841.00,-0.0482
3840.00,-0.0482
3839.00,-0.0481
3838.00,-0.0481
3837.00,-0.0481
3836.00,-0.0480
3835.00,-0.0480
3834.00,-0.0479
3833.00,-0.0479
3832.00,-0.0479
3831.00,-0.0480
3830.00,-0.0480
3829.00,-0.0480
3828.00,-0.0480
3827.00,-0.0480
3826.00,-0.0480
3825.00,-0.0481
3824.00,-0.0481
3823.00,-0.0480
3822.00,-0.0479
3821.00,-0.0479
3820.00,-0.0479
3819.00,-0.0479
3818.00,-0.0477
3817.00,-0.0476
3816.00,-0.0476
3815.00,-0.0477
3814.00,-0.0478
3813.00,-0.0477
3812.00,-0.0477
3811.00,-0.0477
3810.00,-0.0477
3809.00,-0.0478
3808.00,-0.0478
3807.00,-0.0478
3806.00,-0.0479
3805.00,-0.0479
3804.00,-0.0478
3803.00,-0.0477
3802.00,-0.0477
3801.00,-0.0477
3800.00,-0.0478
3799.00,-0.0478
3798.00,-0.0477
3797.00,-0.0477
3796.00,-0.0477
3795.00,-0.0477
3794.00,-0.0478
3793.00,-0.0478
3792.00,-0.0478
3791.00,-0.0478
3790.00,-0.0478
3789.00,-0.0479
3788.00,-0.0479
3787.00,-0.0479
3786.00,-0.0479
3785.00,-0.0479
3784.00,-0.0479
3783.00,-0.0479
3782.00,-0.0479
3781.00,-0.0479
3780.00,-0.0478
3779.00,-0.0478
