Created as New Dataset,Sample 006 By Analyst Date Thursday, March 27 2025
cm-1,A
4000.00,-0.0486
3999.00,-0.0486
3998.00,-0.0486
3997.00,-0.0485
3996.00,-0.0485
3995.00,-0.0485
3994.00,-0.0485
3993.00,-0.0485
3992.00,-0.0485
3991.00,-0.0485
3990.00,-0.0485
3989.00,-0.0485
3988.00,-0.0485
3987.00,-0.0484
3986.00,-0.0484
3985.00,-0.0484
3984.00,-0.0484
3983.00,-0.0484
3982.00,-0.0484
3981.00,-0.0484
3980.00,-0.0483
3979.00,-0.0483
3978.00,-0.0483
3977.00,-0.0483
3976.00,-0.0483
3975.00,-0.0483
3974.00,-0.0483
3973.00,-0.0483
3972.00,-0.0483
3971.00,-0.0483
3970.00,-0.0483
3969.00,-0.0483
3968.00,-0.0483
3967.00,-0.0483
3966.00,-0.0483
3965.00,-0.0482
3964.00,-0.0482
3963.00,-0.0482
3962.00,-0.0482
3961.00,-0.0483
3960.00,-0.0483
3959.00,-0.0483
3958.00,-0.0482
3957.00,-0.0482
3956.00,-0.0483
3955.00,-0.0483
3954.00,-0.0483
3953.00,-0.0482
3952.00,-0.0482
3951.00,-0.0481
3950.00,-0.0481
3949.00,-0.0481
3948.00,-0.0481
3947.00,-0.0480
3946.00,-0.0480
3945.00,-0.0480
3944.00,-0.0480
3943.00,-0.0481
3942.00,-0.0482
3941.00,-0.0482
3940.00,-0.0482
3939.00,-0.0482
3938.00,-0.0481
3937.00,-0.0481
3936.00,-0.0481
3935.00,-0.0480
3934.00,-0.0479
3933.00,-0.0479
3932.00,-0.0479
3931.00,-0.0479
3930.00,-0.0479
3929.00,-0.0479
3928.00,-0.0479
3927.00,-0.0478
3926.00,-0.0478
3925.00,-0.0478
3924.00,-0.0479
3923.00,-0.0479
3922.00,-0.0478
3921.00,-0.0477
3920.00,-0.0476
3919.00,-0.0476
3918.00,-0.0476
3917.00,-0.0476
3916.00,-0.0477
3915.00,-0.0478
3914.00,-0.0478
3913.00,-0.0479
3912.00,-0.0479
3911.00,-0.0480
3910.00,-0.0480
3909.00,-0.0479
3908.00,-0.0479
3907.00,-0.0477
3906.00,-0.0476
3905.00,-0.0474
3904.00,-0.0472
3903.00,-0.0470
3902.00,-0.0468
3901.00,-0.0467
3900.00,-0.0468
3899.00,-0.0469
3898.00,-0.0472
3897.00,-0.0473
3896.00,-0.0474
3895.00,-0.0474
3894.00,-0.0475
3893.00,-0.0476
3892.00,-0.0476
3891.00,-0.0477
3890.00,-0.0477
3889.00,-0.0476
3888.00,-0.0474
3887.00,-0.0471
3886.00,-0.0470
3885.00,-0.0471
3884.00,-0.0472
3883.00,-0.0472
3882.00,-0.0470
3881.00,-0.0470
3880.00,-0.0472
3879.00,-0.0474
3878.00,-0.0474
3877.00,-0.0473
3876.00,-0.0471
3875.00,-0.0470
3874.00,-0.0472
3873.00,-0.0474
3872.00,-0.0473
3871.00,-0.0469
3870.00,-0.0467
3869.00,-0.0468
3868.00,-0.0469
3867.00,-0.0468
3866.00,-0.0465
3865.00,-0.0465
3864.00,-0.0468
3863.00,-0.0470
3862.00,-0.0471
3861.00,-0.0470
3860.00,-0.0470
3859.00,-0.0472
3858.00,-0.0475
3857.00,-0.0479
3856.00,-0.0480
3855.00,-0.0478
3854.00,-0.0473
3853.00,-0.0470
3852.00,-0.0468
3851.00,-0.0467
3850.00,-0.0465
3849.00,-0.0466
3848.00,-0.0468
3847.00,-0.0471
3846.00,-0.0472
3845.00,-0.0473
3844.00,-0.0472
3843.00,-0.0472
3842.00,-0.0471
3841.00,-0.0471
3840.00,-0.0470
3839.00,-0.0468
3838.00,-0.0467
3837.00,-0.0467
3836.00,-0.0467
3835.00,-0.0467
3834.00,-0.0468
3833.00,-0.0468
3832.00,-0.0469
3831.00,-0.0470
3830.00,-0.0472
3829.00,-0.0472
3828.00,-0.0472
3827.00,-0.0471
3826.00,-0.0472
3825.00,-0.0473
3824.00,-0.0472
3823.00,-0.0468
3822.00,-0.0466
3821.00,-0.0466
3820.00,-0.0468
3819.00,-0.0470
3818.00,-0.0467
3817.00,-0.0464
3816.00,-0.0464
3815.00,-0.0468
3814.00,-0.0471
3813.00,-0.0471
3812.00,-0.0471
3811.00,-0.0472
3810.00,-0.0474
3809.00,-0.0474
3808.00,-0.0472
3807.00,-0.0471
3806.00,-0.0470
3805.00,-0.0471
3804.00,-0.0469
3803.00,-0.0466
3802.00,-0.0464
3801.00,-0.0466
3800.00,-0.0468
3799.00,-0.0468
3798.00,-0.0466
3797.00,-0.0466
3796.00,-0.0469
3795.00,-0.0472
3794.00,-0.0475
3793.00,-0.0475
3792.00,-0.0475
3791.00,-0.0476
3790.00,-0.0477
3789.00,-0.0478
3788.00,-0.0477
3787.00,-0.0477
3786.00,-0.0477
3785.00,-0.0477
3784.00,-0.0476
3783.00,-0.0476
3782.00,-0.0475
3781.00,-0.0474
3780.00,-0.0474
3779.00,-0.0475
3778.00,-0.0476
3777.00,-0.0476
3776.00,-0.0475
3775.00,-0.0475
3774.00,-0.0475
3773.00,-0.0475
3772.00,-0.0475
3771.00,-0.0473
3770.00,-0.0472
3769.00,-0.0472
3768.00,-0.0472
3767.00,-0.0471
3766.00,-0.0470
3765.00,-0.0470
3764.00,-0.0471
3763.00,-0.0472
3762.00,-0.0470
3761.00,-0.0469
3760.00,-0.0469
3759.00,-0.0469
3758.00,-0.0469
3757.00,-0.0469
3756.00,-0.0468
3755.00,-0.0468
3754.00,-0.0467
3753.00,-0.0465
3752.00,-0.0463
3751.00,-0.0461
3750.00,-0.0459
3749.00,-0.0457
3748.00,-0.0458
3747.00,-0.0459
3746.00,-0.0458
3745.00,-0.0456
3744.00,-0.0457
3743.00,-0.0459
3742.00,-0.0459
3741.00,-0.0457
3740.00,-0.0456
3739.00,-0.0456
3738.00,-0.0455
3737.00,-0.0454
3736.00,-0.0455
3735.00,-0.0457
3734.00,-0.0459
3733.00,-0.0459
3732.00,-0.0459
3731.00,-0.0460
3730.00,-0.0462
3729.00,-0.0463
3728.00,-0.0463
3727.00,-0.0463
3726.00,-0.0464
3725.00,-0.0465
3724.00,-0.0466
3723.00,-0.0465
3722.00,-0.0465
3721.00,-0.0467
3720.00,-0.0468
3719.00,-0.0468
3718.00,-0.0468
3717.00,-0.0468
3716.00,-0.0468
3715.00,-0.0468
3714.00,-0.0466
3713.00,-0.0464
3712.00,-0.0463
3711.00,-0.0464
3710.00,-0.0464
3709.00,-0.0464
3708.00,-0.0465
3707.00,-0.0466
3706.00,-0.0468
3705.00,-0.0469
3704.00,-0.0470
3703.00,-0.0471
3702.00,-0.0472
3701.00,-0.0474
3700.00,-0.0475
3699.00,-0.0475
3698.00,-0.0474
3697.00,-0.0474
3696.00,-0.0475
3695.00,-0.0475
3694.00,-0.0475
3693.00,-0.0474
3692.00,-0.0473
3691.00,-0.0473
3690.00,-0.0473
3689.00,-0.0472
3688.00,-0.0471
3687.00,-0.0471
3686.00,-0.0472
3685.00,-0.0473
3684.00,-0.0473
3683.00,-0.0475
3682.00,-0.0476
3681.00,-0.0476
3680.00,-0.0476
3679.00,-0.0476
3678.00,-0.0474
3677.00,-0.0471
3676.00,-0.0467
3675.00,-0.0467
3674.00,-0.0469
3673.00,-0.0468
3672.00,-0.0464
3671.00,-0.0462
3670.00,-0.0465
3669.00,-0.0470
3668.00,-0.0473
3667.00,-0.0474
3666.00,-0.0474
3665.00,-0.0475
3664.00,-0.0477
3663.00,-0.0479
3662.00,-0.0479
3661.00,-0.0480
3660.00,-0.0480
3659.00,-0.0479
3658.00,-0.0478
3657.00,-0.0476
3656.00,-0.0474
3655.00,-0.0473
3654.00,-0.0471
3653.00,-0.0468
3652.00,-0.0463
3651.00,-0.0461
3650.00,-0.0460
3649.00,-0.0460
3648.00,-0.0460
3647.00,-0.0461
3646.00,-0.0463
3645.00,-0.0466
3644.00,-0.0468
3643.00,-0.0471
3642.00,-0.0473
3641.00,-0.0476
3640.00,-0.0477
3639.00,-0.0477
3638.00,-0.0477
3637.00,-0.0477
3636.00,-0.0476
3635.00,-0.0475
3634.00,-0.0474
3633.00,-0.0474
3632.00,-0.0473
3631.00,-0.0471
3630.00,-0.0468
3629.00,-0.0467
3628.00,-0.0468
3627.00,-0.0468
3626.00,-0.0468
3625.00,-0.0467
3624.00,-0.0468
3623.00,-0.0470
3622.00,-0.0471
3621.00,-0.0471
3620.00,-0.0470
3619.00,-0.0470
3618.00,-0.0469
3617.00,-0.0468
3616.00,-0.0466
3615.00,-0.0465
3614.00,-0.0465
3613.00,-0.0467
3612.00,-0.0468
3611.00,-0.0467
3610.00,-0.0466
3609.00,-0.0466
3608.00,-0.0467
3607.00,-0.0469
3606.00,-0.0471
3605.00,-0.0472
3604.00,-0.0472
3603.00,-0.0473
3602.00,-0.0473
3601.00,-0.0474
3600.00,-0.0474
3599.00,-0.0474
3598.00,-0.0473
3597.00,-0.0472
3596.00,-0.0472
3595.00,-0.0473
3594.00,-0.0473
3593.00,-0.0473
3592.00,-0.0473
3591.00,-0.0471
3590.00,-0.0469
3589.00,-0.0468
3588.00,-0.0469
3587.00,-0.0471
3586.00,-0.0472
3585.00,-0.0473
3584.00,-0.0473
3583.00,-0.0474
3582.00,-0.0475
3581.00,-0.0477
3580.00,-0.0479
3579.00,-0.0479
3578.00,-0.0480
3577.00,-0.0480
3576.00,-0.0480
3575.00,-0.0480
3574.00,-0.0480
3573.00,-0.0480
3572.00,-0.0478
3571.00,-0.0476
3570.00,-0.0474
3569.00,-0.0471
3568.00,-0.0470
3567.00,-0.0470
3566.00,-0.0472
3565.00,-0.0473
3564.00,-0.0473
3563.00,-0.0474
3562.00,-0.0475
3561.00,-0.0477
3560.00,-0.0479
3559.00,-0.0480
3558.00,-0.0480
3557.00,-0.0480
3556.00,-0.0480
3555.00,-0.0479
3554.00,-0.0479
3553.00,-0.0479
3552.00,-0.0479
3551.00,-0.0479
3550.00,-0.0478
3549.00,-0.0476
3548.00,-0.0475
3547.00,-0.0475
3546.00,-0.0476
3545.00,-0.0477
3544.00,-0.0477
3543.00,-0.0478
3542.00,-0.0478
3541.00,-0.0479
3540.00,-0.0479
3539.00,-0.0480
3538.00,-0.0480
3537.00,-0.0480
3536.00,-0.0480
3535.00,-0.0481
3534.00,-0.0481
3533.00,-0.0480
3532.00,-0.0480
3531.00,-0.0479
3530.00,-0.0479
3529.00,-0.0479
3528.00,-0.0478
3527.00,-0.0478
3526.00,-0.0478
3525.00,-0.0477
3524.00,-0.0478
3523.00,-0.0479
3522.00,-0.0479
3521.00,-0.0480
3520.00,-0.0480
3519.00,-0.0481
3518.00,-0.0481
3517.00,-0.0481
3516.00,-0.0482
3515.00,-0.0481
3514.00,-0.0481
3513.00,-0.0481
3512.00,-0.0480
3511.00,-0.0480
3510.00,-0.0480
3509.00,-0.0480
3508.00,-0.0480
3507.00,-0.0479
3506.00,-0.0478
3505.00,-0.0478
3504.00,-0.0478
3503.00,-0.0478
3502.00,-0.0479
3501.00,-0.0479
3500.00,-0.0479
3499.00,-0.0479
3498.00,-0.0479
3497.00,-0.0479
3496.00,-0.0480
3495.00,-0.0480
3494.00,-0.0480
3493.00,-0.0480
3492.00,-0.0480
3491.00,-0.0480
3490.00,-0.0480
3489.00,-0.0480
3488.00,-0.0480
3487.00,-0.0480
3486.00,-0.0480
3485.00,-0.0480
3484.00,-0.0480
3483.00,-0.0480
3482.00,-0.0480
3481.00,-0.0481
3480.00,-0.0481
3479.00,-0.0481
3478.00,-0.0482
3477.00,-0.0482
3476.00,-0.0482
3475.00,-0.0483
3474.00,-0.0483
3473.00,-0.0483
3472.00,-0.0483
3471.00,-0.0483
3470.00,-0.0483
3469.00,-0.0483
3468.00,-0.0483
3467.00,-0.0483
3466.00,-0.0483
3465.00,-0.0483
3464.00,-0.0483
3463.00,-0.0483
3462.00,-0.0483
3461.00,-0.0483
3460.00,-0.0483
3459.00,-0.0483
3458.00,-0.0483
3457.00,-0.0483
3456.00,-0.0483
3455.00,-0.0484
3454.00,-0.0484
3453.00,-0.0484
3452.00,-0.0483
3451.00,-0.0483
3450.00,-0.0482
3449.00,-0.0482
3448.00,-0.0482
3447.00,-0.0482
3446.00,-0.0482
3445.00,-0.0482
3444.00,-0.0482
3443.00,-0.0482
3442.00,-0.0482
3441.00,-0.0483
3440.00,-0.0483
3439.00,-0.0483
3438.00,-0.0483
3437.00,-0.0483
3436.00,-0.0483
3435.00,-0.0484
3434.00,-0.0484
3433.00,-0.0484
3432.00,-0.0484
3431.00,-0.0484
3430.00,-0.0484
3429.00,-0.0484
3428.00,-0.0485
3427.00,-0.0485
3426.00,-0.0485
3425.00,-0.0484
3424.00,-0.0484
3423.00,-0.0484
3422.00,-0.0484
3421.00,-0.0484
3420.00,-0.0484
3419.00,-0.0484
3418.00,-0.0484
3417.00,-0.0484
3416.00,-0.0484
3415.00,-0.0484
3414.00,-0.0484
3413.00,-0.0484
3412.00,-0.0484
3411.00,-0.0484
3410.00,-0.0484
3409.00,-0.0484
3408.00,-0.0483
3407.00,-0.0483
3406.00,-0.0483
3405.00,-0.0483
3404.00,-0.0482
3403.00,-0.0482
3402.00,-0.0482
3401.00,-0.0482
3400.00,-0.0481
3399.00,-0.0481
3398.00,-0.0481
3397.00,-0.0481
3396.00,-0.0480
3395.00,-0.0480
3394.00,-0.0480
3393.00,-0.0480
3392.00,-0.0480
3391.00,-0.0480
3390.00,-0.0480
3389.00,-0.0480
3388.00,-0.0480
3387.00,-0.0480
3386.00,-0.0480
3385.00,-0.0480
3384.00,-0.0480
3383.00,-0.0480
3382.00,-0.0480
3381.00,-0.0480
3380.00,-0.0480
3379.00,-0.0480
3378.00,-0.0480
3377.00,-0.0480
3376.00,-0.0480
3375.00,-0.0480
3374.00,-0.0480
3373.00,-0.0480
3372.00,-0.0480
3371.00,-0.0480
