Created as New Dataset,Sample 019 By Analyst Date Thursday, March 27 2025
cm-1,A
4000.00,-0.0023
3999.00,-0.0023
3998.00,-0.0023
3997.00,-0.0023
3996.00,-0.0023
3995.00,-0.0023
3994.00,-0.0023
3993.00,-0.0023
3992.00,-0.0022
3991.00,-0.0022
3990.00,-0.0022
3989.00,-0.0022
3988.00,-0.0022
3987.00,-0.0022
3986.00,-0.0022
3985.00,-0.0022
3984.00,-0.0022
3983.00,-0.0022
3982.00,-0.0022
3981.00,-0.0022
3980.00,-0.0022
3979.00,-0.0022
3978.00,-0.0022
3977.00,-0.0022
3976.00,-0.0022
3975.00,-0.0022
3974.00,-0.0022
3973.00,-0.0022
3972.00,-0.0022
3971.00,-0.0022
3970.00,-0.0022
3969.00,-0.0022
3968.00,-0.0022
3967.00,-0.0022
3966.00,-0.0022
3965.00,-0.0022
3964.00,-0.0022
3963.00,-0.0022
3962.00,-0.0022
3961.00,-0.0022
3960.00,-0.0022
3959.00,-0.0022
3958.00,-0.0022
3957.00,-0.0022
3956.00,-0.0022
3955.00,-0.0022
3954.00,-0.0022
3953.00,-0.0022
3952.00,-0.0022
3951.00,-0.0022
3950.00,-0.0022
3949.00,-0.0022
3948.00,-0.0022
3947.00,-0.0022
3946.00,-0.0022
3945.00,-0.0021
3944.00,-0.0021
3943.00,-0.0021
3942.00,-0.0021
3941.00,-0.0022
3940.00,-0.0022
3939.00,-0.0022
3938.00,-0.0022
3937.00,-0.0021
3936.00,-0.0021
3935.00,-0.0021
3934.00,-0.0021
3933.00,-0.0021
3932.00,-0.0021
3931.00,-0.0021
3930.00,-0.0021
3929.00,-0.0021
3928.00,-0.0021
3927.00,-0.0021
3926.00,-0.0021
3925.00,-0.0021
3924.00,-0.0021
3923.00,-0.0021
3922.00,-0.0021
3921.00,-0.0021
3920.00,-0.0021
3919.00,-0.0021
3918.00,-0.0021
3917.00,-0.0021
3916.00,-0.0021
3915.00,-0.0021
3914.00,-0.0021
3913.00,-0.0022
3912.00,-0.0022
3911.00,-0.0022
3910.00,-0.0022
3909.00,-0.0022
3908.00,-0.0022
3907.00,-0.0022
3906.00,-0.0022
3905.00,-0.0022
3904.00,-0.0021
3903.00,-0.0021
3902.00,-0.0021
3901.00,-0.0021
3900.00,-0.0021
3899.00,-0.0021
3898.00,-0.0021
3897.00,-0.0021
3896.00,-0.0021
3895.00,-0.0021
3894.00,-0.0021
3893.00,-0.0021
3892.00,-0.0021
3891.00,-0.0021
3890.00,-0.0021
3889.00,-0.0021
3888.00,-0.0021
3887.00,-0.0021
3886.00,-0.0021
3885.00,-0.0021
3884.00,-0.0021
3883.00,-0.0021
3882.00,-0.0021
3881.00,-0.0021
3880.00,-0.0021
3879.00,-0.0021
3878.00,-0.0021
3877.00,-0.0021
3876.00,-0.0021
3875.00,-0.0021
3874.00,-0.0021
3873.00,-0.0021
3872.00,-0.0021
3871.00,-0.0021
3870.00,-0.0021
3869.00,-0.0021
3868.00,-0.0021
3867.00,-0.0022
3866.00,-0.0022
3865.00,-0.0021
3864.00,-0.0021
3863.00,-0.0021
3862.00,-0.0021
3861.00,-0.0021
3860.00,-0.0021
3859.00,-0.0021
3858.00,-0.0021
3857.00,-0.0022
3856.00,-0.0023
3855.00,-0.0023
3854.00,-0.0023
3853.00,-0.0023
3852.00,-0.0023
3851.00,-0.0023
3850.00,-0.0023
3849.00,-0.0022
3848.00,-0.0022
3847.00,-0.0021
3846.00,-0.0021
3845.00,-0.0021
3844.00,-0.0021
3843.00,-0.0021
3842.00,-0.0021
3841.00,-0.0021
3840.00,-0.0021
3839.00,-0.0022
3838.00,-0.0022
3837.00,-0.0022
3836.00,-0.0022
3835.00,-0.0022
3834.00,-0.0022
3833.00,-0.0022
3832.00,-0.0022
3831.00,-0.0021
3830.00,-0.0021
3829.00,-0.0021
3828.00,-0.0021
3827.00,-0.0021
3826.00,-0.0021
3825.00,-0.0021
3824.00,-0.0021
3823.00,-0.0022
3822.00,-0.0022
3821.00,-0.0022
3820.00,-0.0022
3819.00,-0.0022
3818.00,-0.0023
3817.00,-0.0023
3816.00,-0.0022
3815.00,-0.0022
3814.00,-0.0022
3813.00,-0.0022
3812.00,-0.0022
3811.00,-0.0022
3810.00,-0.0022
3809.00,-0.0022
3808.00,-0.0022
3807.00,-0.0022
3806.00,-0.0022
3805.00,-0.0022
3804.00,-0.0023
3803.00,-0.0023
3802.00,-0.0023
3801.00,-0.0022
3800.00,-0.0022
3799.00,-0.0022
3798.00,-0.0022
3797.00,-0.0022
3796.00,-0.0022
3795.00,-0.0021
3794.00,-0.0021
3793.00,-0.0021
3792.00,-0.0021
3791.00,-0.0021
3790.00,-0.0021
3789.00,-0.0021
3788.00,-0.0021
3787.00,-0.0021
3786.00,-0.0021
3785.00,-0.0021
3784.00,-0.0021
3783.00,-0.0021
3782.00,-0.0021
3781.00,-0.0021
3780.00,-0.0021
3779.00,-0.0021
3778.00,-0.0021
3777.00,-0.0021
3776.00,-0.0021
3775.00,-0.0021
3774.00,-0.0021
3773.00,-0.0021
3772.00,-0.0021
3771.00,-0.0021
3770.00,-0.0021
3769.00,-0.0021
3768.00,-0.0021
3767.00,-0.0021
3766.00,-0.0021
3765.00,-0.0021
3764.00,-0.0021
3763.00,-0.0021
3762.00,-0.0021
3761.00,-0.0021
3760.00,-0.0021
3759.00,-0.0021
3758.00,-0.0021
3757.00,-0.0021
3756.00,-0.0021
3755.00,-0.0021
3754.00,-0.0022
3753.00,-0.0022
3752.00,-0.0023
3751.00,-0.0023
3750.00,-0.0023
3749.00,-0.0023
3748.00,-0.0023
3747.00,-0.0023
3746.00,-0.0023
3745.00,-0.0022
3744.00,-0.0022
3743.00,-0.0022
3742.00,-0.0022
3741.00,-0.0021
3740.00,-0.0021
3739.00,-0.0021
3738.00,-0.0020
3737.00,-0.0020
3736.00,-0.0020
3735.00,-0.0020
3734.00,-0.0020
3733.00,-0.0020
3732.00,-0.0020
3731.00,-0.0020
3730.00,-0.0020
3729.00,-0.0020
3728.00,-0.0020
3727.00,-0.0020
3726.00,-0.0020
3725.00,-0.0020
3724.00,-0.0020
3723.00,-0.0020
3722.00,-0.0020
3721.00,-0.0020
3720.00,-0.0020
3719.00,-0.0020
3718.00,-0.0020
3717.00,-0.0020
3716.00,-0.0020
3715.00,-0.0021
3714.00,-0.0021
3713.00,-0.0021
3712.00,-0.0022
3711.00,-0.0022
3710.00,-0.0022
3709.00,-0.0022
3708.00,-0.0021
3707.00,-0.0021
3706.00,-0.0021
3705.00,-0.0021
3704.00,-0.0020
3703.00,-0.0020
3702.00,-0.0020
3701.00,-0.0020
3700.00,-0.0020
3699.00,-0.0021
3698.00,-0.0021
3697.00,-0.0021
3696.00,-0.0021
3695.00,-0.0021
3694.00,-0.0021
3693.00,-0.0021
3692.00,-0.0022
3691.00,-0.0022
3690.00,-0.0022
3689.00,-0.0022
3688.00,-0.0021
3687.00,-0.0021
3686.00,-0.0022
3685.00,-0.0022
3684.00,-0.0021
3683.00,-0.0021
3682.00,-0.0021
3681.00,-0.0021
3680.00,-0.0021
3679.00,-0.0021
3678.00,-0.0022
3677.00,-0.0022
3676.00,-0.0022
3675.00,-0.0022
3674.00,-0.0022
3673.00,-0.0022
3672.00,-0.0022
3671.00,-0.0021
3670.00,-0.0021
3669.00,-0.0021
3668.00,-0.0021
3667.00,-0.0021
3666.00,-0.0021
3665.00,-0.0021
3664.00,-0.0021
3663.00,-0.0020
3662.00,-0.0020
3661.00,-0.0020
3660.00,-0.0021
3659.00,-0.0021
3658.00,-0.0021
3657.00,-0.0021
3656.00,-0.0021
3655.00,-0.0021
3654.00,-0.0021
3653.00,-0.0021
3652.00,-0.0021
3651.00,-0.0021
3650.00,-0.0021
3649.00,-0.0021
3648.00,-0.0021
3647.00,-0.0021
3646.00,-0.0021
3645.00,-0.0021
3644.00,-0.0021
3643.00,-0.0021
3642.00,-0.0021
3641.00,-0.0021
3640.00,-0.0021
3639.00,-0.0021
3638.00,-0.0021
3637.00,-0.0021
3636.00,-0.0021
3635.00,-0.0021
3634.00,-0.0021
3633.00,-0.0021
3632.00,-0.0021
3631.00,-0.0021
3630.00,-0.0021
3629.00,-0.0021
3628.00,-0.0021
3627.00,-0.0021
3626.00,-0.0021
3625.00,-0.0020
3624.00,-0.0020
3623.00,-0.0020
3622.00,-0.0020
3621.00,-0.0020
3620.00,-0.0020
3619.00,-0.0020
3618.00,-0.0020
3617.00,-0.0020
3616.00,-0.0020
3615.00,-0.0020
3614.00,-0.0020
3613.00,-0.0020
3612.00,-0.0020
3611.00,-0.0020
3610.00,-0.0020
3609.00,-0.0020
3608.00,-0.0020
3607.00,-0.0020
3606.00,-0.0020
3605.00,-0.0020
3604.00,-0.0020
3603.00,-0.0020
3602.00,-0.0020
3601.00,-0.0021
3600.00,-0.0021
3599.00,-0.0020
3598.00,-0.0020
3597.00,-0.0020
3596.00,-0.0020
3595.00,-0.0020
3594.00,-0.0020
3593.00,-0.0020
3592.00,-0.0020
3591.00,-0.0020
3590.00,-0.0020
3589.00,-0.0020
3588.00,-0.0020
3587.00,-0.0020
3586.00,-0.0020
3585.00,-0.0020
3584.00,-0.0020
3583.00,-0.0021
3582.00,-0.0021
3581.00,-0.0021
3580.00,-0.0021
3579.00,-0.0021
3578.00,-0.0021
3577.00,-0.0021
3576.00,-0.0021
3575.00,-0.0021
3574.00,-0.0021
3573.00,-0.0021
3572.00,-0.0021
3571.00,-0.0021
3570.00,-0.0020
3569.00,-0.0020
3568.00,-0.0020
3567.00,-0.0019
3566.00,-0.0019
3565.00,-0.0020
3564.00,-0.0020
3563.00,-0.0020
3562.00,-0.0020
3561.00,-0.0020
3560.00,-0.0020
3559.00,-0.0021
3558.00,-0.0021
3557.00,-0.0021
3556.00,-0.0021
3555.00,-0.0021
3554.00,-0.0021
3553.00,-0.0021
3552.00,-0.0021
3551.00,-0.0021
3550.00,-0.0021
3549.00,-0.0020
3548.00,-0.0020
3547.00,-0.0020
3546.00,-0.0020
3545.00,-0.0020
3544.00,-0.0020
3543.00,-0.0021
3542.00,-0.0021
3541.00,-0.0021
3540.00,-0.0021
3539.00,-0.0021
3538.00,-0.0021
3537.00,-0.0021
3536.00,-0.0021
3535.00,-0.0021
3534.00,-0.0021
3533.00,-0.0021
3532.00,-0.0021
3531.00,-0.0021
3530.00,-0.0021
3529.00,-0.0021
3528.00,-0.0021
3527.00,-0.0021
3526.00,-0.0021
3525.00,-0.0021
3524.00,-0.0021
3523.00,-0.0021
3522.00,-0.0021
3521.00,-0.0021
3520.00,-0.0021
3519.00,-0.0021
3518.00,-0.0021
3517.00,-0.0021
3516.00,-0.0021
