Created as New Dataset,Sample 027 By Analyst Date Wednesday, April 02 2025
cm-1,A
4000.00,-0.0168
3998.00,-0.0168
3996.00,-0.0169
3994.00,-0.0169
3992.00,-0.0169
3990.00,-0.0169
3988.00,-0.0169
3986.00,-0.0169
3984.00,-0.0168
3982.00,-0.0168
3980.00,-0.0168
3978.00,-0.0168
3976.00,-0.0167
3974.00,-0.0168
3972.00,-0.0168
3970.00,-0.0168
3968.00,-0.0168
3966.00,-0.0168
3964.00,-0.0169
3962.00,-0.0169
3960.00,-0.0169
3958.00,-0.0169
3956.00,-0.0169
3954.00,-0.0169
3952.00,-0.0168
3950.00,-0.0168
3948.00,-0.0168
3946.00,-0.0168
3944.00,-0.0167
3942.00,-0.0168
3940.00,-0.0168
3938.00,-0.0168
3936.00,-0.0168
3934.00,-0.0168
3932.00,-0.0168
3930.00,-0.0169
3928.00,-0.0169
3926.00,-0.0169
3924.00,-0.0169
3922.00,-0.0169
3920.00,-0.0168
3918.00,-0.0167
3916.00,-0.0167
3914.00,-0.0167
3912.00,-0.0167
3910.00,-0.0167
3908.00,-0.0167
3906.00,-0.0167
3904.00,-0.0167
3902.00,-0.0168
3900.00,-0.0168
3898.00,-0.0169
3896.00,-0.0169
3894.00,-0.0169
3892.00,-0.0169
3890.00,-0.0169
3888.00,-0.0168
3886.00,-0.0167
3884.00,-0.0167
3882.00,-0.0167
3880.00,-0.0167
3878.00,-0.0168
3876.00,-0.0167
3874.00,-0.0167
3872.00,-0.0169
3870.00,-0.0168
3868.00,-0.0169
3866.00,-0.0168
3864.00,-0.0169
3862.00,-0.0169
3860.00,-0.0168
3858.00,-0.0169
3856.00,-0.0170
3854.00,-0.0168
3852.00,-0.0168
3850.00,-0.0167
3848.00,-0.0167
3846.00,-0.0168
3844.00,-0.0167
3842.00,-0.0168
3840.00,-0.0168
3838.00,-0.0168
3836.00,-0.0169
3834.00,-0.0169
3832.00,-0.0169
3830.00,-0.0169
3828.00,-0.0168
3826.00,-0.0167
3824.00,-0.0168
3822.00,-0.0166
3820.00,-0.0167
3818.00,-0.0168
3816.00,-0.0166
3814.00,-0.0168
3812.00,-0.0167
3810.00,-0.0168
3808.00,-0.0168
3806.00,-0.0167
3804.00,-0.0168
3802.00,-0.0167
3800.00,-0.0168
3798.00,-0.0168
3796.00,-0.0168
3794.00,-0.0168
3792.00,-0.0167
3790.00,-0.0167
3788.00,-0.0167
3786.00,-0.0166
3784.00,-0.0167
3782.00,-0.0167
3780.00,-0.0167
3778.00,-0.0168
3776.00,-0.0168
3774.00,-0.0168
3772.00,-0.0168
3770.00,-0.0168
3768.00,-0.0168
3766.00,-0.0168
3764.00,-0.0168
3762.00,-0.0167
3760.00,-0.0167
3758.00,-0.0167
3756.00,-0.0167
3754.00,-0.0167
3752.00,-0.0167
3750.00,-0.0166
3748.00,-0.0167
3746.00,-0.0168
3744.00,-0.0168
3742.00,-0.0169
3740.00,-0.0167
3738.00,-0.0167
3736.00,-0.0166
3734.00,-0.0167
3732.00,-0.0167
3730.00,-0.0167
3728.00,-0.0166
3726.00,-0.0166
3724.00,-0.0166
3722.00,-0.0166
3720.00,-0.0166
3718.00,-0.0166
3716.00,-0.0167
3714.00,-0.0167
3712.00,-0.0167
3710.00,-0.0168
3708.00,-0.0168
3706.00,-0.0168
3704.00,-0.0168
3702.00,-0.0168
3700.00,-0.0168
3698.00,-0.0167
3696.00,-0.0167
3694.00,-0.0167
3692.00,-0.0167
3690.00,-0.0168
3688.00,-0.0167
3686.00,-0.0168
3684.00,-0.0168
3682.00,-0.0168
3680.00,-0.0168
3678.00,-0.0168
3676.00,-0.0167
3674.00,-0.0169
3672.00,-0.0168
3670.00,-0.0167
3668.00,-0.0168
3666.00,-0.0167
3664.00,-0.0167
3662.00,-0.0167
3660.00,-0.0167
3658.00,-0.0167
3656.00,-0.0167
3654.00,-0.0167
3652.00,-0.0167
3650.00,-0.0167
3648.00,-0.0168
3646.00,-0.0168
3644.00,-0.0168
3642.00,-0.0168
3640.00,-0.0168
3638.00,-0.0167
3636.00,-0.0167
3634.00,-0.0166
3632.00,-0.0167
3630.00,-0.0166
3628.00,-0.0166
3626.00,-0.0166
3624.00,-0.0166
3622.00,-0.0167
3620.00,-0.0167
3618.00,-0.0168
3616.00,-0.0167
3614.00,-0.0167
3612.00,-0.0168
3610.00,-0.0167
3608.00,-0.0166
3606.00,-0.0167
