Created as New Dataset,Sample 033 By Analyst Date Wednesday, April 02 2025
cm-1,%T
4000.00,104.04
3998.00,104.05
3996.00,104.05
3994.00,104.05
3992.00,104.05
3990.00,104.05
3988.00,104.05
3986.00,104.04
3984.00,104.04
3982.00,104.03
3980.00,104.03
3978.00,104.02
3976.00,104.02
3974.00,104.02
3972.00,104.02
3970.00,104.02
3968.00,104.03
3966.00,104.04
3964.00,104.05
3962.00,104.05
3960.00,104.06
3958.00,104.06
3956.00,104.06
3954.00,104.05
3952.00,104.04
3950.00,104.02
3948.00,104.01
3946.00,104.00
3944.00,104.00
3942.00,104.02
3940.00,104.03
3938.00,104.02
3936.00,104.03
3934.00,104.02
3932.00,104.03
3930.00,104.04
3928.00,104.04
3926.00,104.03
3924.00,104.04
3922.00,104.03
3920.00,104.00
3918.00,104.00
3916.00,104.00
3914.00,104.01
3912.00,104.01
3910.00,104.01
3908.00,104.01
3906.00,103.99
3904.00,103.97
3902.00,103.97
3900.00,103.97
3898.00,104.01
3896.00,104.02
3894.00,104.03
3892.00,104.03
3890.00,104.03
3888.00,103.99
3886.00,103.95
3884.00,103.99
3882.00,103.96
3880.00,103.98
3878.00,104.01
3876.00,103.97
3874.00,104.00
3872.00,104.02
3870.00,103.97
3868.00,104.02
3866.00,103.98
3864.00,104.01
3862.00,104.02
3860.00,104.00
3858.00,104.04
3856.00,104.07
3854.00,104.00
3852.00,103.98
3850.00,103.95
3848.00,103.97
3846.00,104.00
3844.00,103.99
3842.00,104.00
3840.00,104.00
3838.00,103.99
3836.00,104.00
3834.00,104.01
3832.00,104.01
3830.00,104.02
3828.00,104.00
3826.00,104.00
3824.00,104.00
3822.00,103.94
3820.00,103.99
3818.00,103.98
3816.00,103.94
3814.00,104.00
3812.00,103.98
3810.00,104.02
3808.00,104.01
3806.00,104.00
3804.00,104.00
3802.00,103.95
3800.00,104.00
3798.00,103.98
3796.00,103.99
3794.00,104.02
3792.00,104.00
3790.00,104.00
3788.00,104.00
3786.00,103.99
3784.00,104.00
3782.00,104.00
3780.00,104.00
3778.00,104.03
3776.00,104.02
3774.00,104.02
3772.00,104.03
3770.00,104.01
3768.00,104.02
3766.00,103.99
3764.00,104.00
3762.00,103.99
3760.00,103.97
3758.00,103.98
3756.00,103.97
3754.00,103.96
3752.00,103.94
3750.00,103.92
3748.00,103.93
3746.00,103.94
3744.00,103.95
3742.00,103.97
3740.00,103.92
3738.00,103.93
3736.00,103.90
3734.00,103.94
3732.00,103.93
3730.00,103.94
3728.00,103.92
3726.00,103.93
3724.00,103.93
3722.00,103.93
3720.00,103.96
3718.00,103.96
