Created as New Dataset,Sample 032 By Analyst Date Wednesday, April 02 2025
cm-1,A
4000.00,-0.1306
3998.00,-0.1306
3996.00,-0.1306
3994.00,-0.1306
3992.00,-0.1306
3990.00,-0.1306
3988.00,-0.1305
3986.00,-0.1304
3984.00,-0.1304
3982.00,-0.1303
3980.00,-0.1303
3978.00,-0.1302
3976.00,-0.1302
3974.00,-0.1301
3972.00,-0.1301
3970.00,-0.1301
3968.00,-0.1301
3966.00,-0.1301
3964.00,-0.1301
3962.00,-0.1301
3960.00,-0.1301
3958.00,-0.1301
3956.00,-0.1300
3954.00,-0.1300
3952.00,-0.1299
3950.00,-0.1300
3948.00,-0.1300
3946.00,-0.1299
3944.00,-0.1299
3942.00,-0.1299
3940.00,-0.1298
3938.00,-0.1298
3936.00,-0.1298
3934.00,-0.1298
3932.00,-0.1299
3930.00,-0.1298
3928.00,-0.1298
3926.00,-0.1298
3924.00,-0.1298
3922.00,-0.1298
3920.00,-0.1298
3918.00,-0.1297
3916.00,-0.1296
3914.00,-0.1295
3912.00,-0.1295
3910.00,-0.1295
3908.00,-0.1296
3906.00,-0.1298
3904.00,-0.1300
3902.00,-0.1300
3900.00,-0.1300
3898.00,-0.1298
3896.00,-0.1297
3894.00,-0.1297
3892.00,-0.1297
3890.00,-0.1296
3888.00,-0.1296
3886.00,-0.1297
3884.00,-0.1295
3882.00,-0.1296
3880.00,-0.1296
3878.00,-0.1294
3876.00,-0.1295
3874.00,-0.1295
3872.00,-0.1295
3870.00,-0.1297
3868.00,-0.1295
3866.00,-0.1296
3864.00,-0.1295
3862.00,-0.1294
3860.00,-0.1295
3858.00,-0.1294
3856.00,-0.1293
3854.00,-0.1294
3852.00,-0.1291
3850.00,-0.1292
3848.00,-0.1292
3846.00,-0.1290
3844.00,-0.1291
3842.00,-0.1292
3840.00,-0.1292
3838.00,-0.1292
3836.00,-0.1291
3834.00,-0.1291
3832.00,-0.1290
3830.00,-0.1289
3828.00,-0.1290
3826.00,-0.1290
3824.00,-0.1289
3822.00,-0.1290
3820.00,-0.1288
3818.00,-0.1287
3816.00,-0.1287
3814.00,-0.1286
3812.00,-0.1288
3810.00,-0.1286
3808.00,-0.1287
3806.00,-0.1287
3804.00,-0.1286
3802.00,-0.1288
3800.00,-0.1285
3798.00,-0.1286
3796.00,-0.1286
3794.00,-0.1284
3792.00,-0.1284
3790.00,-0.1283
3788.00,-0.1282
3786.00,-0.1283
3784.00,-0.1283
3782.00,-0.1283
3780.00,-0.1283
3778.00,-0.1283
3776.00,-0.1284
3774.00,-0.1284
3772.00,-0.1285
3770.00,-0.1285
3768.00,-0.1285
3766.00,-0.1286
3764.00,-0.1285
3762.00,-0.1284
3760.00,-0.1284
3758.00,-0.1284
3756.00,-0.1284
3754.00,-0.1284
3752.00,-0.1284
3750.00,-0.1285
3748.00,-0.1284
3746.00,-0.1285
3744.00,-0.1283
3742.00,-0.1282
3740.00,-0.1283
3738.00,-0.1281
3736.00,-0.1283
3734.00,-0.1281
3732.00,-0.1280
3730.00,-0.1277
3728.00,-0.1278
3726.00,-0.1277
3724.00,-0.1277
3722.00,-0.1276
