Created as New Dataset,Sample 043 By Analyst Date Wednesday, April 02 2025
cm-1,A
4000.00,-0.0052
3998.00,-0.0051
3996.00,-0.0051
3994.00,-0.0052
3992.00,-0.0051
3990.00,-0.0051
3988.00,-0.0051
3986.00,-0.0051
3984.00,-0.0051
3982.00,-0.0051
3980.00,-0.0051
3978.00,-0.0051
3976.00,-0.0051
3974.00,-0.0051
3972.00,-0.0051
3970.00,-0.0051
3968.00,-0.0051
3966.00,-0.0051
3964.00,-0.0051
3962.00,-0.0051
3960.00,-0.0051
3958.00,-0.0051
3956.00,-0.0051
3954.00,-0.0051
3952.00,-0.0051
3950.00,-0.0050
3948.00,-0.0050
3946.00,-0.0050
3944.00,-0.0050
3942.00,-0.0050
3940.00,-0.0050
3938.00,-0.0050
3936.00,-0.0050
3934.00,-0.0050
3932.00,-0.0050
3930.00,-0.0050
3928.00,-0.0050
3926.00,-0.0050
3924.00,-0.0050
3922.00,-0.0050
3920.00,-0.0049
3918.00,-0.0049
3916.00,-0.0049
3914.00,-0.0050
3912.00,-0.0050
3910.00,-0.0051
3908.00,-0.0050
3906.00,-0.0049
3904.00,-0.0048
3902.00,-0.0046
3900.00,-0.0046
3898.00,-0.0048
3896.00,-0.0049
3894.00,-0.0049
3892.00,-0.0049
3890.00,-0.0050
3888.00,-0.0048
3886.00,-0.0047
3884.00,-0.0049
3882.00,-0.0047
3880.00,-0.0048
3878.00,-0.0049
3876.00,-0.0048
3874.00,-0.0049
3872.00,-0.0048
3870.00,-0.0047
3868.00,-0.0048
3866.00,-0.0047
3864.00,-0.0048
3862.00,-0.0048
3860.00,-0.0048
3858.00,-0.0050
3856.00,-0.0050
3854.00,-0.0048
3852.00,-0.0047
3850.00,-0.0047
3848.00,-0.0048
3846.00,-0.0049
3844.00,-0.0049
3842.00,-0.0049
3840.00,-0.0048
3838.00,-0.0048
3836.00,-0.0048
3834.00,-0.0048
3832.00,-0.0048
3830.00,-0.0049
3828.00,-0.0049
3826.00,-0.0049
3824.00,-0.0049
3822.00,-0.0048
3820.00,-0.0049
3818.00,-0.0048
3816.00,-0.0047
3814.00,-0.0049
3812.00,-0.0049
3810.00,-0.0050
3808.00,-0.0050
3806.00,-0.0050
3804.00,-0.0049
3802.00,-0.0048
3800.00,-0.0049
3798.00,-0.0048
3796.00,-0.0048
3794.00,-0.0049
3792.00,-0.0049
3790.00,-0.0050
3788.00,-0.0050
3786.00,-0.0050
3784.00,-0.0050
3782.00,-0.0050
3780.00,-0.0049
3778.00,-0.0050
3776.00,-0.0049
3774.00,-0.0050
3772.00,-0.0049
3770.00,-0.0049
3768.00,-0.0049
3766.00,-0.0048
3764.00,-0.0049
3762.00,-0.0049
3760.00,-0.0048
3758.00,-0.0048
3756.00,-0.0048
3754.00,-0.0048
3752.00,-0.0047
3750.00,-0.0046
3748.00,-0.0046
3746.00,-0.0044
3744.00,-0.0045
3742.00,-0.0046
3740.00,-0.0045
3738.00,-0.0045
3736.00,-0.0045
3734.00,-0.0045
3732.00,-0.0045
3730.00,-0.0046
3728.00,-0.0047
3726.00,-0.0047
3724.00,-0.0048
3722.00,-0.0048
3720.00,-0.0048
3718.00,-0.0048
3716.00,-0.0049
3714.00,-0.0049
3712.00,-0.0048
3710.00,-0.0048
3708.00,-0.0048
3706.00,-0.0048
3704.00,-0.0049
3702.00,-0.0049
3700.00,-0.0049
3698.00,-0.0049
3696.00,-0.0049
3694.00,-0.0049
3692.00,-0.0049
3690.00,-0.0048
3688.00,-0.0047
3686.00,-0.0047
3684.00,-0.0048
3682.00,-0.0049
3680.00,-0.0049
3678.00,-0.0048
3676.00,-0.0047
3674.00,-0.0047
3672.00,-0.0045
3670.00,-0.0046
3668.00,-0.0048
3666.00,-0.0047
3664.00,-0.0048
3662.00,-0.0049
3660.00,-0.0049
3658.00,-0.0048
3656.00,-0.0048
3654.00,-0.0048
3652.00,-0.0046
3650.00,-0.0045
3648.00,-0.0045
3646.00,-0.0045
3644.00,-0.0046
3642.00,-0.0048
3640.00,-0.0049
3638.00,-0.0049
3636.00,-0.0048
3634.00,-0.0048
3632.00,-0.0047
3630.00,-0.0045
3628.00,-0.0046
3626.00,-0.0046
3624.00,-0.0047
3622.00,-0.0048
3620.00,-0.0047
3618.00,-0.0047
3616.00,-0.0046
3614.00,-0.0046
3612.00,-0.0046
3610.00,-0.0045
3608.00,-0.0046
3606.00,-0.0047
3604.00,-0.0048
3602.00,-0.0048
3600.00,-0.0049
3598.00,-0.0048
3596.00,-0.0048
3594.00,-0.0048
3592.00,-0.0048
3590.00,-0.0046
3588.00,-0.0046
3586.00,-0.0047
3584.00,-0.0047
3582.00,-0.0048
3580.00,-0.0049
3578.00,-0.0049
3576.00,-0.0049
3574.00,-0.0049
3572.00,-0.0049
3570.00,-0.0047
3568.00,-0.0046
3566.00,-0.0047
3564.00,-0.0047
3562.00,-0.0048
3560.00,-0.0049
3558.00,-0.0049
3556.00,-0.0049
3554.00,-0.0049
3552.00,-0.0049
3550.00,-0.0049
3548.00,-0.0048
3546.00,-0.0048
3544.00,-0.0048
3542.00,-0.0049
3540.00,-0.0049
3538.00,-0.0049
3536.00,-0.0050
3534.00,-0.0050
3532.00,-0.0050
3530.00,-0.0050
3528.00,-0.0049
3526.00,-0.0049
3524.00,-0.0049
3522.00,-0.0050
3520.00,-0.0050
3518.00,-0.0050
3516.00,-0.0050
3514.00,-0.0050
3512.00,-0.0050
3510.00,-0.0050
3508.00,-0.0050
3506.00,-0.0050
3504.00,-0.0050
3502.00,-0.0050
3500.00,-0.0050
3498.00,-0.0050
3496.00,-0.0051
3494.00,-0.0051
3492.00,-0.0051
3490.00,-0.0051
3488.00,-0.0051
3486.00,-0.0051
3484.00,-0.0051
3482.00,-0.0051
3480.00,-0.0051
3478.00,-0.0051
3476.00,-0.0051
3474.00,-0.0052
3472.00,-0.0051
3470.00,-0.0051
3468.00,-0.0051
3466.00,-0.0051
3464.00,-0.0051
3462.00,-0.0051
3460.00,-0.0051
3458.00,-0.0051
3456.00,-0.0051
3454.00,-0.0051
3452.00,-0.0051
3450.00,-0.0051
3448.00,-0.0051
3446.00,-0.0051
3444.00,-0.0051
3442.00,-0.0051
3440.00,-0.0052
3438.00,-0.0051
3436.00,-0.0052
3434.00,-0.0052
3432.00,-0.0052
3430.00,-0.0051
3428.00,-0.0051
3426.00,-0.0051
3424.00,-0.0051
3422.00,-0.0051
3420.00,-0.0051
3418.00,-0.0051
3416.00,-0.0051
3414.00,-0.0051
3412.00,-0.0051
3410.00,-0.0051
3408.00,-0.0051
3406.00,-0.0051
3404.00,-0.0051
3402.00,-0.0051
3400.00,-0.0051
3398.00,-0.0051
3396.00,-0.0051
3394.00,-0.0051
3392.00,-0.0051
3390.00,-0.0051
3388.00,-0.0051
3386.00,-0.0051
3384.00,-0.0051
3382.00,-0.0051
3380.00,-0.0051
3378.00,-0.0051
3376.00,-0.0051
3374.00,-0.0051
3372.00,-0.0051
3370.00,-0.0051
3368.00,-0.0051
3366.00,-0.0051
3364.00,-0.0051
3362.00,-0.0051
3360.00,-0.0051
3358.00,-0.0051
3356.00,-0.0051
3354.00,-0.0051
3352.00,-0.0051
3350.00,-0.0051
3348.00,-0.0051
3346.00,-0.0051
3344.00,-0.0051
3342.00,-0.0051
3340.00,-0.0051
3338.00,-0.0051
3336.00,-0.0051
3334.00,-0.0051
3332.00,-0.0051
3330.00,-0.0051
3328.00,-0.0051
3326.00,-0.0051
3324.00,-0.0051
3322.00,-0.0051
3320.00,-0.0051
3318.00,-0.0051
3316.00,-0.0051
3314.00,-0.0051
3312.00,-0.0051
3310.00,-0.0051
3308.00,-0.0051
3306.00,-0.0051
3304.00,-0.0051
3302.00,-0.0051
3300.00,-0.0051
3298.00,-0.0051
3296.00,-0.0051
3294.00,-0.0050
3292.00,-0.0050
3290.00,-0.0050
3288.00,-0.0050
3286.00,-0.0050
3284.00,-0.0051
3282.00,-0.0051
3280.00,-0.0051
3278.00,-0.0050
3276.00,-0.0050
3274.00,-0.0050
3272.00,-0.0050
3270.00,-0.0051
3268.00,-0.0051
3266.00,-0.0051
3264.00,-0.0051
3262.00,-0.0051
3260.00,-0.0051
3258.00,-0.0050
3256.00,-0.0050
3254.00,-0.0050
3252.00,-0.0050
3250.00,-0.0050
3248.00,-0.0050
3246.00,-0.0050
3244.00,-0.0050
3242.00,-0.0050
3240.00,-0.0050
3238.00,-0.0050
3236.00,-0.0050
3234.00,-0.0050
3232.00,-0.0050
3230.00,-0.0050
3228.00,-0.0050
3226.00,-0.0050
3224.00,-0.0050
3222.00,-0.0050
3220.00,-0.0050
3218.00,-0.0050
3216.00,-0.0050
3214.00,-0.0050
3212.00,-0.0050
3210.00,-0.0050
3208.00,-0.0050
3206.00,-0.0050
3204.00,-0.0050
3202.00,-0.0050
3200.00,-0.0050
3198.00,-0.0050
3196.00,-0.0050
3194.00,-0.0050
3192.00,-0.0050
3190.00,-0.0050
3188.00,-0.0050
3186.00,-0.0050
3184.00,-0.0050
3182.00,-0.0050
3180.00,-0.0050
3178.00,-0.0050
3176.00,-0.0050
3174.00,-0.0050
3172.00,-0.0050
3170.00,-0.0050
3168.00,-0.0050
3166.00,-0.0050
3164.00,-0.0050
3162.00,-0.0050
3160.00,-0.0050
3158.00,-0.0049
3156.00,-0.0049
3154.00,-0.0049
3152.00,-0.0049
3150.00,-0.0049
3148.00,-0.0049
3146.00,-0.0049
3144.00,-0.0049
3142.00,-0.0049
3140.00,-0.0049
3138.00,-0.0049
3136.00,-0.0049
3134.00,-0.0049
3132.00,-0.0049
3130.00,-0.0049
3128.00,-0.0049
3126.00,-0.0049
3124.00,-0.0049
3122.00,-0.0049
3120.00,-0.0049
3118.00,-0.0049
3116.00,-0.0049
3114.00,-0.0049
3112.00,-0.0049
3110.00,-0.0049
3108.00,-0.0049
3106.00,-0.0049
3104.00,-0.0049
3102.00,-0.0049
3100.00,-0.0049
3098.00,-0.0049
3096.00,-0.0049
3094.00,-0.0049
3092.00,-0.0048
3090.00,-0.0048
3088.00,-0.0049
3086.00,-0.0048
3084.00,-0.0048
3082.00,-0.0048
3080.00,-0.0048
3078.00,-0.0048
3076.00,-0.0048
3074.00,-0.0048
3072.00,-0.0048
3070.00,-0.0048
3068.00,-0.0048
3066.00,-0.0048
3064.00,-0.0048
3062.00,-0.0048
3060.00,-0.0048
3058.00,-0.0048
3056.00,-0.0048
3054.00,-0.0048
3052.00,-0.0048
3050.00,-0.0048
3048.00,-0.0048
3046.00,-0.0048
3044.00,-0.0048
3042.00,-0.0048
3040.00,-0.0048
3038.00,-0.0048
3036.00,-0.0048
3034.00,-0.0048
3032.00,-0.0048
3030.00,-0.0048
3028.00,-0.0048
3026.00,-0.0048
3024.00,-0.0048
3022.00,-0.0048
3020.00,-0.0048
3018.00,-0.0048
3016.00,-0.0048
3014.00,-0.0048
3012.00,-0.0048
3010.00,-0.0048
3008.00,-0.0048
3006.00,-0.0048
3004.00,-0.0048
3002.00,-0.0048
3000.00,-0.0048
2998.00,-0.0048
2996.00,-0.0048
2994.00,-0.0048
2992.00,-0.0048
2990.00,-0.0048
2988.00,-0.0048
2986.00,-0.0048
2984.00,-0.0048
2982.00,-0.0048
2980.00,-0.0049
2978.00,-0.0049
2976.00,-0.0049
2974.00,-0.0049
2972.00,-0.0049
2970.00,-0.0049
2968.00,-0.0049
2966.00,-0.0049
2964.00,-0.0049
2962.00,-0.0049
2960.00,-0.0049
2958.00,-0.0049
2956.00,-0.0049
2954.00,-0.0048
2952.00,-0.0048
2950.00,-0.0048
2948.00,-0.0048
2946.00,-0.0048
2944.00,-0.0048
2942.00,-0.0048
2940.00,-0.0048
2938.00,-0.0047
2936.00,-0.0047
2934.00,-0.0047
2932.00,-0.0048
2930.00,-0.0048
2928.00,-0.0048
2926.00,-0.0048
2924.00,-0.0049
2922.00,-0.0049
2920.00,-0.0049
2918.00,-0.0049
2916.00,-0.0048
2914.00,-0.0048
2912.00,-0.0048
2910.00,-0.0048
2908.00,-0.0047
2906.00,-0.0047
2904.00,-0.0047
2902.00,-0.0047
2900.00,-0.0047
2898.00,-0.0047
2896.00,-0.0047
2894.00,-0.0047
2892.00,-0.0047
2890.00,-0.0047
2888.00,-0.0047
2886.00,-0.0047
2884.00,-0.0047
2882.00,-0.0047
2880.00,-0.0047
2878.00,-0.0047
2876.00,-0.0047
2874.00,-0.0047
2872.00,-0.0047
2870.00,-0.0047
2868.00,-0.0047
2866.00,-0.0047
2864.00,-0.0047
2862.00,-0.0047
2860.00,-0.0047
2858.00,-0.0047
2856.00,-0.0047
2854.00,-0.0048
2852.00,-0.0048
2850.00,-0.0048
2848.00,-0.0048
2846.00,-0.0047
2844.00,-0.0047
2842.00,-0.0047
2840.00,-0.0046
2838.00,-0.0046
2836.00,-0.0046
2834.00,-0.0046
2832.00,-0.0046
2830.00,-0.0046
2828.00,-0.0046
2826.00,-0.0046
2824.00,-0.0046
2822.00,-0.0046
2820.00,-0.0046
2818.00,-0.0046
2816.00,-0.0046
2814.00,-0.0046
2812.00,-0.0046
2810.00,-0.0046
2808.00,-0.0046
2806.00,-0.0046
2804.00,-0.0046
2802.00,-0.0046
2800.00,-0.0046
2798.00,-0.0046
2796.00,-0.0046
2794.00,-0.0046
2792.00,-0.0046
2790.00,-0.0046
2788.00,-0.0046
2786.00,-0.0046
2784.00,-0.0046
2782.00,-0.0046
2780.00,-0.0046
2778.00,-0.0046
2776.00,-0.0046
2774.00,-0.0046
2772.00,-0.0046
2770.00,-0.0046
2768.00,-0.0046
2766.00,-0.0046
2764.00,-0.0046
2762.00,-0.0046
2760.00,-0.0046
2758.00,-0.0046
2756.00,-0.0046
2754.00,-0.0046
2752.00,-0.0046
2750.00,-0.0046
2748.00,-0.0046
2746.00,-0.0046
2744.00,-0.0046
2742.00,-0.0046
2740.00,-0.0046
2738.00,-0.0046
2736.00,-0.0046
2734.00,-0.0046
2732.00,-0.0046
2730.00,-0.0046
2728.00,-0.0046
2726.00,-0.0046
2724.00,-0.0046
2722.00,-0.0046
2720.00,-0.0046
2718.00,-0.0046
2716.00,-0.0046
2714.00,-0.0046
2712.00,-0.0046
2710.00,-0.0046
2708.00,-0.0046
2706.00,-0.0046
2704.00,-0.0046
2702.00,-0.0046
2700.00,-0.0046
2698.00,-0.0046
2696.00,-0.0046
2694.00,-0.0046
2692.00,-0.0046
2690.00,-0.0046
2688.00,-0.0046
2686.00,-0.0046
2684.00,-0.0046
2682.00,-0.0046
2680.00,-0.0046
2678.00,-0.0046
2676.00,-0.0046
2674.00,-0.0046
2672.00,-0.0046
2670.00,-0.0046
2668.00,-0.0046
2666.00,-0.0046
2664.00,-0.0045
2662.00,-0.0045
2660.00,-0.0046
2658.00,-0.0046
2656.00,-0.0046
2654.00,-0.0046
2652.00,-0.0046
2650.00,-0.0046
2648.00,-0.0046
2646.00,-0.0046
2644.00,-0.0045
2642.00,-0.0045
2640.00,-0.0045
2638.00,-0.0045
2636.00,-0.0045
2634.00,-0.0046
2632.00,-0.0046
2630.00,-0.0046
2628.00,-0.0046
2626.00,-0.0046
2624.00,-0.0046
2622.00,-0.0046
2620.00,-0.0046
2618.00,-0.0046
2616.00,-0.0046
2614.00,-0.0045
2612.00,-0.0045
2610.00,-0.0046
2608.00,-0.0046
2606.00,-0.0045
2604.00,-0.0046
2602.00,-0.0046
2600.00,-0.0046
2598.00,-0.0045
2596.00,-0.0045
2594.00,-0.0045
2592.00,-0.0046
2590.00,-0.0045
2588.00,-0.0045
2586.00,-0.0045
2584.00,-0.0045
2582.00,-0.0045
2580.00,-0.0045
2578.00,-0.0045
2576.00,-0.0045
2574.00,-0.0045
2572.00,-0.0045
2570.00,-0.0045
2568.00,-0.0045
2566.00,-0.0045
2564.00,-0.0045
2562.00,-0.0046
2560.00,-0.0046
2558.00,-0.0046
2556.00,-0.0045
2554.00,-0.0045
2552.00,-0.0045
2550.00,-0.0045
2548.00,-0.0045
2546.00,-0.0045
2544.00,-0.0045
2542.00,-0.0045
2540.00,-0.0045
2538.00,-0.0045
2536.00,-0.0045
2534.00,-0.0045
2532.00,-0.0045
2530.00,-0.0045
2528.00,-0.0045
2526.00,-0.0045
2524.00,-0.0045
2522.00,-0.0045
2520.00,-0.0045
2518.00,-0.0045
2516.00,-0.0045
2514.00,-0.0045
2512.00,-0.0045
2510.00,-0.0045
2508.00,-0.0045
2506.00,-0.0045
2504.00,-0.0045
2502.00,-0.0045
2500.00,-0.0045
2498.00,-0.0045
2496.00,-0.0045
2494.00,-0.0045
2492.00,-0.0045
2490.00,-0.0045
2488.00,-0.0045
2486.00,-0.0045
2484.00,-0.0045
2482.00,-0.0045
2480.00,-0.0045
2478.00,-0.0045
2476.00,-0.0045
2474.00,-0.0045
2472.00,-0.0045
2470.00,-0.0045
2468.00,-0.0045
2466.00,-0.0045
2464.00,-0.0045
2462.00,-0.0045
2460.00,-0.0045
2458.00,-0.0045
2456.00,-0.0045
2454.00,-0.0045
2452.00,-0.0045
2450.00,-0.0045
2448.00,-0.0045
2446.00,-0.0045
2444.00,-0.0045
2442.00,-0.0045
2440.00,-0.0045
2438.00,-0.0045
2436.00,-0.0045
2434.00,-0.0046
2432.00,-0.0046
2430.00,-0.0046
2428.00,-0.0045
2426.00,-0.0045
2424.00,-0.0045
2422.00,-0.0045
2420.00,-0.0045
2418.00,-0.0046
2416.00,-0.0046
2414.00,-0.0045
2412.00,-0.0046
2410.00,-0.0045
2408.00,-0.0045
2406.00,-0.0045
2404.00,-0.0045
2402.00,-0.0045
2400.00,-0.0045
2398.00,-0.0045
2396.00,-0.0045
2394.00,-0.0045
2392.00,-0.0045
2390.00,-0.0045
2388.00,-0.0045
2386.00,-0.0045
2384.00,-0.0045
2382.00,-0.0045
2380.00,-0.0046
2378.00,-0.0046
2376.00,-0.0046
2374.00,-0.0046
2372.00,-0.0046
2370.00,-0.0045
2368.00,-0.0045
2366.00,-0.0045
2364.00,-0.0046
2362.00,-0.0047
2360.00,-0.0048
2358.00,-0.0048
2356.00,-0.0047
2354.00,-0.0045
2352.00,-0.0044
2350.00,-0.0046
2348.00,-0.0047
2346.00,-0.0045
2344.00,-0.0045
2342.00,-0.0047
2340.00,-0.0047
2338.00,-0.0047
2336.00,-0.0046
2334.00,-0.0046
2332.00,-0.0045
2330.00,-0.0046
2328.00,-0.0046
2326.00,-0.0046
2324.00,-0.0046
2322.00,-0.0046
2320.00,-0.0046
2318.00,-0.0048
2316.00,-0.0048
2314.00,-0.0047
2312.00,-0.0046
2310.00,-0.0046
2308.00,-0.0046
2306.00,-0.0046
2304.00,-0.0046
2302.00,-0.0046
2300.00,-0.0046
2298.00,-0.0046
2296.00,-0.0046
2294.00,-0.0046
2292.00,-0.0045
2290.00,-0.0046
2288.00,-0.0046
2286.00,-0.0046
2284.00,-0.0045
2282.00,-0.0045
2280.00,-0.0045
2278.00,-0.0045
2276.00,-0.0046
2274.00,-0.0046
2272.00,-0.0046
2270.00,-0.0046
2268.00,-0.0046
2266.00,-0.0045
2264.00,-0.0045
2262.00,-0.0045
2260.00,-0.0045
2258.00,-0.0045
2256.00,-0.0045
2254.00,-0.0045
2252.00,-0.0045
2250.00,-0.0045
2248.00,-0.0045
2246.00,-0.0045
2244.00,-0.0045
2242.00,-0.0045
2240.00,-0.0045
2238.00,-0.0045
2236.00,-0.0045
2234.00,-0.0045
2232.00,-0.0045
2230.00,-0.0045
2228.00,-0.0045
2226.00,-0.0045
2224.00,-0.0045
2222.00,-0.0045
2220.00,-0.0045
2218.00,-0.0045
2216.00,-0.0045
2214.00,-0.0045
2212.00,-0.0045
2210.00,-0.0045
2208.00,-0.0045
2206.00,-0.0045
2204.00,-0.0045
2202.00,-0.0045
2200.00,-0.0045
2198.00,-0.0045
2196.00,-0.0045
2194.00,-0.0045
2192.00,-0.0045
2190.00,-0.0045
2188.00,-0.0045
2186.00,-0.0045
2184.00,-0.0045
2182.00,-0.0045
2180.00,-0.0045
2178.00,-0.0045
2176.00,-0.0045
2174.00,-0.0045
2172.00,-0.0045
2170.00,-0.0045
2168.00,-0.0045
2166.00,-0.0045
2164.00,-0.0045
2162.00,-0.0045
2160.00,-0.0045
2158.00,-0.0045
2156.00,-0.0045
2154.00,-0.0045
2152.00,-0.0045
2150.00,-0.0045
2148.00,-0.0045
2146.00,-0.0045
2144.00,-0.0045
2142.00,-0.0045
2140.00,-0.0045
2138.00,-0.0045
2136.00,-0.0045
2134.00,-0.0045
2132.00,-0.0045
2130.00,-0.0045
2128.00,-0.0045
2126.00,-0.0045
2124.00,-0.0045
2122.00,-0.0045
2120.00,-0.0045
2118.00,-0.0045
2116.00,-0.0045
2114.00,-0.0045
2112.00,-0.0045
2110.00,-0.0045
2108.00,-0.0045
2106.00,-0.0045
2104.00,-0.0045
2102.00,-0.0045
2100.00,-0.0045
2098.00,-0.0045
2096.00,-0.0045
2094.00,-0.0045
2092.00,-0.0045
2090.00,-0.0045
2088.00,-0.0045
2086.00,-0.0045
2084.00,-0.0045
2082.00,-0.0045
2080.00,-0.0045
2078.00,-0.0045
2076.00,-0.0045
2074.00,-0.0045
2072.00,-0.0045
2070.00,-0.0045
2068.00,-0.0045
2066.00,-0.0045
2064.00,-0.0045
2062.00,-0.0045
2060.00,-0.0045
2058.00,-0.0045
2056.00,-0.0045
2054.00,-0.0045
2052.00,-0.0045
2050.00,-0.0045
2048.00,-0.0045
2046.00,-0.0045
2044.00,-0.0045
2042.00,-0.0045
2040.00,-0.0045
2038.00,-0.0045
2036.00,-0.0045
2034.00,-0.0045
2032.00,-0.0045
2030.00,-0.0045
2028.00,-0.0045
2026.00,-0.0045
2024.00,-0.0045
2022.00,-0.0045
2020.00,-0.0045
2018.00,-0.0045
2016.00,-0.0045
2014.00,-0.0045
2012.00,-0.0045
2010.00,-0.0045
2008.00,-0.0045
2006.00,-0.0045
2004.00,-0.0045
2002.00,-0.0045
2000.00,-0.0045
