Created as New Dataset,Sample 053 By Analyst Date Wednesday, April 02 2025
cm-1,A
4000.00,-0.1029
3998.00,-0.1029
3996.00,-0.1029
3994.00,-0.1029
3992.00,-0.1029
3990.00,-0.1029
3988.00,-0.1029
3986.00,-0.1028
3984.00,-0.1028
3982.00,-0.1027
3980.00,-0.1026
3978.00,-0.1026
3976.00,-0.1026
3974.00,-0.1025
3972.00,-0.1025
3970.00,-0.1025
3968.00,-0.1025
3966.00,-0.1026
3964.00,-0.1026
3962.00,-0.1026
3960.00,-0.1027
3958.00,-0.1026
3956.00,-0.1026
3954.00,-0.1026
3952.00,-0.1026
3950.00,-0.1025
3948.00,-0.1025
3946.00,-0.1025
3944.00,-0.1024
3942.00,-0.1024
3940.00,-0.1024
3938.00,-0.1024
3936.00,-0.1025
3934.00,-0.1025
3932.00,-0.1025
3930.00,-0.1026
3928.00,-0.1026
3926.00,-0.1025
3924.00,-0.1025
3922.00,-0.1025
3920.00,-0.1024
3918.00,-0.1023
3916.00,-0.1022
3914.00,-0.1021
3912.00,-0.1021
3910.00,-0.1021
3908.00,-0.1023
3906.00,-0.1024
3904.00,-0.1025
3902.00,-0.1026
3900.00,-0.1025
3898.00,-0.1024
3896.00,-0.1025
3894.00,-0.1025
3892.00,-0.1023
3890.00,-0.1024
3888.00,-0.1024
3886.00,-0.1022
3884.00,-0.1024
3882.00,-0.1023
3880.00,-0.1021
3878.00,-0.1024
3876.00,-0.1023
3874.00,-0.1024
3872.00,-0.1025
3870.00,-0.1024
3868.00,-0.1027
3866.00,-0.1026
3864.00,-0.1025
3862.00,-0.1024
3860.00,-0.1024
3858.00,-0.1025
3856.00,-0.1025
3854.00,-0.1020
3852.00,-0.1021
3850.00,-0.1024
3848.00,-0.1022
3846.00,-0.1022
3844.00,-0.1022
3842.00,-0.1024
3840.00,-0.1024
3838.00,-0.1023
3836.00,-0.1024
3834.00,-0.1024
3832.00,-0.1022
3830.00,-0.1022
3828.00,-0.1021
3826.00,-0.1021
3824.00,-0.1022
3822.00,-0.1019
3820.00,-0.1020
3818.00,-0.1020
3816.00,-0.1016
3814.00,-0.1017
3812.00,-0.1017
3810.00,-0.1018
3808.00,-0.1017
3806.00,-0.1019
3804.00,-0.1022
3802.00,-0.1018
3800.00,-0.1020
3798.00,-0.1019
3796.00,-0.1016
3794.00,-0.1016
3792.00,-0.1014
3790.00,-0.1013
3788.00,-0.1013
3786.00,-0.1013
3784.00,-0.1014
3782.00,-0.1016
3780.00,-0.1015
3778.00,-0.1015
3776.00,-0.1016
3774.00,-0.1017
3772.00,-0.1018
3770.00,-0.1017
3768.00,-0.1018
3766.00,-0.1017
3764.00,-0.1017
3762.00,-0.1018
3760.00,-0.1017
3758.00,-0.1017
3756.00,-0.1018
3754.00,-0.1019
3752.00,-0.1019
3750.00,-0.1018
3748.00,-0.1022
3746.00,-0.1018
3744.00,-0.1014
3742.00,-0.1020
3740.00,-0.1019
3738.00,-0.1019
3736.00,-0.1018
3734.00,-0.1017
3732.00,-0.1014
3730.00,-0.1014
3728.00,-0.1012
3726.00,-0.1011
3724.00,-0.1011
3722.00,-0.1010
3720.00,-0.1010
3718.00,-0.1010
3716.00,-0.1011
3714.00,-0.1013
3712.00,-0.1013
3710.00,-0.1014
3708.00,-0.1015
3706.00,-0.1015
3704.00,-0.1015
3702.00,-0.1014
3700.00,-0.1014
3698.00,-0.1015
3696.00,-0.1016
3694.00,-0.1018
3692.00,-0.1021
3690.00,-0.1020
3688.00,-0.1020
3686.00,-0.1023
3684.00,-0.1023
3682.00,-0.1024
3680.00,-0.1026
3678.00,-0.1029
3676.00,-0.1027
3674.00,-0.1029
3672.00,-0.1028
3670.00,-0.1025
3668.00,-0.1024
3666.00,-0.1022
3664.00,-0.1020
3662.00,-0.1020
3660.00,-0.1020
3658.00,-0.1020
3656.00,-0.1020
3654.00,-0.1024
3652.00,-0.1026
3650.00,-0.1025
3648.00,-0.1024
3646.00,-0.1024
3644.00,-0.1021
3642.00,-0.1019
3640.00,-0.1017
3638.00,-0.1017
3636.00,-0.1017
3634.00,-0.1017
3632.00,-0.1020
3630.00,-0.1018
3628.00,-0.1017
3626.00,-0.1020
3624.00,-0.1020
3622.00,-0.1021
3620.00,-0.1021
3618.00,-0.1022
3616.00,-0.1023
3614.00,-0.1023
3612.00,-0.1022
3610.00,-0.1022
3608.00,-0.1020
3606.00,-0.1020
3604.00,-0.1019
3602.00,-0.1019
3600.00,-0.1019
3598.00,-0.1019
3596.00,-0.1019
3594.00,-0.1019
3592.00,-0.1021
3590.00,-0.1022
3588.00,-0.1021
3586.00,-0.1021
3584.00,-0.1021
3582.00,-0.1021
3580.00,-0.1020
3578.00,-0.1020
3576.00,-0.1020
3574.00,-0.1020
3572.00,-0.1020
3570.00,-0.1022
3568.00,-0.1022
3566.00,-0.1022
3564.00,-0.1023
3562.00,-0.1022
3560.00,-0.1022
3558.00,-0.1022
3556.00,-0.1023
3554.00,-0.1024
3552.00,-0.1024
3550.00,-0.1024
3548.00,-0.1024
3546.00,-0.1023
3544.00,-0.1022
3542.00,-0.1021
3540.00,-0.1021
3538.00,-0.1020
3536.00,-0.1020
3534.00,-0.1020
3532.00,-0.1021
3530.00,-0.1022
3528.00,-0.1022
3526.00,-0.1023
3524.00,-0.1023
3522.00,-0.1022
3520.00,-0.1022
3518.00,-0.1021
3516.00,-0.1021
3514.00,-0.1020
3512.00,-0.1020
3510.00,-0.1019
3508.00,-0.1019
3506.00,-0.1019
3504.00,-0.1019
3502.00,-0.1019
3500.00,-0.1019
3498.00,-0.1020
3496.00,-0.1020
3494.00,-0.1021
3492.00,-0.1021
3490.00,-0.1022
3488.00,-0.1022
3486.00,-0.1022
3484.00,-0.1022
3482.00,-0.1022
3480.00,-0.1022
3478.00,-0.1021
3476.00,-0.1021
3474.00,-0.1021
3472.00,-0.1021
3470.00,-0.1022
3468.00,-0.1023
3466.00,-0.1024
3464.00,-0.1025
3462.00,-0.1025
3460.00,-0.1026
3458.00,-0.1026
3456.00,-0.1026
3454.00,-0.1026
3452.00,-0.1026
3450.00,-0.1026
3448.00,-0.1026
3446.00,-0.1026
3444.00,-0.1026
3442.00,-0.1026
3440.00,-0.1027
3438.00,-0.1027
3436.00,-0.1027
3434.00,-0.1028
3432.00,-0.1029
3430.00,-0.1029
3428.00,-0.1030
3426.00,-0.1030
3424.00,-0.1030
3422.00,-0.1029
3420.00,-0.1028
3418.00,-0.1027
3416.00,-0.1026
3414.00,-0.1025
3412.00,-0.1024
3410.00,-0.1023
3408.00,-0.1023
3406.00,-0.1022
3404.00,-0.1022
3402.00,-0.1022
3400.00,-0.1021
3398.00,-0.1021
3396.00,-0.1021
3394.00,-0.1020
3392.00,-0.1019
3390.00,-0.1019
3388.00,-0.1018
3386.00,-0.1017
3384.00,-0.1016
3382.00,-0.1016
3380.00,-0.1015
3378.00,-0.1015
3376.00,-0.1015
3374.00,-0.1015
3372.00,-0.1015
3370.00,-0.1016
3368.00,-0.1016
3366.00,-0.1016
3364.00,-0.1016
3362.00,-0.1016
3360.00,-0.1015
3358.00,-0.1015
3356.00,-0.1014
3354.00,-0.1013
3352.00,-0.1013
3350.00,-0.1013
3348.00,-0.1013
3346.00,-0.1013
3344.00,-0.1014
3342.00,-0.1015
3340.00,-0.1015
3338.00,-0.1016
3336.00,-0.1017
3334.00,-0.1017
3332.00,-0.1018
3330.00,-0.1017
3328.00,-0.1017
3326.00,-0.1017
3324.00,-0.1017
3322.00,-0.1016
3320.00,-0.1016
3318.00,-0.1017
3316.00,-0.1017
3314.00,-0.1018
3312.00,-0.1019
3310.00,-0.1020
3308.00,-0.1022
3306.00,-0.1023
3304.00,-0.1025
3302.00,-0.1025
3300.00,-0.1025
3298.00,-0.1024
3296.00,-0.1023
3294.00,-0.1021
3292.00,-0.1019
3290.00,-0.1018
3288.00,-0.1016
3286.00,-0.1015
3284.00,-0.1014
3282.00,-0.1014
3280.00,-0.1014
3278.00,-0.1014
3276.00,-0.1014
3274.00,-0.1014
3272.00,-0.1014
3270.00,-0.1013
3268.00,-0.1013
3266.00,-0.1013
3264.00,-0.1012
3262.00,-0.1011
3260.00,-0.1011
3258.00,-0.1011
3256.00,-0.1010
3254.00,-0.1010
3252.00,-0.1011
3250.00,-0.1011
3248.00,-0.1012
3246.00,-0.1012
