gas_ftir_scan24_replicate1,gas_ftir_scan24_replicate2,gas_ftir_scan24_replicate3,gas_ftir_scan24_replicate4,gas_ftir_scan24_replicate5,gas_ftir_scan24_replicate6,gas_ftir_scan24_replicate7,gas_ftir_scan24_replicate8,gas_ftir_scan24_replicate9
139.92,130.33,120.45,131.16,100.97,100.91,93.36,98.49,100.37
139.91,130.32,120.45,131.16,100.97,100.91,93.36,98.5,100.37
139.91,130.32,120.45,131.16,100.97,100.91,93.36,98.49,100.37
139.9,130.31,120.44,131.15,100.97,100.91,93.36,98.49,100.37
139.89,130.31,120.44,131.15,100.97,100.91,93.36,98.49,100.37
139.88,130.3,120.43,131.15,100.97,100.91,93.36,98.49,100.37
139.87,130.29,120.43,131.14,100.97,100.91,93.36,98.49,100.37
139.86,130.29,120.42,131.14,100.97,100.91,93.36,98.49,100.37
139.84,130.28,120.41,131.13,100.97,100.91,93.36,98.49,100.37
139.83,130.27,120.41,131.13,100.97,100.91,93.36,98.49,100.37
139.82,130.26,120.4,131.12,100.97,100.91,93.36,98.49,100.37
139.81,130.25,120.4,131.12,100.97,100.92,93.36,98.49,100.37
139.8,130.24,120.39,131.11,100.97,100.92,93.35,98.49,100.37
139.79,130.23,120.39,131.11,100.97,100.91,93.35,98.49,100.37
139.77,130.22,120.38,131.1,100.97,100.91,93.35,98.49,100.37
139.76,130.22,120.38,131.1,100.97,100.91,93.35,98.49,100.36
139.74,130.21,120.38,131.09,100.97,100.91,93.35,98.49,100.36
139.73,130.2,120.37,131.08,100.97,100.91,93.35,98.49,100.36
139.72,130.19,120.37,131.08,100.97,100.91,93.35,98.49,100.36
139.7,130.18,120.36,131.07,100.97,100.91,93.35,98.49,100.37
139.69,130.17,120.36,131.06,100.97,100.91,93.34,98.49,100.37
139.68,130.17,120.35,131.06,100.97,100.91,93.34,98.5,100.37
139.66,130.16,120.35,131.05,100.97,100.91,93.34,98.5,100.37
139.65,130.15,120.34,131.05,100.97,100.91,93.34,98.5,100.37
139.65,130.14,120.34,131.04,100.97,100.91,93.34,98.5,100.37
139.64,130.13,120.33,131.03,100.97,100.91,93.35,98.49,100.36
139.63,130.13,120.33,131.03,100.97,100.91,93.35,98.49,100.36
139.62,130.12,120.33,131.02,100.97,100.91,93.35,98.49,100.36
139.61,130.11,120.32,131.02,100.97,100.91,93.35,98.49,100.36
139.6,130.11,120.32,131.01,100.97,100.91,93.35,98.49,100.37
139.58,130.1,120.32,131.01,100.97,100.9,93.35,98.49,100.37
139.57,130.1,120.32,131.0,100.97,100.9,93.35,98.49,100.37
139.57,130.09,120.32,131.0,100.97,100.9,93.35,98.49,100.37
139.56,130.09,120.32,131.0,100.97,100.9,93.35,98.49,100.37
139.55,130.09,120.32,130.99,100.96,100.9,93.34,98.5,100.36
139.55,130.09,120.32,130.99,100.96,100.9,93.35,98.5,100.36
139.54,130.09,120.32,130.99,100.96,100.9,93.35,98.49,100.36
139.54,130.09,120.32,130.99,100.96,100.9,93.35,98.49,100.36
139.53,130.09,120.32,130.99,100.96,100.9,93.35,98.49,100.36
139.53,130.08,120.32,130.99,100.96,100.9,93.35,98.49,100.36
139.53,130.08,120.32,130.98,100.96,100.9,93.35,98.49,100.36
139.53,130.08,120.32,130.98,100.96,100.9,93.36,98.49,100.36
139.53,130.08,120.32,130.98,100.96,100.9,93.36,98.49,100.36
139.53,130.09,120.32,130.98,100.96,100.9,93.36,98.49,100.36
139.53,130.09,120.33,130.98,100.96,100.9,93.36,98.49,100.36
139.53,130.09,120.33,130.99,100.96,100.9,93.36,98.49,100.36
139.53,130.1,120.33,130.99,100.96,100.9,93.36,98.49,100.36
139.53,130.1,120.33,130.99,100.96,100.9,93.36,98.49,100.36
139.53,130.11,120.33,131.0,100.96,100.9,93.36,98.48,100.36
139.52,130.11,120.33,131.0,100.96,100.9,93.36,98.48,100.36
139.52,130.11,120.34,131.0,100.96,100.9,93.35,98.48,100.36
139.52,130.11,120.34,131.0,100.96,100.9,93.35,98.48,100.36
139.52,130.11,120.34,131.01,100.96,100.9,93.35,98.48,100.36
139.52,130.11,120.34,131.01,100.96,100.9,93.34,98.48,100.37
139.52,130.11,120.33,131.01,100.96,100.9,93.34,98.48,100.37
139.52,130.11,120.33,131.0,100.96,100.9,93.35,98.48,100.36
139.52,130.11,120.33,131.0,100.95,100.9,93.36,98.48,100.36
139.52,130.11,120.33,131.01,100.95,100.9,93.36,98.48,100.36
139.52,130.1,120.33,131.01,100.95,100.91,93.35,98.48,100.36
139.51,130.09,120.33,131.0,100.96,100.91,93.35,98.48,100.36
139.5,130.08,120.32,130.99,100.96,100.91,93.35,98.48,100.36
139.49,130.08,120.31,130.98,100.96,100.91,93.36,98.49,100.35
139.49,130.08,120.31,130.98,100.96,100.9,93.36,98.49,100.35
139.48,130.07,120.31,130.98,100.96,100.9,93.35,98.48,100.36
139.48,130.07,120.3,130.97,100.96,100.9,93.34,98.48,100.36
139.47,130.06,120.3,130.96,100.96,100.9,93.34,98.48,100.36
139.46,130.06,120.29,130.96,100.96,100.9,93.34,98.48,100.36
139.45,130.06,120.28,130.96,100.95,100.9,93.34,98.48,100.36
139.45,130.05,120.28,130.96,100.95,100.9,93.34,98.48,100.36
139.45,130.05,120.28,130.96,100.96,100.9,93.34,98.48,100.36
139.44,130.04,120.27,130.95,100.96,100.9,93.33,98.48,100.36
139.44,130.04,120.27,130.95,100.96,100.9,93.33,98.48,100.36
139.43,130.03,120.27,130.95,100.96,100.9,93.33,98.47,100.36
139.42,130.02,120.26,130.94,100.96,100.9,93.33,98.47,100.36
139.42,130.02,120.26,130.93,100.96,100.9,93.34,98.47,100.36
139.41,130.01,120.25,130.93,100.96,100.9,93.33,98.47,100.36
139.4,130.01,120.25,130.93,100.96,100.91,93.32,98.47,100.36
139.39,130.0,120.25,130.92,100.96,100.91,93.31,98.46,100.36
139.38,130.0,120.24,130.91,100.96,100.9,93.3,98.46,100.36
139.37,130.0,120.24,130.9,100.95,100.9,93.3,98.47,100.36
139.37,130.0,120.23,130.9,100.95,100.9,93.3,98.46,100.36
139.37,129.99,120.23,130.9,100.95,100.9,93.3,98.46,100.36
139.36,129.98,120.23,130.89,100.95,100.9,93.31,98.46,100.36
139.36,129.97,120.22,130.89,100.95,100.9,93.31,98.46,100.36
139.36,129.97,120.22,130.88,100.95,100.9,93.31,98.46,100.36
139.36,129.96,120.22,130.88,100.95,100.9,93.32,98.47,100.36
139.36,129.95,120.22,130.88,100.95,100.9,93.33,98.47,100.36
139.36,129.95,120.22,130.87,100.96,100.9,93.34,98.47,100.36
139.36,129.95,120.22,130.87,100.96,100.9,93.34,98.48,100.36
139.36,129.95,120.22,130.87,100.96,100.9,93.34,98.48,100.36
139.35,129.95,120.22,130.87,100.96,100.9,93.33,98.48,100.35
139.35,129.96,120.22,130.87,100.96,100.9,93.31,98.47,100.35
139.34,129.97,120.22,130.88,100.96,100.9,93.29,98.47,100.35
139.34,129.99,120.22,130.88,100.96,100.89,93.28,98.47,100.35
139.33,130.01,120.22,130.89,100.96,100.89,93.26,98.46,100.36
139.33,130.04,120.23,130.9,100.96,100.9,93.25,98.45,100.37
139.33,130.06,120.24,130.92,100.96,100.9,93.22,98.43,100.38
139.32,130.06,120.24,130.93,100.96,100.9,93.21,98.41,100.39
139.32,130.06,120.24,130.94,100.96,100.9,93.21,98.41,100.39
139.32,130.06,120.24,130.94,100.96,100.9,93.24,98.41,100.39
139.33,130.07,120.24,130.95,100.96,100.9,93.27,98.42,100.38
139.34,130.06,120.25,130.96,100.96,100.91,93.28,98.42,100.38
139.33,130.04,120.25,130.96,100.97,100.91,93.27,98.42,100.38
139.33,130.03,120.25,130.95,100.97,100.91,93.27,98.42,100.37
139.32,130.03,120.25,130.94,100.97,100.91,93.28,98.43,100.37
139.32,130.02,120.25,130.94,100.96,100.9,93.28,98.44,100.37
139.32,130.01,120.25,130.93,100.96,100.9,93.29,98.44,100.36
139.32,130.01,120.25,130.93,100.96,100.9,93.3,98.45,100.36
139.32,130.01,120.25,130.92,100.96,100.9,93.31,98.45,100.36
139.31,130.02,120.25,130.93,100.96,100.9,93.29,98.45,100.36
139.3,130.02,120.25,130.94,100.96,100.91,93.26,98.44,100.36
139.28,130.01,120.25,130.93,100.97,100.91,93.24,98.43,100.36
139.27,130.01,120.23,130.91,100.97,100.9,93.26,98.44,100.36
139.27,130.03,120.22,130.91,100.96,100.89,93.29,98.45,100.36
139.28,130.05,120.22,130.93,100.96,100.88,93.29,98.44,100.37
139.29,130.04,120.23,130.95,100.96,100.9,93.26,98.43,100.37
139.28,130.02,120.24,130.95,100.97,100.91,93.24,98.42,100.37
139.27,130.0,120.22,130.93,100.97,100.9,93.26,98.43,100.37
139.27,130.01,120.21,130.92,100.96,100.89,93.3,98.45,100.36
139.28,130.02,120.22,130.93,100.95,100.89,93.32,98.45,100.36
139.27,130.01,120.23,130.94,100.95,100.91,93.3,98.43,100.37
139.25,129.99,120.23,130.93,100.96,100.92,93.26,98.42,100.37
139.23,129.97,120.22,130.91,100.97,100.92,93.25,98.42,100.37
139.23,129.96,120.21,130.89,100.96,100.91,93.27,98.44,100.37
139.24,129.98,120.2,130.89,100.95,100.89,93.3,98.45,100.36
139.25,130.0,120.2,130.9,100.95,100.89,93.29,98.45,100.36
139.24,129.99,120.21,130.92,100.96,100.9,93.25,98.43,100.37
139.22,129.97,120.21,130.92,100.97,100.91,93.21,98.42,100.37
139.21,129.97,120.2,130.89,100.97,100.91,93.21,98.42,100.37
139.2,129.99,120.18,130.88,100.96,100.89,93.25,98.44,100.36
139.21,130.02,120.18,130.9,100.96,100.89,93.25,98.44,100.37
139.21,130.02,120.2,130.92,100.96,100.9,93.21,98.42,100.37
139.2,130.0,120.2,130.92,100.97,100.91,93.19,98.41,100.38
139.19,129.99,120.19,130.9,100.98,100.91,93.22,98.42,100.37
139.2,129.99,120.18,130.89,100.97,100.89,93.26,98.43,100.37
139.2,129.99,120.18,130.9,100.96,100.89,93.27,98.43,100.37
139.2,129.97,120.19,130.91,100.96,100.9,93.26,98.41,100.37
139.18,129.94,120.19,130.89,100.97,100.91,93.26,98.41,100.37
139.16,129.93,120.18,130.86,100.97,100.91,93.26,98.42,100.37
139.15,129.93,120.17,130.85,100.96,100.9,93.27,98.43,100.37
139.15,129.95,120.18,130.85,100.96,100.9,93.27,98.43,100.36
139.15,129.96,120.18,130.87,100.96,100.9,93.24,98.43,100.36
139.15,129.98,120.19,130.88,100.97,100.91,93.18,98.43,100.36
139.14,130.0,120.2,130.9,100.99,100.93,93.11,98.43,100.35
139.12,130.01,120.21,130.91,101.01,100.93,93.06,98.44,100.34
139.11,130.04,120.2,130.92,101.02,100.92,93.07,98.45,100.34
139.16,130.07,120.2,130.94,101.02,100.91,93.13,98.45,100.35
139.21,130.08,120.2,130.96,101.02,100.91,93.15,98.42,100.36
139.18,130.06,120.21,130.96,101.03,100.92,93.11,98.4,100.37
139.12,130.04,120.2,130.95,101.04,100.91,93.12,98.41,100.37
139.12,130.03,120.19,130.93,101.02,100.9,93.2,98.42,100.37
139.14,130.0,120.2,130.93,100.99,100.9,93.26,98.42,100.37
139.15,129.97,120.21,130.91,100.97,100.91,93.29,98.41,100.37
139.15,129.93,120.2,130.88,100.97,100.91,93.29,98.41,100.37
139.13,129.9,120.2,130.85,100.96,100.91,93.29,98.42,100.36
139.12,129.9,120.19,130.83,100.95,100.9,93.3,98.43,100.36
139.12,129.91,120.18,130.82,100.95,100.89,93.29,98.44,100.35
139.11,129.92,120.18,130.83,100.94,100.88,93.27,98.43,100.35
139.11,129.93,120.19,130.84,100.95,100.89,93.24,98.43,100.36
139.1,129.94,120.19,130.85,100.96,100.9,93.22,98.42,100.36
139.1,129.95,120.18,130.85,100.96,100.9,93.22,98.43,100.36
139.1,129.97,120.18,130.87,100.97,100.89,93.22,98.43,100.36
139.1,129.98,120.18,130.88,100.97,100.89,93.23,98.42,100.36
139.1,129.98,120.18,130.88,100.98,100.9,93.22,98.41,100.37
139.09,129.97,120.18,130.88,100.98,100.9,93.22,98.41,100.37
139.09,129.96,120.17,130.87,100.98,100.9,93.24,98.41,100.37
139.09,129.94,120.17,130.86,100.98,100.91,93.27,98.41,100.37
139.08,129.92,120.17,130.86,100.97,100.91,93.29,98.41,100.37
139.07,129.9,120.16,130.84,100.97,100.91,93.29,98.41,100.37
139.05,129.87,120.16,130.83,100.96,100.91,93.28,98.41,100.37
139.04,129.84,120.15,130.8,100.96,100.91,93.28,98.42,100.36
139.03,129.81,120.14,130.78,100.96,100.9,93.3,98.43,100.36
139.03,129.81,120.12,130.76,100.95,100.89,93.32,98.44,100.35
139.03,129.82,120.11,130.75,100.94,100.89,93.32,98.44,100.35
139.02,129.82,120.11,130.76,100.95,100.89,93.28,98.44,100.35
139.01,129.81,120.12,130.77,100.95,100.9,93.24,98.42,100.36
138.99,129.8,120.11,130.75,100.96,100.9,93.22,98.42,100.36
138.99,129.81,120.09,130.73,100.96,100.89,93.25,98.43,100.36
139.0,129.84,120.08,130.74,100.96,100.88,93.27,98.44,100.36
139.01,129.85,120.09,130.77,100.96,100.89,93.25,98.42,100.37
138.99,129.83,120.1,130.79,100.97,100.91,93.18,98.39,100.37
138.96,129.8,120.1,130.77,100.98,100.92,93.16,98.39,100.37
138.96,129.8,120.07,130.75,100.98,100.91,93.2,98.41,100.37
138.97,129.81,120.06,130.74,100.97,100.89,93.25,98.43,100.36
138.98,129.8,120.06,130.76,100.97,100.89,93.26,98.42,100.36
138.97,129.77,120.07,130.76,100.98,100.91,93.24,98.41,100.36
138.95,129.73,120.06,130.73,100.98,100.91,93.23,98.42,100.36
