gas_ftir_scan30_replicate1,gas_ftir_scan30_replicate2,gas_ftir_scan30_replicate3,gas_ftir_scan30_replicate4,gas_ftir_scan30_replicate5,gas_ftir_scan30_replicate6,gas_ftir_scan30_replicate7,gas_ftir_scan30_replicate8,gas_ftir_scan30_replicate9
92.79,106.96,99.84,134.14,129.87,113.76,107.42,128.99,117.22
92.79,106.95,99.84,134.14,129.86,113.76,107.42,128.99,117.21
92.79,106.95,99.84,134.13,129.86,113.76,107.41,128.98,117.21
92.79,106.95,99.84,134.13,129.85,113.75,107.41,128.98,117.2
92.78,106.94,99.84,134.12,129.85,113.75,107.41,128.97,117.2
92.78,106.94,99.84,134.11,129.84,113.74,107.4,128.97,117.19
92.78,106.94,99.84,134.1,129.84,113.74,107.4,128.96,117.19
92.78,106.94,99.84,134.09,129.83,113.74,107.4,128.96,117.18
92.78,106.94,99.84,134.09,129.83,113.73,107.39,128.95,117.18
92.78,106.94,99.84,134.08,129.83,113.73,107.39,128.94,117.17
92.78,106.94,99.84,134.07,129.82,113.72,107.39,128.94,117.17
92.78,106.94,99.83,134.07,129.81,113.72,107.39,128.93,117.16
92.78,106.93,99.83,134.06,129.8,113.71,107.38,128.92,117.16
92.78,106.93,99.83,134.05,129.79,113.71,107.38,128.91,117.15
92.78,106.93,99.83,134.04,129.78,113.7,107.38,128.9,117.15
92.78,106.93,99.83,134.03,129.77,113.7,107.38,128.89,117.14
92.78,106.93,99.83,134.02,129.76,113.69,107.38,128.87,117.13
92.78,106.93,99.84,134.01,129.75,113.69,107.37,128.86,117.13
92.79,106.93,99.84,134.0,129.74,113.68,107.37,128.85,117.12
92.79,106.92,99.84,133.99,129.72,113.68,107.37,128.84,117.11
92.79,106.92,99.84,133.98,129.71,113.67,107.37,128.83,117.11
92.79,106.92,99.84,133.97,129.7,113.67,107.37,128.82,117.1
92.79,106.92,99.84,133.96,129.69,113.66,107.37,128.81,117.09
92.79,106.92,99.84,133.94,129.68,113.66,107.37,128.8,117.09
92.79,106.92,99.84,133.93,129.67,113.65,107.37,128.79,117.09
92.79,106.92,99.84,133.92,129.66,113.65,107.37,128.78,117.08
92.79,106.92,99.84,133.91,129.65,113.64,107.37,128.77,117.08
92.79,106.92,99.84,133.9,129.63,113.64,107.37,128.76,117.08
92.79,106.93,99.84,133.89,129.62,113.64,107.37,128.75,117.08
92.79,106.93,99.84,133.88,129.61,113.64,107.37,128.74,117.07
92.79,106.92,99.84,133.87,129.6,113.64,107.37,128.73,117.07
92.79,106.92,99.84,133.86,129.59,113.63,107.37,128.72,117.07
92.79,106.92,99.84,133.85,129.58,113.63,107.37,128.72,117.07
92.79,106.92,99.84,133.85,129.58,113.63,107.37,128.71,117.07
92.79,106.92,99.84,133.84,129.57,113.63,107.37,128.71,117.07
92.79,106.92,99.84,133.83,129.56,113.63,107.37,128.7,117.07
92.79,106.92,99.84,133.82,129.56,113.63,107.37,128.7,117.07
92.79,106.92,99.84,133.82,129.56,113.63,107.37,128.7,117.07
92.79,106.92,99.84,133.81,129.55,113.63,107.37,128.7,117.07
92.78,106.92,99.84,133.8,129.55,113.63,107.38,128.7,117.07
92.78,106.92,99.83,133.8,129.55,113.63,107.38,128.7,117.07
92.78,106.92,99.83,133.8,129.55,113.63,107.38,128.7,117.07
92.78,106.92,99.83,133.8,129.55,113.64,107.38,128.7,117.07
92.77,106.92,99.83,133.8,129.55,113.64,107.38,128.7,117.08
92.77,106.92,99.82,133.81,129.55,113.64,107.38,128.71,117.08
92.77,106.92,99.82,133.81,129.55,113.65,107.38,128.71,117.08
92.77,106.92,99.82,133.81,129.56,113.65,107.38,128.71,117.08
92.76,106.92,99.82,133.8,129.56,113.65,107.38,128.71,117.09
92.76,106.92,99.82,133.8,129.56,113.66,107.38,128.72,117.09
92.76,106.92,99.82,133.8,129.57,113.66,107.38,128.72,117.09
92.76,106.92,99.82,133.79,129.57,113.66,107.38,128.72,117.09
92.76,106.92,99.82,133.79,129.58,113.67,107.38,128.73,117.09
92.76,106.92,99.82,133.79,129.59,113.67,107.38,128.74,117.09
92.76,106.92,99.82,133.79,129.59,113.68,107.38,128.74,117.09
92.75,106.92,99.82,133.78,129.59,113.68,107.38,128.74,117.09
92.75,106.91,99.82,133.78,129.59,113.68,107.38,128.74,117.09
92.75,106.91,99.81,133.78,129.6,113.68,107.38,128.74,117.08
92.75,106.91,99.81,133.78,129.6,113.67,107.38,128.74,117.09
92.75,106.91,99.8,133.79,129.6,113.67,107.38,128.74,117.09
92.75,106.91,99.8,133.79,129.59,113.66,107.38,128.73,117.09
92.75,106.91,99.8,133.79,129.58,113.66,107.38,128.72,117.09
92.75,106.9,99.8,133.79,129.58,113.66,107.37,128.72,117.08
92.75,106.9,99.8,133.79,129.57,113.65,107.37,128.72,117.07
92.75,106.91,99.8,133.79,129.57,113.65,107.37,128.72,117.07
92.75,106.91,99.8,133.78,129.56,113.65,107.37,128.71,117.06
92.75,106.91,99.8,133.76,129.56,113.65,107.37,128.7,117.06
92.76,106.91,99.81,133.75,129.55,113.65,107.36,128.69,117.05
92.76,106.91,99.81,133.73,129.55,113.65,107.36,128.69,117.04
92.76,106.91,99.81,133.72,129.55,113.65,107.36,128.68,117.04
92.76,106.91,99.81,133.72,129.54,113.64,107.36,128.67,117.03
92.76,106.91,99.81,133.71,129.53,113.63,107.36,128.67,117.03
92.76,106.9,99.81,133.7,129.52,113.63,107.36,128.66,117.02
92.76,106.91,99.81,133.7,129.52,113.63,107.36,128.65,117.02
92.76,106.91,99.81,133.69,129.5,113.62,107.36,128.64,117.02
92.77,106.91,99.81,133.69,129.5,113.61,107.35,128.63,117.01
92.77,106.91,99.81,133.68,129.49,113.61,107.35,128.63,117.01
92.77,106.91,99.81,133.67,129.48,113.6,107.35,128.62,117.0
92.77,106.91,99.81,133.65,129.47,113.6,107.35,128.61,117.0
92.77,106.92,99.82,133.64,129.47,113.6,107.35,128.6,116.99
92.78,106.92,99.83,133.62,129.46,113.6,107.35,128.59,116.98
92.78,106.92,99.84,133.61,129.46,113.6,107.35,128.59,116.98
92.79,106.92,99.84,133.6,129.45,113.6,107.35,128.59,116.98
92.79,106.92,99.84,133.6,129.45,113.6,107.35,128.58,116.98
92.79,106.92,99.84,133.59,129.44,113.59,107.35,128.57,116.98
92.78,106.91,99.83,133.59,129.43,113.59,107.35,128.56,116.98
92.78,106.91,99.82,133.59,129.42,113.58,107.35,128.56,116.98
92.78,106.9,99.82,133.59,129.4,113.58,107.35,128.54,116.98
92.78,106.89,99.81,133.6,129.39,113.57,107.35,128.54,116.98
92.78,106.89,99.81,133.6,129.38,113.56,107.35,128.53,116.98
92.78,106.9,99.8,133.6,129.38,113.56,107.35,128.53,116.98
92.78,106.9,99.79,133.6,129.38,113.56,107.35,128.53,116.98
92.78,106.9,99.79,133.59,129.39,113.56,107.35,128.53,116.97
92.78,106.9,99.79,133.57,129.4,113.56,107.35,128.53,116.97
92.78,106.9,99.8,133.55,129.41,113.57,107.35,128.54,116.97
92.78,106.91,99.81,133.53,129.43,113.58,107.36,128.55,116.96
92.79,106.92,99.83,133.51,129.45,113.6,107.36,128.57,116.96
92.79,106.95,99.86,133.48,129.47,113.61,107.36,128.59,116.96
92.79,106.97,99.89,133.47,129.49,113.63,107.36,128.61,116.96
92.79,106.98,99.9,133.45,129.49,113.65,107.36,128.61,116.96
92.79,106.96,99.91,133.45,129.5,113.65,107.35,128.61,116.95
92.79,106.95,99.9,133.46,129.51,113.65,107.35,128.61,116.95
92.78,106.94,99.88,133.47,129.5,113.65,107.36,128.62,116.96
92.77,106.94,99.86,133.49,129.49,113.64,107.36,128.61,116.97
92.77,106.94,99.85,133.51,129.48,113.63,107.36,128.61,116.97
92.77,106.93,99.84,133.53,129.46,113.62,107.36,128.6,116.97
92.77,106.93,99.83,133.54,129.46,113.62,107.36,128.6,116.97
92.76,106.92,99.82,133.56,129.45,113.62,107.35,128.59,116.98
92.76,106.91,99.81,133.56,129.45,113.61,107.35,128.59,116.98
92.76,106.9,99.8,133.57,129.45,113.6,107.35,128.59,116.98
92.76,106.9,99.79,133.57,129.46,113.6,107.35,128.6,116.97
92.76,106.92,99.79,133.56,129.46,113.61,107.36,128.6,116.98
92.76,106.93,99.8,133.55,129.46,113.62,107.36,128.6,116.98
92.76,106.92,99.82,133.53,129.46,113.63,107.35,128.59,116.97
92.77,106.91,99.83,133.53,129.48,113.63,107.34,128.59,116.95
92.77,106.91,99.83,133.53,129.49,113.63,107.35,128.61,116.94
92.76,106.93,99.83,133.52,129.49,113.63,107.35,128.62,116.95
92.75,106.94,99.82,133.51,129.48,113.62,107.35,128.61,116.95
92.76,106.93,99.83,133.51,129.47,113.62,107.34,128.59,116.94
92.77,106.91,99.83,133.5,129.47,113.62,107.33,128.58,116.93
92.77,106.9,99.83,133.51,129.48,113.62,107.33,128.58,116.93
92.76,106.92,99.82,133.52,129.48,113.61,107.34,128.6,116.95
92.76,106.94,99.82,133.53,129.46,113.6,107.35,128.59,116.96
92.76,106.94,99.82,133.52,129.44,113.6,107.34,128.57,116.95
92.77,106.93,99.82,133.52,129.43,113.6,107.33,128.55,116.94
92.78,106.91,99.82,133.51,129.43,113.59,107.32,128.55,116.92
92.78,106.91,99.82,133.51,129.44,113.59,107.33,128.56,116.91
92.77,106.93,99.81,133.51,129.45,113.58,107.34,128.57,116.93
92.76,106.95,99.81,133.49,129.43,113.58,107.35,128.56,116.94
92.77,106.94,99.83,133.47,129.42,113.59,107.34,128.54,116.94
92.78,106.93,99.85,133.46,129.43,113.59,107.33,128.53,116.91
92.79,106.93,99.86,133.45,129.45,113.6,107.34,128.54,116.89
92.78,106.96,99.87,133.44,129.46,113.6,107.35,128.56,116.9
92.77,106.98,99.87,133.44,129.44,113.61,107.36,128.55,116.91
92.78,106.96,99.88,133.43,129.42,113.61,107.34,128.52,116.9
92.79,106.94,99.89,133.42,129.41,113.61,107.34,128.51,116.88
92.79,106.95,99.88,133.42,129.41,113.61,107.34,128.53,116.88
92.78,106.96,99.87,133.42,129.39,113.6,107.35,128.53,116.9
92.77,106.97,99.86,133.42,129.36,113.58,107.35,128.51,116.91
92.78,106.95,99.85,133.42,129.34,113.57,107.34,128.48,116.91
92.79,106.94,99.85,133.42,129.34,113.57,107.34,128.47,116.9
92.79,106.94,99.84,133.41,129.34,113.56,107.34,128.48,116.9
92.78,106.94,99.82,133.41,129.35,113.56,107.35,128.48,116.9
