gas_ftir_scan64_replicate1,gas_ftir_scan64_replicate2,gas_ftir_scan64_replicate3,gas_ftir_scan64_replicate4,gas_ftir_scan64_replicate5,gas_ftir_scan64_replicate6,gas_ftir_scan64_replicate7,gas_ftir_scan64_replicate8,gas_ftir_scan64_replicate9,gas_ftir_scan64_replicate10,gas_ftir_scan64_replicate11,gas_ftir_scan64_replicate12,gas_ftir_scan64_replicate13
135.16,136.15,129.44,130.38,130.62,131.66,104.85,105.14,100.07,99.91,91.68,100.26,98.91
135.16,136.14,129.44,130.38,130.61,131.65,104.85,105.14,100.07,99.91,91.68,100.26,98.91
135.15,136.13,129.43,130.38,130.61,131.65,104.85,105.14,100.07,99.91,91.68,100.26,98.91
135.15,136.13,129.43,130.37,130.6,131.64,104.85,105.14,100.07,99.91,91.68,100.26,98.91
135.14,136.12,129.42,130.37,130.6,131.63,104.84,105.13,100.07,99.91,91.68,100.26,98.91
135.13,136.11,129.42,130.36,130.59,131.63,104.84,105.13,100.07,99.91,91.68,100.26,98.91
135.13,136.11,129.41,130.35,130.59,131.62,104.84,105.13,100.07,99.91,91.68,100.26,98.9
135.12,136.1,129.41,130.35,130.58,131.61,104.84,105.13,100.07,99.91,91.68,100.26,98.9
135.11,136.09,129.4,130.34,130.57,131.61,104.84,105.12,100.07,99.91,91.68,100.26,98.9
135.11,136.09,129.39,130.33,130.57,131.6,104.83,105.12,100.07,99.91,91.67,100.26,98.9
135.1,136.08,129.39,130.32,130.57,131.6,104.83,105.12,100.07,99.9,91.67,100.26,98.9
135.09,136.07,129.38,130.32,130.56,131.59,104.83,105.12,100.07,99.9,91.67,100.26,98.9
135.08,136.06,129.37,130.31,130.55,131.58,104.83,105.12,100.07,99.9,91.67,100.26,98.9
135.07,136.05,129.36,130.3,130.54,131.57,104.83,105.12,100.07,99.9,91.67,100.26,98.89
135.06,136.04,129.36,130.29,130.53,131.56,104.83,105.12,100.07,99.9,91.67,100.26,98.89
135.05,136.03,129.35,130.28,130.52,131.55,104.83,105.11,100.07,99.9,91.67,100.25,98.89
135.04,136.02,129.34,130.28,130.51,131.54,104.82,105.11,100.07,99.9,91.67,100.25,98.89
135.03,136.01,129.34,130.27,130.51,131.53,104.82,105.11,100.07,99.9,91.67,100.26,98.88
135.03,136.0,129.33,130.26,130.5,131.53,104.82,105.11,100.07,99.9,91.67,100.26,98.88
135.02,135.99,129.32,130.26,130.49,131.52,104.82,105.11,100.07,99.9,91.67,100.26,98.88
135.01,135.98,129.32,130.25,130.49,131.51,104.82,105.11,100.07,99.9,91.67,100.26,98.88
135.0,135.97,129.31,130.24,130.48,131.5,104.82,105.11,100.07,99.9,91.67,100.25,98.88
135.0,135.96,129.3,130.23,130.47,131.49,104.82,105.11,100.07,99.9,91.67,100.25,98.88
134.99,135.96,129.3,130.23,130.46,131.49,104.82,105.11,100.07,99.9,91.67,100.25,98.88
134.98,135.95,129.29,130.22,130.46,131.48,104.82,105.11,100.07,99.9,91.67,100.25,98.88
134.97,135.94,129.29,130.21,130.45,131.47,104.82,105.11,100.07,99.89,91.66,100.25,98.88
134.96,135.93,129.28,130.21,130.45,131.47,104.83,105.11,100.07,99.89,91.66,100.25,98.88
134.96,135.92,129.28,130.2,130.44,131.46,104.83,105.11,100.07,99.89,91.66,100.25,98.87
134.95,135.91,129.27,130.2,130.44,131.45,104.83,105.11,100.07,99.89,91.66,100.25,98.87
134.94,135.91,129.27,130.19,130.43,131.45,104.83,105.11,100.07,99.89,91.65,100.25,98.87
134.94,135.9,129.26,130.19,130.43,131.44,104.83,105.12,100.07,99.89,91.65,100.25,98.88
134.93,135.9,129.26,130.19,130.42,131.44,104.83,105.12,100.07,99.89,91.65,100.25,98.88
134.93,135.89,129.26,130.18,130.42,131.43,104.83,105.12,100.06,99.89,91.65,100.25,98.88
134.92,135.88,129.25,130.18,130.42,131.43,104.83,105.12,100.06,99.89,91.65,100.25,98.88
134.92,135.88,129.25,130.18,130.41,131.43,104.83,105.12,100.06,99.89,91.65,100.25,98.88
134.91,135.87,129.25,130.18,130.41,131.43,104.84,105.12,100.06,99.89,91.65,100.25,98.88
134.91,135.87,129.25,130.18,130.41,131.42,104.84,105.12,100.06,99.89,91.65,100.25,98.88
134.91,135.87,129.25,130.18,130.41,131.42,104.84,105.12,100.06,99.89,91.65,100.25,98.88
134.91,135.87,129.25,130.18,130.41,131.42,104.84,105.12,100.06,99.89,91.65,100.25,98.88
134.91,135.87,129.25,130.17,130.41,131.42,104.84,105.12,100.06,99.89,91.65,100.25,98.87
134.91,135.86,129.25,130.17,130.41,131.42,104.84,105.12,100.06,99.89,91.65,100.25,98.87
134.91,135.86,129.25,130.17,130.41,131.42,104.84,105.12,100.06,99.89,91.65,100.25,98.86
134.91,135.87,129.25,130.17,130.41,131.42,104.84,105.12,100.06,99.88,91.65,100.25,98.87
134.91,135.87,129.26,130.18,130.42,131.43,104.84,105.13,100.06,99.88,91.64,100.25,98.87
134.91,135.87,129.26,130.18,130.42,131.43,104.84,105.13,100.06,99.88,91.65,100.25,98.87
134.91,135.87,129.26,130.18,130.43,131.43,104.85,105.13,100.06,99.88,91.65,100.25,98.88
134.92,135.87,129.27,130.18,130.43,131.44,104.85,105.13,100.06,99.88,91.65,100.25,98.89
134.92,135.87,129.27,130.19,130.43,131.44,104.85,105.13,100.06,99.88,91.65,100.25,98.89
134.93,135.88,129.27,130.19,130.44,131.44,104.85,105.13,100.07,99.88,91.65,100.25,98.89
134.93,135.88,129.27,130.19,130.44,131.44,104.84,105.13,100.07,99.88,91.65,100.25,98.89
134.94,135.89,129.27,130.19,130.44,131.45,104.84,105.12,100.07,99.87,91.64,100.25,98.88
134.94,135.89,129.27,130.19,130.45,131.45,104.84,105.12,100.07,99.87,91.64,100.25,98.88
134.95,135.9,129.27,130.19,130.45,131.45,104.84,105.12,100.07,99.87,91.64,100.26,98.89
134.95,135.9,129.27,130.19,130.45,131.46,104.84,105.12,100.07,99.87,91.64,100.26,98.89
134.94,135.89,129.27,130.19,130.45,131.46,104.84,105.12,100.07,99.87,91.64,100.25,98.9
134.94,135.89,129.27,130.18,130.45,131.45,104.84,105.12,100.07,99.87,91.65,100.25,98.91
134.95,135.89,129.27,130.18,130.45,131.45,104.84,105.12,100.07,99.87,91.65,100.25,98.92
134.95,135.89,129.27,130.19,130.45,131.45,104.84,105.12,100.07,99.87,91.65,100.25,98.92
134.94,135.88,129.27,130.18,130.44,131.44,104.84,105.12,100.07,99.87,91.65,100.25,98.92
134.92,135.87,129.27,130.18,130.43,131.43,104.84,105.12,100.07,99.87,91.65,100.26,98.91
134.91,135.86,129.26,130.17,130.42,131.42,104.83,105.11,100.07,99.87,91.65,100.26,98.91
134.91,135.86,129.25,130.16,130.42,131.42,104.83,105.11,100.06,99.87,91.65,100.26,98.91
134.91,135.86,129.25,130.16,130.42,131.42,104.83,105.11,100.06,99.87,91.66,100.26,98.91
134.91,135.85,129.25,130.16,130.41,131.41,104.83,105.11,100.06,99.87,91.66,100.26,98.92
