Created as New Dataset,Sample 023 By Analyst Date Thursday, March 27 2025
cm-1,A
4000.00,-0.0485
3999.00,-0.0485
3998.00,-0.0485
3997.00,-0.0485
3996.00,-0.0484
3995.00,-0.0484
3994.00,-0.0484
3993.00,-0.0484
3992.00,-0.0484
3991.00,-0.0484
3990.00,-0.0484
3989.00,-0.0484
3988.00,-0.0484
3987.00,-0.0483
3986.00,-0.0483
3985.00,-0.0483
3984.00,-0.0483
3983.00,-0.0483
3982.00,-0.0483
3981.00,-0.0483
3980.00,-0.0483
3979.00,-0.0482
3978.00,-0.0482
3977.00,-0.0482
3976.00,-0.0482
3975.00,-0.0482
3974.00,-0.0482
3973.00,-0.0482
3972.00,-0.0482
3971.00,-0.0482
3970.00,-0.0482
3969.00,-0.0482
3968.00,-0.0482
3967.00,-0.0482
3966.00,-0.0482
3965.00,-0.0481
3964.00,-0.0481
3963.00,-0.0481
3962.00,-0.0481
3961.00,-0.0482
3960.00,-0.0482
3959.00,-0.0482
3958.00,-0.0482
3957.00,-0.0482
3956.00,-0.0482
3955.00,-0.0482
3954.00,-0.0482
3953.00,-0.0481
3952.00,-0.0481
3951.00,-0.0480
3950.00,-0.0480
3949.00,-0.0480
3948.00,-0.0480
3947.00,-0.0479
3946.00,-0.0479
3945.00,-0.0479
3944.00,-0.0479
3943.00,-0.0480
3942.00,-0.0481
3941.00,-0.0481
3940.00,-0.0481
3939.00,-0.0481
3938.00,-0.0480
3937.00,-0.0480
3936.00,-0.0480
3935.00,-0.0479
3934.00,-0.0478
3933.00,-0.0477
3932.00,-0.0478
3931.00,-0.0478
3930.00,-0.0478
3929.00,-0.0478
3928.00,-0.0478
3927.00,-0.0477
3926.00,-0.0477
3925.00,-0.0477
3924.00,-0.0478
3923.00,-0.0478
3922.00,-0.0477
3921.00,-0.0475
3920.00,-0.0475
3919.00,-0.0474
3918.00,-0.0475
3917.00,-0.0475
3916.00,-0.0476
3915.00,-0.0477
3914.00,-0.0477
3913.00,-0.0478
3912.00,-0.0478
3911.00,-0.0479
3910.00,-0.0479
3909.00,-0.0478
3908.00,-0.0478
3907.00,-0.0476
3906.00,-0.0474
3905.00,-0.0472
3904.00,-0.0470
3903.00,-0.0468
3902.00,-0.0467
3901.00,-0.0466
3900.00,-0.0466
3899.00,-0.0468
3898.00,-0.0470
3897.00,-0.0472
3896.00,-0.0472
3895.00,-0.0473
3894.00,-0.0474
3893.00,-0.0475
3892.00,-0.0475
3891.00,-0.0476
3890.00,-0.0476
3889.00,-0.0475
3888.00,-0.0472
3887.00,-0.0469
3886.00,-0.0468
3885.00,-0.0470
3884.00,-0.0471
3883.00,-0.0470
3882.00,-0.0468
3881.00,-0.0468
3880.00,-0.0470
3879.00,-0.0473
3878.00,-0.0473
3877.00,-0.0471
3876.00,-0.0469
3875.00,-0.0469
3874.00,-0.0471
3873.00,-0.0472
3872.00,-0.0471
3871.00,-0.0467
3870.00,-0.0465
3869.00,-0.0466
3868.00,-0.0467
3867.00,-0.0466
3866.00,-0.0464
3865.00,-0.0464
3864.00,-0.0467
3863.00,-0.0469
3862.00,-0.0469
3861.00,-0.0469
3860.00,-0.0469
3859.00,-0.0470
3858.00,-0.0473
3857.00,-0.0477
3856.00,-0.0478
3855.00,-0.0476
3854.00,-0.0471
3853.00,-0.0467
3852.00,-0.0466
3851.00,-0.0464
3850.00,-0.0464
3849.00,-0.0464
3848.00,-0.0467
3847.00,-0.0469
3846.00,-0.0471
3845.00,-0.0471
3844.00,-0.0471
3843.00,-0.0470
3842.00,-0.0470
3841.00,-0.0469
3840.00,-0.0468
3839.00,-0.0467
3838.00,-0.0465
3837.00,-0.0465
3836.00,-0.0465
3835.00,-0.0465
3834.00,-0.0466
3833.00,-0.0466
3832.00,-0.0468
3831.00,-0.0469
3830.00,-0.0470
3829.00,-0.0471
3828.00,-0.0470
3827.00,-0.0470
3826.00,-0.0471
3825.00,-0.0471
3824.00,-0.0470
3823.00,-0.0467
3822.00,-0.0464
3821.00,-0.0464
3820.00,-0.0467
3819.00,-0.0468
3818.00,-0.0465
3817.00,-0.0463
3816.00,-0.0463
3815.00,-0.0466
3814.00,-0.0469
3813.00,-0.0470
3812.00,-0.0469
3811.00,-0.0470
3810.00,-0.0472
3809.00,-0.0473
3808.00,-0.0471
3807.00,-0.0469
3806.00,-0.0469
3805.00,-0.0469
3804.00,-0.0467
3803.00,-0.0464
3802.00,-0.0463
3801.00,-0.0464
3800.00,-0.0466
3799.00,-0.0466
3798.00,-0.0465
3797.00,-0.0465
3796.00,-0.0468
3795.00,-0.0471
3794.00,-0.0473
3793.00,-0.0474
3792.00,-0.0474
3791.00,-0.0475
3790.00,-0.0476
3789.00,-0.0477
3788.00,-0.0477
3787.00,-0.0476
3786.00,-0.0476
3785.00,-0.0476
3784.00,-0.0475
3783.00,-0.0475
3782.00,-0.0474
3781.00,-0.0473
3780.00,-0.0473
3779.00,-0.0474
