Created as New Dataset,Sample 350 By Analyst Date Tuesday, February 04 2025
cm-1,%T
4000.00,100.31
3999.00,100.31
3998.00,100.31
3997.00,100.31
3996.00,100.31
3995.00,100.31
3994.00,100.31
3993.00,100.31
3992.00,100.31
3991.00,100.31
3990.00,100.31
3989.00,100.31
3988.00,100.30
3987.00,100.30
3986.00,100.30
3985.00,100.30
3984.00,100.30
3983.00,100.30
3982.00,100.30
3981.00,100.30
3980.00,100.30
3979.00,100.30
3978.00,100.30
3977.00,100.30
3976.00,100.30
3975.00,100.31
3974.00,100.31
3973.00,100.31
3972.00,100.30
3971.00,100.30
3970.00,100.30
3969.00,100.31
3968.00,100.31
3967.00,100.31
3966.00,100.30
3965.00,100.30
3964.00,100.30
3963.00,100.30
3962.00,100.30
3961.00,100.30
3960.00,100.30
3959.00,100.30
3958.00,100.30
3957.00,100.30
3956.00,100.30
3955.00,100.30
3954.00,100.30
3953.00,100.30
3952.00,100.29
3951.00,100.29
3950.00,100.28
3949.00,100.27
3948.00,100.27
3947.00,100.27
3946.00,100.26
3945.00,100.26
3944.00,100.27
3943.00,100.27
3942.00,100.28
3941.00,100.28
3940.00,100.28
3939.00,100.28
3938.00,100.28
3937.00,100.29
3936.00,100.28
3935.00,100.27
3934.00,100.27
3933.00,100.26
3932.00,100.27
3931.00,100.27
3930.00,100.27
3929.00,100.27
3928.00,100.27
3927.00,100.27
3926.00,100.28
3925.00,100.28
3924.00,100.28
3923.00,100.27
3922.00,100.26
3921.00,100.25
3920.00,100.24
3919.00,100.24
3918.00,100.25
3917.00,100.25
3916.00,100.26
3915.00,100.27
3914.00,100.28
3913.00,100.28
3912.00,100.29
3911.00,100.29
3910.00,100.30
3909.00,100.29
3908.00,100.29
3907.00,100.28
3906.00,100.26
3905.00,100.24
3904.00,100.22
3903.00,100.19
3902.00,100.17
3901.00,100.16
3900.00,100.17
3899.00,100.19
3898.00,100.21
3897.00,100.22
3896.00,100.23
3895.00,100.24
3894.00,100.25
3893.00,100.26
3892.00,100.26
3891.00,100.26
3890.00,100.26
3889.00,100.25
3888.00,100.22
3887.00,100.20
3886.00,100.21
3885.00,100.23
3884.00,100.23
3883.00,100.22
3882.00,100.21
3881.00,100.21
3880.00,100.23
3879.00,100.24
3878.00,100.23
3877.00,100.22
3876.00,100.22
3875.00,100.23
3874.00,100.25
3873.00,100.25
3872.00,100.23
3871.00,100.20
3870.00,100.20
3869.00,100.21
3868.00,100.21
3867.00,100.20
3866.00,100.18
3865.00,100.19
3864.00,100.21
3863.00,100.22
3862.00,100.21
3861.00,100.21
3860.00,100.21
3859.00,100.23
3858.00,100.27
3857.00,100.30
3856.00,100.32
3855.00,100.30
3854.00,100.27
3853.00,100.24
3852.00,100.22
3851.00,100.21
3850.00,100.20
3849.00,100.20
3848.00,100.21
3847.00,100.22
3846.00,100.23
3845.00,100.23
3844.00,100.24
3843.00,100.24
3842.00,100.23
3841.00,100.22
3840.00,100.21
3839.00,100.21
3838.00,100.20
3837.00,100.20
3836.00,100.20
3835.00,100.20
3834.00,100.20
3833.00,100.20
3832.00,100.21
3831.00,100.22
3830.00,100.23
3829.00,100.23
3828.00,100.23
3827.00,100.23
3826.00,100.24
3825.00,100.25
