Created as New Dataset,Sample 374 By Analyst Date Monday, February 10 2025
cm-1,%T
4000.00,139.92
3999.00,139.91
3998.00,139.91
3997.00,139.90
3996.00,139.89
3995.00,139.88
3994.00,139.87
3993.00,139.86
3992.00,139.84
3991.00,139.83
3990.00,139.82
3989.00,139.81
3988.00,139.80
3987.00,139.79
3986.00,139.77
3985.00,139.76
3984.00,139.74
3983.00,139.73
3982.00,139.72
3981.00,139.70
3980.00,139.69
3979.00,139.68
3978.00,139.66
3977.00,139.65
3976.00,139.65
3975.00,139.64
3974.00,139.63
3973.00,139.62
3972.00,139.61
3971.00,139.60
3970.00,139.58
3969.00,139.57
3968.00,139.57
3967.00,139.56
3966.00,139.55
3965.00,139.55
3964.00,139.54
3963.00,139.54
3962.00,139.53
3961.00,139.53
3960.00,139.53
3959.00,139.53
3958.00,139.53
3957.00,139.53
3956.00,139.53
3955.00,139.53
3954.00,139.53
3953.00,139.53
3952.00,139.53
3951.00,139.52
3950.00,139.52
3949.00,139.52
3948.00,139.52
3947.00,139.52
3946.00,139.52
3945.00,139.52
3944.00,139.52
3943.00,139.52
3942.00,139.52
3941.00,139.51
3940.00,139.50
3939.00,139.49
3938.00,139.49
3937.00,139.48
3936.00,139.48
3935.00,139.47
3934.00,139.46
3933.00,139.45
3932.00,139.45
3931.00,139.45
3930.00,139.44
3929.00,139.44
3928.00,139.43
3927.00,139.42
3926.00,139.42
3925.00,139.41
3924.00,139.40
3923.00,139.39
3922.00,139.38
3921.00,139.37
3920.00,139.37
3919.00,139.37
3918.00,139.36
3917.00,139.36
3916.00,139.36
3915.00,139.36
3914.00,139.36
3913.00,139.36
3912.00,139.36
3911.00,139.36
3910.00,139.35
3909.00,139.35
3908.00,139.34
3907.00,139.34
3906.00,139.33
3905.00,139.33
3904.00,139.33
3903.00,139.32
3902.00,139.32
3901.00,139.32
3900.00,139.33
3899.00,139.34
3898.00,139.33
3897.00,139.33
3896.00,139.32
3895.00,139.32
3894.00,139.32
3893.00,139.32
3892.00,139.32
3891.00,139.31
3890.00,139.30
3889.00,139.28
3888.00,139.27
3887.00,139.27
3886.00,139.28
3885.00,139.29
3884.00,139.28
3883.00,139.27
3882.00,139.27
3881.00,139.28
3880.00,139.27
3879.00,139.25
3878.00,139.23
3877.00,139.23
3876.00,139.24
3875.00,139.25
3874.00,139.24
3873.00,139.22
3872.00,139.21
3871.00,139.20
3870.00,139.21
3869.00,139.21
3868.00,139.20
3867.00,139.19
3866.00,139.20
3865.00,139.20
3864.00,139.20
3863.00,139.18
3862.00,139.16
3861.00,139.15
3860.00,139.15
3859.00,139.15
3858.00,139.15
3857.00,139.14
3856.00,139.12
3855.00,139.11
3854.00,139.16
3853.00,139.21
3852.00,139.18
3851.00,139.12
3850.00,139.12
3849.00,139.14
3848.00,139.15
3847.00,139.15
3846.00,139.13
3845.00,139.12
3844.00,139.12
3843.00,139.11
3842.00,139.11
3841.00,139.10
3840.00,139.10
3839.00,139.10
3838.00,139.10
3837.00,139.10
3836.00,139.09
3835.00,139.09
3834.00,139.09
3833.00,139.08
3832.00,139.07
3831.00,139.05
3830.00,139.04
3829.00,139.03
3828.00,139.03
3827.00,139.03
3826.00,139.02
3825.00,139.01
3824.00,138.99
3823.00,138.99
3822.00,139.00
3821.00,139.01
3820.00,138.99
3819.00,138.96
3818.00,138.96
3817.00,138.97
3816.00,138.98
3815.00,138.97
3814.00,138.95
3813.00,138.93
3812.00,138.93
3811.00,138.92
3810.00,138.91
3809.00,138.89
3808.00,138.88
3807.00,138.89
3806.00,138.88
3805.00,138.86
3804.00,138.86
3803.00,138.86
3802.00,138.86
3801.00,138.86
3800.00,138.84
3799.00,138.81
3798.00,138.81
3797.00,138.81
3796.00,138.81
3795.00,138.79
3794.00,138.77
3793.00,138.76
3792.00,138.76
3791.00,138.76
3790.00,138.76
3789.00,138.76
3788.00,138.76
3787.00,138.76
3786.00,138.76
3785.00,138.76
3784.00,138.76
3783.00,138.75
3782.00,138.75
3781.00,138.75
3780.00,138.76
3779.00,138.76
3778.00,138.75
3777.00,138.74
3776.00,138.74
3775.00,138.75
3774.00,138.76
3773.00,138.76
3772.00,138.76
3771.00,138.76
3770.00,138.77
3769.00,138.76
3768.00,138.76
3767.00,138.76
3766.00,138.76
3765.00,138.76
3764.00,138.76
3763.00,138.75
3762.00,138.75
3761.00,138.75
3760.00,138.76
3759.00,138.75
3758.00,138.73
3757.00,138.72
3756.00,138.71
3755.00,138.70
3754.00,138.69
3753.00,138.68
3752.00,138.68
3751.00,138.70
3750.00,138.70
3749.00,138.67
3748.00,138.66
3747.00,138.66
3746.00,138.65
3745.00,138.65
3744.00,138.64
3743.00,138.60
3742.00,138.55
3741.00,138.54
3740.00,138.55
3739.00,138.53
3738.00,138.49
3737.00,138.47
3736.00,138.48
3735.00,138.49
3734.00,138.49
3733.00,138.47
3732.00,138.45
3731.00,138.43
3730.00,138.42
3729.00,138.41
3728.00,138.41
3727.00,138.41
3726.00,138.40
3725.00,138.40
3724.00,138.39
3723.00,138.38
3722.00,138.38
3721.00,138.37
3720.00,138.36
3719.00,138.35
3718.00,138.35
3717.00,138.36
3716.00,138.36
3715.00,138.36
3714.00,138.37
3713.00,138.39
3712.00,138.41
3711.00,138.44
3710.00,138.44
3709.00,138.44
3708.00,138.44
3707.00,138.46
3706.00,138.48
3705.00,138.50
3704.00,138.52
3703.00,138.55
3702.00,138.58
3701.00,138.60
3700.00,138.62
3699.00,138.65
3698.00,138.69
3697.00,138.73
3696.00,138.77
3695.00,138.81
3694.00,138.85
3693.00,138.88
3692.00,138.92
3691.00,138.95
3690.00,138.98
3689.00,139.01
3688.00,139.04
3687.00,139.06
3686.00,139.09
3685.00,139.13
3684.00,139.16
3683.00,139.18
3682.00,139.19
3681.00,139.20
3680.00,139.21
3679.00,139.21
3678.00,139.21
3677.00,139.22
3676.00,139.24
3675.00,139.26
3674.00,139.25
3673.00,139.24
3672.00,139.25
3671.00,139.26
3670.00,139.26
3669.00,139.25
3668.00,139.21
3667.00,139.19
3666.00,139.19
3665.00,139.19
3664.00,139.17
3663.00,139.16
3662.00,139.13
3661.00,139.11
3660.00,139.10
3659.00,139.08
3658.00,139.06
3657.00,139.06
3656.00,139.05
3655.00,139.03
3654.00,139.01
3653.00,139.00
3652.00,138.98
3651.00,138.96
3650.00,138.95
3649.00,138.95
3648.00,138.93
3647.00,138.91
3646.00,138.89
3645.00,138.89
3644.00,138.89
3643.00,138.90
3642.00,138.89
3641.00,138.89
3640.00,138.88
3639.00,138.88
3638.00,138.88
3637.00,138.87
3636.00,138.87
3635.00,138.88
3634.00,138.88
3633.00,138.88
3632.00,138.88
3631.00,138.88
3630.00,138.90
3629.00,138.93
3628.00,138.95
3627.00,138.94
3626.00,138.94
3625.00,138.96
3624.00,138.97
3623.00,138.97
3622.00,138.97
3621.00,138.96
3620.00,138.97
3619.00,138.98
3618.00,138.97
