Created as New Dataset,Sample 383 By Analyst Date Monday, February 10 2025
cm-1,%T
4000.00,100.97
3999.00,100.97
3998.00,100.97
3997.00,100.97
3996.00,100.97
3995.00,100.97
3994.00,100.97
3993.00,100.97
3992.00,100.97
3991.00,100.97
3990.00,100.97
3989.00,100.97
3988.00,100.97
3987.00,100.97
3986.00,100.97
3985.00,100.97
3984.00,100.97
3983.00,100.97
3982.00,100.97
3981.00,100.97
3980.00,100.97
3979.00,100.97
3978.00,100.97
3977.00,100.97
3976.00,100.97
3975.00,100.97
3974.00,100.97
3973.00,100.97
3972.00,100.97
3971.00,100.97
3970.00,100.97
3969.00,100.97
3968.00,100.97
3967.00,100.97
3966.00,100.96
3965.00,100.96
3964.00,100.96
3963.00,100.96
3962.00,100.96
3961.00,100.96
3960.00,100.96
3959.00,100.96
3958.00,100.96
3957.00,100.96
3956.00,100.96
3955.00,100.96
3954.00,100.96
3953.00,100.96
3952.00,100.96
3951.00,100.96
3950.00,100.96
3949.00,100.96
3948.00,100.96
3947.00,100.96
3946.00,100.96
3945.00,100.96
3944.00,100.95
3943.00,100.95
3942.00,100.95
3941.00,100.96
3940.00,100.96
3939.00,100.96
3938.00,100.96
3937.00,100.96
3936.00,100.96
3935.00,100.96
3934.00,100.96
3933.00,100.95
3932.00,100.95
3931.00,100.96
3930.00,100.96
3929.00,100.96
3928.00,100.96
3927.00,100.96
3926.00,100.96
3925.00,100.96
3924.00,100.96
3923.00,100.96
3922.00,100.96
3921.00,100.95
3920.00,100.95
3919.00,100.95
3918.00,100.95
3917.00,100.95
3916.00,100.95
3915.00,100.95
3914.00,100.95
3913.00,100.96
3912.00,100.96
3911.00,100.96
3910.00,100.96
3909.00,100.96
3908.00,100.96
3907.00,100.96
3906.00,100.96
3905.00,100.96
3904.00,100.96
3903.00,100.96
3902.00,100.96
3901.00,100.96
3900.00,100.96
3899.00,100.96
3898.00,100.97
3897.00,100.97
3896.00,100.97
3895.00,100.96
3894.00,100.96
3893.00,100.96
3892.00,100.96
3891.00,100.96
3890.00,100.96
3889.00,100.97
3888.00,100.97
3887.00,100.96
3886.00,100.96
3885.00,100.96
3884.00,100.97
3883.00,100.97
3882.00,100.96
3881.00,100.95
3880.00,100.95
3879.00,100.96
3878.00,100.97
3877.00,100.96
3876.00,100.95
3875.00,100.95
3874.00,100.96
3873.00,100.97
3872.00,100.97
3871.00,100.96
3870.00,100.96
3869.00,100.96
3868.00,100.97
3867.00,100.98
3866.00,100.97
3865.00,100.96
3864.00,100.96
3863.00,100.97
3862.00,100.97
3861.00,100.96
3860.00,100.96
3859.00,100.96
3858.00,100.97
3857.00,100.99
3856.00,101.01
3855.00,101.02
3854.00,101.02
3853.00,101.02
3852.00,101.03
3851.00,101.04
3850.00,101.02
3849.00,100.99
3848.00,100.97
3847.00,100.97
3846.00,100.96
3845.00,100.95
3844.00,100.95
3843.00,100.94
3842.00,100.95
3841.00,100.96
3840.00,100.96
3839.00,100.97
3838.00,100.97
3837.00,100.98
3836.00,100.98
3835.00,100.98
3834.00,100.98
3833.00,100.97
3832.00,100.97
3831.00,100.96
3830.00,100.96
3829.00,100.96
3828.00,100.95
3827.00,100.94
3826.00,100.95
3825.00,100.95
3824.00,100.96
3823.00,100.96
3822.00,100.96
3821.00,100.96
3820.00,100.97
3819.00,100.98
3818.00,100.98
3817.00,100.97
3816.00,100.97
3815.00,100.98
3814.00,100.98
3813.00,100.98
3812.00,100.96
3811.00,100.96
3810.00,100.96
3809.00,100.97
3808.00,100.97
3807.00,100.96
3806.00,100.97
3805.00,100.98
3804.00,100.98
3803.00,100.98
3802.00,100.97
3801.00,100.97
3800.00,100.98
3799.00,100.98
3798.00,100.96
3797.00,100.95
3796.00,100.95
3795.00,100.95
3794.00,100.95
3793.00,100.94
3792.00,100.94
3791.00,100.93
3790.00,100.94
3789.00,100.94
3788.00,100.93
3787.00,100.93
3786.00,100.93
3785.00,100.93
3784.00,100.93
3783.00,100.93
3782.00,100.93
3781.00,100.93
3780.00,100.93
3779.00,100.94
3778.00,100.94
3777.00,100.94
3776.00,100.94
3775.00,100.94
3774.00,100.94
3773.00,100.94
3772.00,100.95
3771.00,100.94
3770.00,100.94
3769.00,100.94
3768.00,100.95
3767.00,100.94
3766.00,100.94
3765.00,100.94
