Created as New Dataset,Sample 388 By Analyst Date Monday, February 10 2025
cm-1,%T
4000.00,100.37
3999.00,100.37
3998.00,100.37
3997.00,100.37
3996.00,100.37
3995.00,100.37
3994.00,100.37
3993.00,100.37
3992.00,100.37
3991.00,100.37
3990.00,100.37
3989.00,100.37
3988.00,100.37
3987.00,100.37
3986.00,100.37
3985.00,100.36
3984.00,100.36
3983.00,100.36
3982.00,100.36
3981.00,100.37
3980.00,100.37
3979.00,100.37
3978.00,100.37
3977.00,100.37
3976.00,100.37
3975.00,100.36
3974.00,100.36
3973.00,100.36
3972.00,100.36
3971.00,100.37
3970.00,100.37
3969.00,100.37
3968.00,100.37
3967.00,100.37
3966.00,100.36
3965.00,100.36
3964.00,100.36
3963.00,100.36
3962.00,100.36
3961.00,100.36
3960.00,100.36
3959.00,100.36
3958.00,100.36
3957.00,100.36
3956.00,100.36
3955.00,100.36
3954.00,100.36
3953.00,100.36
3952.00,100.36
3951.00,100.36
3950.00,100.36
3949.00,100.36
3948.00,100.36
3947.00,100.37
3946.00,100.37
3945.00,100.36
3944.00,100.36
3943.00,100.36
3942.00,100.36
3941.00,100.36
3940.00,100.36
3939.00,100.35
3938.00,100.35
3937.00,100.36
3936.00,100.36
3935.00,100.36
3934.00,100.36
3933.00,100.36
3932.00,100.36
3931.00,100.36
3930.00,100.36
3929.00,100.36
3928.00,100.36
3927.00,100.36
3926.00,100.36
3925.00,100.36
3924.00,100.36
3923.00,100.36
3922.00,100.36
3921.00,100.36
3920.00,100.36
3919.00,100.36
3918.00,100.36
3917.00,100.36
3916.00,100.36
3915.00,100.36
3914.00,100.36
3913.00,100.36
3912.00,100.36
3911.00,100.36
3910.00,100.35
3909.00,100.35
3908.00,100.35
3907.00,100.35
3906.00,100.36
3905.00,100.37
3904.00,100.38
3903.00,100.39
3902.00,100.39
3901.00,100.39
3900.00,100.38
3899.00,100.38
3898.00,100.38
3897.00,100.37
3896.00,100.37
3895.00,100.37
3894.00,100.36
3893.00,100.36
3892.00,100.36
3891.00,100.36
3890.00,100.36
3889.00,100.36
3888.00,100.36
3887.00,100.36
3886.00,100.37
3885.00,100.37
3884.00,100.37
3883.00,100.37
3882.00,100.36
3881.00,100.36
3880.00,100.37
3879.00,100.37
3878.00,100.37
3877.00,100.37
3876.00,100.36
3875.00,100.36
3874.00,100.37
3873.00,100.37
3872.00,100.37
3871.00,100.36
3870.00,100.37
3869.00,100.37
3868.00,100.38
3867.00,100.37
3866.00,100.37
3865.00,100.37
3864.00,100.37
3863.00,100.37
3862.00,100.37
3861.00,100.37
3860.00,100.36
3859.00,100.36
3858.00,100.36
3857.00,100.35
3856.00,100.34
3855.00,100.34
3854.00,100.35
3853.00,100.36
3852.00,100.37
3851.00,100.37
3850.00,100.37
3849.00,100.37
3848.00,100.37
3847.00,100.37
3846.00,100.36
3845.00,100.36
3844.00,100.35
3843.00,100.35
3842.00,100.36
3841.00,100.36
3840.00,100.36
3839.00,100.36
3838.00,100.36
3837.00,100.37
3836.00,100.37
3835.00,100.37
3834.00,100.37
3833.00,100.37
3832.00,100.37
3831.00,100.37
3830.00,100.36
3829.00,100.36
3828.00,100.35
3827.00,100.35
3826.00,100.35
3825.00,100.36
3824.00,100.36
3823.00,100.36
3822.00,100.36
3821.00,100.37
3820.00,100.37
3819.00,100.37
3818.00,100.37
3817.00,100.36
3816.00,100.36
3815.00,100.36
3814.00,100.36
3813.00,100.35
3812.00,100.34
3811.00,100.35
3810.00,100.35
3809.00,100.35
3808.00,100.34
3807.00,100.35
3806.00,100.35
3805.00,100.35
3804.00,100.35
3803.00,100.35
3802.00,100.35
3801.00,100.36
3800.00,100.36
3799.00,100.36
3798.00,100.35
3797.00,100.35
3796.00,100.35
3795.00,100.35
3794.00,100.34
3793.00,100.33
3792.00,100.33
3791.00,100.33
3790.00,100.32
3789.00,100.32
3788.00,100.32
3787.00,100.32
3786.00,100.32
3785.00,100.32
3784.00,100.32
3783.00,100.33
3782.00,100.33
3781.00,100.33
3780.00,100.33
3779.00,100.33
3778.00,100.33
3777.00,100.33
3776.00,100.32
3775.00,100.32
3774.00,100.33
3773.00,100.33
3772.00,100.33
3771.00,100.33
3770.00,100.33
3769.00,100.34
3768.00,100.34
3767.00,100.34
3766.00,100.33
3765.00,100.34
3764.00,100.34
3763.00,100.34
3762.00,100.34
3761.00,100.34
3760.00,100.34
3759.00,100.34
3758.00,100.34
3757.00,100.34
3756.00,100.34
3755.00,100.35
3754.00,100.35
3753.00,100.35
3752.00,100.35
3751.00,100.36
3750.00,100.37
3749.00,100.37
3748.00,100.37
3747.00,100.37
3746.00,100.37
3745.00,100.37
3744.00,100.37
3743.00,100.37
3742.00,100.37
3741.00,100.36
3740.00,100.37
3739.00,100.38
3738.00,100.38
3737.00,100.38
3736.00,100.37
3735.00,100.37
3734.00,100.37
3733.00,100.37
3732.00,100.36
3731.00,100.36
3730.00,100.36
3729.00,100.36
3728.00,100.35
3727.00,100.35
3726.00,100.35
3725.00,100.34
3724.00,100.34
3723.00,100.34
3722.00,100.34
3721.00,100.34
3720.00,100.34
3719.00,100.34
3718.00,100.33
3717.00,100.33
3716.00,100.33
3715.00,100.34
3714.00,100.34
3713.00,100.34
3712.00,100.34
3711.00,100.35
3710.00,100.35
3709.00,100.35
3708.00,100.35
3707.00,100.34
3706.00,100.34
3705.00,100.34
3704.00,100.33
3703.00,100.33
3702.00,100.33
3701.00,100.33
3700.00,100.33
3699.00,100.32
3698.00,100.32
3697.00,100.32
3696.00,100.32
3695.00,100.32
3694.00,100.33
3693.00,100.33
3692.00,100.33
3691.00,100.33
3690.00,100.33
3689.00,100.34
3688.00,100.34
3687.00,100.34
3686.00,100.34
3685.00,100.33
3684.00,100.33
3683.00,100.33
3682.00,100.33
3681.00,100.33
3680.00,100.33
3679.00,100.34
3678.00,100.34
3677.00,100.35
3676.00,100.35
3675.00,100.36
3674.00,100.36
3673.00,100.36
3672.00,100.36
3671.00,100.36
3670.00,100.36
3669.00,100.36
3668.00,100.35
3667.00,100.34
3666.00,100.34
3665.00,100.33
3664.00,100.33
3663.00,100.32
3662.00,100.32
3661.00,100.32
3660.00,100.32
3659.00,100.32
3658.00,100.32
3657.00,100.32
3656.00,100.33
3655.00,100.34
3654.00,100.34
3653.00,100.35
3652.00,100.35
3651.00,100.36
3650.00,100.37
3649.00,100.37
3648.00,100.37
3647.00,100.37
3646.00,100.36
3645.00,100.36
3644.00,100.35
3643.00,100.34
3642.00,100.33
3641.00,100.33
3640.00,100.32
3639.00,100.32
3638.00,100.32
3637.00,100.32
3636.00,100.32
3635.00,100.32
3634.00,100.33
3633.00,100.33
3632.00,100.34
3631.00,100.34
3630.00,100.34
3629.00,100.35
3628.00,100.35
3627.00,100.35
3626.00,100.35
3625.00,100.34
3624.00,100.35
3623.00,100.35
3622.00,100.34
3621.00,100.34
3620.00,100.34
3619.00,100.34
3618.00,100.34
3617.00,100.35
3616.00,100.35
3615.00,100.35
3614.00,100.35
3613.00,100.35
3612.00,100.35
3611.00,100.35
3610.00,100.35
3609.00,100.35
3608.00,100.34
3607.00,100.34
3606.00,100.34
3605.00,100.33
3604.00,100.33
3603.00,100.33
3602.00,100.33
3601.00,100.33
3600.00,100.33
3599.00,100.33
3598.00,100.33
3597.00,100.33
3596.00,100.33
3595.00,100.33
3594.00,100.33
3593.00,100.33
3592.00,100.33
3591.00,100.33
3590.00,100.33
3589.00,100.34
3588.00,100.34
3587.00,100.34
3586.00,100.34
3585.00,100.34
3584.00,100.33
3583.00,100.33
3582.00,100.33
3581.00,100.33
3580.00,100.32
3579.00,100.32
3578.00,100.31
3577.00,100.31
3576.00,100.31
3575.00,100.31
3574.00,100.31
3573.00,100.32
3572.00,100.32
3571.00,100.32
3570.00,100.33
3569.00,100.33
3568.00,100.33
3567.00,100.34
3566.00,100.34
3565.00,100.34
3564.00,100.34
3563.00,100.34
3562.00,100.33
3561.00,100.33
3560.00,100.33
3559.00,100.32
3558.00,100.32
3557.00,100.32
3556.00,100.32
3555.00,100.32
3554.00,100.32
3553.00,100.32
3552.00,100.32
3551.00,100.32
3550.00,100.32
3549.00,100.32
3548.00,100.33
3547.00,100.33
3546.00,100.33
3545.00,100.33
3544.00,100.33
3543.00,100.33
3542.00,100.33
3541.00,100.32
3540.00,100.32
3539.00,100.32
3538.00,100.32
3537.00,100.32
3536.00,100.32
3535.00,100.32
3534.00,100.32
3533.00,100.32
3532.00,100.32
3531.00,100.32
3530.00,100.32
3529.00,100.32
3528.00,100.32
3527.00,100.32
3526.00,100.32
3525.00,100.32
3524.00,100.32
3523.00,100.32
3522.00,100.32
3521.00,100.32
3520.00,100.32
3519.00,100.32
3518.00,100.32
3517.00,100.32
3516.00,100.32
3515.00,100.32
3514.00,100.32
3513.00,100.32
3512.00,100.32
3511.00,100.32
3510.00,100.32
3509.00,100.32
3508.00,100.32
3507.00,100.32
3506.00,100.32
