Created as New Dataset,Sample 350 By Analyst Date Wednesday, February 05 2025
cm-1,%T
4000.00,129.87
3999.00,129.86
3998.00,129.86
3997.00,129.85
3996.00,129.85
3995.00,129.84
3994.00,129.84
3993.00,129.83
3992.00,129.83
3991.00,129.83
3990.00,129.82
3989.00,129.81
3988.00,129.80
3987.00,129.79
3986.00,129.78
3985.00,129.77
3984.00,129.76
3983.00,129.75
3982.00,129.74
3981.00,129.72
3980.00,129.71
3979.00,129.70
3978.00,129.69
3977.00,129.68
3976.00,129.67
3975.00,129.66
3974.00,129.65
3973.00,129.63
3972.00,129.62
3971.00,129.61
3970.00,129.60
3969.00,129.59
3968.00,129.58
3967.00,129.58
3966.00,129.57
3965.00,129.56
3964.00,129.56
3963.00,129.56
3962.00,129.55
3961.00,129.55
3960.00,129.55
3959.00,129.55
3958.00,129.55
3957.00,129.55
3956.00,129.55
3955.00,129.55
3954.00,129.56
3953.00,129.56
3952.00,129.56
3951.00,129.57
3950.00,129.57
3949.00,129.58
3948.00,129.59
3947.00,129.59
3946.00,129.59
3945.00,129.59
3944.00,129.60
3943.00,129.60
3942.00,129.60
3941.00,129.59
3940.00,129.58
3939.00,129.58
3938.00,129.57
3937.00,129.57
3936.00,129.56
3935.00,129.56
3934.00,129.55
3933.00,129.55
3932.00,129.55
3931.00,129.54
3930.00,129.53
3929.00,129.52
3928.00,129.52
3927.00,129.50
3926.00,129.50
3925.00,129.49
3924.00,129.48
3923.00,129.47
3922.00,129.47
3921.00,129.46
3920.00,129.46
3919.00,129.45
3918.00,129.45
3917.00,129.44
3916.00,129.43
3915.00,129.42
3914.00,129.40
3913.00,129.39
3912.00,129.38
3911.00,129.38
3910.00,129.38
3909.00,129.39
3908.00,129.40
3907.00,129.41
3906.00,129.43
3905.00,129.45
3904.00,129.47
3903.00,129.49
3902.00,129.49
3901.00,129.50
3900.00,129.51
3899.00,129.50
3898.00,129.49
3897.00,129.48
3896.00,129.46
3895.00,129.46
3894.00,129.45
3893.00,129.45
3892.00,129.45
3891.00,129.46
3890.00,129.46
3889.00,129.46
3888.00,129.46
3887.00,129.48
3886.00,129.49
3885.00,129.49
3884.00,129.48
3883.00,129.47
3882.00,129.47
3881.00,129.48
3880.00,129.48
3879.00,129.46
3878.00,129.44
3877.00,129.43
3876.00,129.43
3875.00,129.44
3874.00,129.45
3873.00,129.43
3872.00,129.42
3871.00,129.43
3870.00,129.45
3869.00,129.46
3868.00,129.44
3867.00,129.42
3866.00,129.41
3865.00,129.41
3864.00,129.39
3863.00,129.36
3862.00,129.34
3861.00,129.34
3860.00,129.34
3859.00,129.35
3858.00,129.36
3857.00,129.38
3856.00,129.39
3855.00,129.40
3854.00,129.43
3853.00,129.44
3852.00,129.44
3851.00,129.43
3850.00,129.41
3849.00,129.39
3848.00,129.36
3847.00,129.32
3846.00,129.29
3845.00,129.28
3844.00,129.29
3843.00,129.30
3842.00,129.31
3841.00,129.32
3840.00,129.33
3839.00,129.35
3838.00,129.36
3837.00,129.36
3836.00,129.36
3835.00,129.35
3834.00,129.33
3833.00,129.31
3832.00,129.29
3831.00,129.27
3830.00,129.24
3829.00,129.22
3828.00,129.22
3827.00,129.22
3826.00,129.22
3825.00,129.22
3824.00,129.21
3823.00,129.21
3822.00,129.22
3821.00,129.23
3820.00,129.22
3819.00,129.20
3818.00,129.18
3817.00,129.18
3816.00,129.17
3815.00,129.14
3814.00,129.11
3813.00,129.08
3812.00,129.08
3811.00,129.08
3810.00,129.06
3809.00,129.03
3808.00,129.02
3807.00,129.04
3806.00,129.05
3805.00,129.05
3804.00,129.04
3803.00,129.05
3802.00,129.07
3801.00,129.07
3800.00,129.05
3799.00,129.03
3798.00,129.02
3797.00,129.02
3796.00,129.00
3795.00,128.97
3794.00,128.95
3793.00,128.93
3792.00,128.93
3791.00,128.92
3790.00,128.92
3789.00,128.92
3788.00,128.92
3787.00,128.93
3786.00,128.94
3785.00,128.95
3784.00,128.96
3783.00,128.96
3782.00,128.97
3781.00,128.97
3780.00,128.97
3779.00,128.98
3778.00,128.97
3777.00,128.97
3776.00,128.97
3775.00,128.98
3774.00,128.99
3773.00,128.98
3772.00,128.98
3771.00,128.99
3770.00,128.99
3769.00,129.00
3768.00,128.99
3767.00,128.99
3766.00,128.99
3765.00,129.00
3764.00,128.99
3763.00,128.98
3762.00,128.97
3761.00,128.97
3760.00,128.97
3759.00,128.96
3758.00,128.95
3757.00,128.96
3756.00,128.96
3755.00,128.97
3754.00,128.98
3753.00,128.98
3752.00,128.99
3751.00,128.99
3750.00,129.01
3749.00,129.03
3748.00,129.03
3747.00,129.02
3746.00,129.00
3745.00,129.00
3744.00,128.99
3743.00,128.95
3742.00,128.91
3741.00,128.89
3740.00,128.87
3739.00,128.86
3738.00,128.83
3737.00,128.82
3736.00,128.83
3735.00,128.84
3734.00,128.83
3733.00,128.82
3732.00,128.81
3731.00,128.79
3730.00,128.75
3729.00,128.71
3728.00,128.69
3727.00,128.68
3726.00,128.67
3725.00,128.66
3724.00,128.65
3723.00,128.65
3722.00,128.65
3721.00,128.63
3720.00,128.62
3719.00,128.61
3718.00,128.61
3717.00,128.61
3716.00,128.61
3715.00,128.63
3714.00,128.64
3713.00,128.66
3712.00,128.68
3711.00,128.68
3710.00,128.69
3709.00,128.70
3708.00,128.71
3707.00,128.72
3706.00,128.72
3705.00,128.72
3704.00,128.73
3703.00,128.74
3702.00,128.75
3701.00,128.78
3700.00,128.80
3699.00,128.82
3698.00,128.85
3697.00,128.89
3696.00,128.92
3695.00,128.96
3694.00,129.01
3693.00,129.06
3692.00,129.10
3691.00,129.14
3690.00,129.18
3689.00,129.22
3688.00,129.25
3687.00,129.28
3686.00,129.29
3685.00,129.30
3684.00,129.31
3683.00,129.31
3682.00,129.32
3681.00,129.33
3680.00,129.36
3679.00,129.39
3678.00,129.41
3677.00,129.43
3676.00,129.47
3675.00,129.50
3674.00,129.51
3673.00,129.51
3672.00,129.51
3671.00,129.51
3670.00,129.50
3669.00,129.46
3668.00,129.41
3667.00,129.37
3666.00,129.35
3665.00,129.32
3664.00,129.28
3663.00,129.25
3662.00,129.22
3661.00,129.21
3660.00,129.19
3659.00,129.18
3658.00,129.17
3657.00,129.17
3656.00,129.18
3655.00,129.18
3654.00,129.18
3653.00,129.18
3652.00,129.19
3651.00,129.19
3650.00,129.18
3649.00,129.16
3648.00,129.15
3647.00,129.14
3646.00,129.11
3645.00,129.08
3644.00,129.04
3643.00,129.00
3642.00,128.97
3641.00,128.94
3640.00,128.93
3639.00,128.92
3638.00,128.92
3637.00,128.93
3636.00,128.94
3635.00,128.95
3634.00,128.98
3633.00,129.01
3632.00,129.03
3631.00,129.05
3630.00,129.08
3629.00,129.12
3628.00,129.13
3627.00,129.13
3626.00,129.14
3625.00,129.14
3624.00,129.15
3623.00,129.15
3622.00,129.15
3621.00,129.16
3620.00,129.17
3619.00,129.19
3618.00,129.19
3617.00,129.19
3616.00,129.19
3615.00,129.18
3614.00,129.18
3613.00,129.18
3612.00,129.17
3611.00,129.16
3610.00,129.16
3609.00,129.16
3608.00,129.15
3607.00,129.14
3606.00,129.12
3605.00,129.11
3604.00,129.09
3603.00,129.08
3602.00,129.06
3601.00,129.05
3600.00,129.05
3599.00,129.05
3598.00,129.05
3597.00,129.05
3596.00,129.06
3595.00,129.06
3594.00,129.06
3593.00,129.07
3592.00,129.08
3591.00,129.09
3590.00,129.10
3589.00,129.11
3588.00,129.12
3587.00,129.12
3586.00,129.12
3585.00,129.12
3584.00,129.12
3583.00,129.12
3582.00,129.12
3581.00,129.12
3580.00,129.12
3579.00,129.13
3578.00,129.14
3577.00,129.15
3576.00,129.16
3575.00,129.18
3574.00,129.19
3573.00,129.21
3572.00,129.22
3571.00,129.25
3570.00,129.27
3569.00,129.29
3568.00,129.32
3567.00,129.35
3566.00,129.36
3565.00,129.36
3564.00,129.36
3563.00,129.36
3562.00,129.35
3561.00,129.34
3560.00,129.34
3559.00,129.34
3558.00,129.34
3557.00,129.34
3556.00,129.34
3555.00,129.34
3554.00,129.34
3553.00,129.34
3552.00,129.34
3551.00,129.34
3550.00,129.34
3549.00,129.34
3548.00,129.34
3547.00,129.34
3546.00,129.33
3545.00,129.33
3544.00,129.32
3543.00,129.32
3542.00,129.32
3541.00,129.31
3540.00,129.30
3539.00,129.30
3538.00,129.29
3537.00,129.29
3536.00,129.29
3535.00,129.30
3534.00,129.30
3533.00,129.31
3532.00,129.31
3531.00,129.32
3530.00,129.32
3529.00,129.32
3528.00,129.32
3527.00,129.32
3526.00,129.32
3525.00,129.32
3524.00,129.32
3523.00,129.33
3522.00,129.33
3521.00,129.32
3520.00,129.32
3519.00,129.32
3518.00,129.31
3517.00,129.30
3516.00,129.30
3515.00,129.30
3514.00,129.29
3513.00,129.29
3512.00,129.29
3511.00,129.29
3510.00,129.29
3509.00,129.29
3508.00,129.29
3507.00,129.28
3506.00,129.27
3505.00,129.26
3504.00,129.25
3503.00,129.25
3502.00,129.24
3501.00,129.24
3500.00,129.23
3499.00,129.23
3498.00,129.22
3497.00,129.22
3496.00,129.22
3495.00,129.21
3494.00,129.21
3493.00,129.21
3492.00,129.21
3491.00,129.21
3490.00,129.22
3489.00,129.22
3488.00,129.23
3487.00,129.23
3486.00,129.24
3485.00,129.25
3484.00,129.26
3483.00,129.27
3482.00,129.27
3481.00,129.28
3480.00,129.29
3479.00,129.31
3478.00,129.33
3477.00,129.34
3476.00,129.36
3475.00,129.37
3474.00,129.39
3473.00,129.40
3472.00,129.41
3471.00,129.43
3470.00,129.44
3469.00,129.45
3468.00,129.47
3467.00,129.49
3466.00,129.51
3465.00,129.53
3464.00,129.55
3463.00,129.57
3462.00,129.58
3461.00,129.59
3460.00,129.61
3459.00,129.62
3458.00,129.63
3457.00,129.65
3456.00,129.66
3455.00,129.67
3454.00,129.68
3453.00,129.69
3452.00,129.70
3451.00,129.71
3450.00,129.72
3449.00,129.72
3448.00,129.73
3447.00,129.74
3446.00,129.75
3445.00,129.76
3444.00,129.76
3443.00,129.77
3442.00,129.78
3441.00,129.78
3440.00,129.78
3439.00,129.78
3438.00,129.77
3437.00,129.77
3436.00,129.78
3435.00,129.78
3434.00,129.79
3433.00,129.80
3432.00,129.80
3431.00,129.80
3430.00,129.80
3429.00,129.80
3428.00,129.80
3427.00,129.80
3426.00,129.81
3425.00,129.81
3424.00,129.80
3423.00,129.80
3422.00,129.79
3421.00,129.79
3420.00,129.78
3419.00,129.77
3418.00,129.76
3417.00,129.75
3416.00,129.73
3415.00,129.71
3414.00,129.69
3413.00,129.67
3412.00,129.65
3411.00,129.63
3410.00,129.61
3409.00,129.59
3408.00,129.57
3407.00,129.55
3406.00,129.52
3405.00,129.49
3404.00,129.46
3403.00,129.43
3402.00,129.40
3401.00,129.37
3400.00,129.35
3399.00,129.34
3398.00,129.32
3397.00,129.30
3396.00,129.27
3395.00,129.24
3394.00,129.22
3393.00,129.19
3392.00,129.17
3391.00,129.16
3390.00,129.15
3389.00,129.13
3388.00,129.12
3387.00,129.11
3386.00,129.09
3385.00,129.08
3384.00,129.07
3383.00,129.06
3382.00,129.05
3381.00,129.04
3380.00,129.03
3379.00,129.02
3378.00,129.02
3377.00,129.01
3376.00,129.01
3375.00,129.01
3374.00,129.01
3373.00,129.00
3372.00,129.00
3371.00,128.99
3370.00,128.99
3369.00,128.99
3368.00,128.99
3367.00,128.99
3366.00,129.00
3365.00,129.01
3364.00,129.01
3363.00,129.01
3362.00,129.01
3361.00,129.01
3360.00,129.02
3359.00,129.02
3358.00,129.03
3357.00,129.03
3356.00,129.03
3355.00,129.03
3354.00,129.03
3353.00,129.02
3352.00,129.02
3351.00,129.02
3350.00,129.02
3349.00,129.03
3348.00,129.03
3347.00,129.03
3346.00,129.03
3345.00,129.03
3344.00,129.03
3343.00,129.02
3342.00,129.02
3341.00,129.02
3340.00,129.02
3339.00,129.02
3338.00,129.02
3337.00,129.03
3336.00,129.03
3335.00,129.04
3334.00,129.04
3333.00,129.05
3332.00,129.05
3331.00,129.05
3330.00,129.06
3329.00,129.07
3328.00,129.07
3327.00,129.08
3326.00,129.09
3325.00,129.10
3324.00,129.11
3323.00,129.12
3322.00,129.14
3321.00,129.15
3320.00,129.16
3319.00,129.18
3318.00,129.19
3317.00,129.21
3316.00,129.23
3315.00,129.25
3314.00,129.27
3313.00,129.30
3312.00,129.33
3311.00,129.36
3310.00,129.39
3309.00,129.42
3308.00,129.46
3307.00,129.49
3306.00,129.53
3305.00,129.56
3304.00,129.59
3303.00,129.61
3302.00,129.62
3301.00,129.62
3300.00,129.61
3299.00,129.58
3298.00,129.55
3297.00,129.51
3296.00,129.47
3295.00,129.43
3294.00,129.39
3293.00,129.35
3292.00,129.31
3291.00,129.27
3290.00,129.24
3289.00,129.21
3288.00,129.18
3287.00,129.15
3286.00,129.12
3285.00,129.09
3284.00,129.07
3283.00,129.04
3282.00,129.02
3281.00,129.00
3280.00,128.98
3279.00,128.96
3278.00,128.94
3277.00,128.93
3276.00,128.91
3275.00,128.90
3274.00,128.88
3273.00,128.87
3272.00,128.86
3271.00,128.85
3270.00,128.84
3269.00,128.84
3268.00,128.84
3267.00,128.84
3266.00,128.84
3265.00,128.84
3264.00,128.84
3263.00,128.85
3262.00,128.85
3261.00,128.85
3260.00,128.86
3259.00,128.86
3258.00,128.86
3257.00,128.86
3256.00,128.87
3255.00,128.87
3254.00,128.88
3253.00,128.88
3252.00,128.89
3251.00,128.89
3250.00,128.89
3249.00,128.89
3248.00,128.89
3247.00,128.89
3246.00,128.89
3245.00,128.90
3244.00,128.90
3243.00,128.90
3242.00,128.91
3241.00,128.91
3240.00,128.91
3239.00,128.91
3238.00,128.90
3237.00,128.90
3236.00,128.90
3235.00,128.89
3234.00,128.89
3233.00,128.90
3232.00,128.90
3231.00,128.91
3230.00,128.92
3229.00,128.92
3228.00,128.92
3227.00,128.93
3226.00,128.93
3225.00,128.94
3224.00,128.95
3223.00,128.96
3222.00,128.96
3221.00,128.97
3220.00,128.98
3219.00,128.99
3218.00,129.00
3217.00,129.01
3216.00,129.02
3215.00,129.04
3214.00,129.05
3213.00,129.06
3212.00,129.08
3211.00,129.09
3210.00,129.11
3209.00,129.12
3208.00,129.13
3207.00,129.14
3206.00,129.16
