Created as New Dataset,Sample 357 By Analyst Date Thursday, February 06 2025
cm-1,%T
4000.00,121.17
3999.00,121.17
3998.00,121.16
3997.00,121.16
3996.00,121.15
3995.00,121.15
3994.00,121.14
3993.00,121.14
3992.00,121.14
3991.00,121.13
3990.00,121.13
3989.00,121.12
3988.00,121.12
3987.00,121.11
3986.00,121.10
3985.00,121.10
3984.00,121.09
3983.00,121.08
3982.00,121.07
3981.00,121.07
3980.00,121.06
3979.00,121.06
3978.00,121.05
3977.00,121.04
3976.00,121.04
3975.00,121.03
3974.00,121.03
3973.00,121.02
3972.00,121.02
3971.00,121.02
3970.00,121.01
3969.00,121.01
3968.00,121.01
3967.00,121.01
3966.00,121.01
3965.00,121.00
3964.00,121.00
3963.00,121.00
3962.00,121.00
3961.00,121.01
3960.00,121.01
3959.00,121.01
3958.00,121.02
3957.00,121.02
3956.00,121.02
3955.00,121.02
3954.00,121.03
3953.00,121.03
3952.00,121.03
3951.00,121.04
3950.00,121.04
3949.00,121.04
3948.00,121.05
3947.00,121.05
3946.00,121.05
3945.00,121.05
3944.00,121.05
3943.00,121.05
3942.00,121.05
3941.00,121.05
3940.00,121.05
3939.00,121.04
3938.00,121.04
3937.00,121.03
3936.00,121.03
3935.00,121.03
3934.00,121.02
3933.00,121.01
3932.00,121.01
3931.00,121.00
3930.00,120.99
3929.00,120.99
3928.00,120.98
3927.00,120.97
3926.00,120.97
3925.00,120.96
3924.00,120.96
3923.00,120.96
3922.00,120.95
3921.00,120.94
3920.00,120.94
3919.00,120.94
3918.00,120.93
3917.00,120.93
3916.00,120.92
3915.00,120.92
3914.00,120.91
3913.00,120.91
3912.00,120.91
3911.00,120.91
3910.00,120.91
3909.00,120.91
3908.00,120.91
3907.00,120.91
3906.00,120.91
3905.00,120.91
3904.00,120.92
3903.00,120.93
3902.00,120.94
3901.00,120.94
3900.00,120.93
3899.00,120.94
3898.00,120.95
3897.00,120.95
3896.00,120.94
3895.00,120.94
3894.00,120.95
3893.00,120.95
3892.00,120.95
3891.00,120.95
3890.00,120.96
3889.00,120.96
3888.00,120.95
3887.00,120.93
3886.00,120.93
3885.00,120.94
3884.00,120.95
3883.00,120.94
3882.00,120.92
3881.00,120.92
3880.00,120.93
3879.00,120.94
3878.00,120.94
3877.00,120.92
3876.00,120.90
3875.00,120.90
3874.00,120.91
3873.00,120.92
3872.00,120.91
3871.00,120.88
3870.00,120.87
3869.00,120.89
3868.00,120.89
3867.00,120.87
3866.00,120.86
3865.00,120.86
3864.00,120.88
3863.00,120.88
3862.00,120.87
3861.00,120.87
3860.00,120.86
3859.00,120.86
3858.00,120.86
3857.00,120.86
