Created as New Dataset,Sample 394 By Analyst Date Monday, February 10 2025
cm-1,%T
4000.00,130.62
3999.00,130.61
3998.00,130.61
3997.00,130.60
3996.00,130.60
3995.00,130.59
3994.00,130.59
3993.00,130.58
3992.00,130.57
3991.00,130.57
3990.00,130.57
3989.00,130.56
3988.00,130.55
3987.00,130.54
3986.00,130.53
3985.00,130.52
3984.00,130.51
3983.00,130.51
3982.00,130.50
3981.00,130.49
3980.00,130.49
3979.00,130.48
3978.00,130.47
3977.00,130.46
3976.00,130.46
3975.00,130.45
3974.00,130.45
3973.00,130.44
3972.00,130.44
3971.00,130.43
3970.00,130.43
3969.00,130.42
3968.00,130.42
3967.00,130.42
3966.00,130.41
3965.00,130.41
3964.00,130.41
3963.00,130.41
3962.00,130.41
3961.00,130.41
3960.00,130.41
3959.00,130.41
3958.00,130.41
3957.00,130.42
3956.00,130.42
3955.00,130.43
3954.00,130.43
3953.00,130.43
3952.00,130.44
3951.00,130.44
3950.00,130.44
3949.00,130.45
3948.00,130.45
3947.00,130.45
3946.00,130.45
3945.00,130.45
3944.00,130.45
3943.00,130.45
3942.00,130.44
3941.00,130.43
3940.00,130.42
3939.00,130.42
3938.00,130.42
3937.00,130.41
3936.00,130.41
3935.00,130.40
3934.00,130.40
3933.00,130.40
3932.00,130.40
3931.00,130.39
3930.00,130.39
3929.00,130.38
3928.00,130.37
3927.00,130.37
3926.00,130.36
3925.00,130.36
3924.00,130.35
3923.00,130.35
3922.00,130.35
3921.00,130.35
3920.00,130.35
3919.00,130.35
3918.00,130.34
3917.00,130.33
3916.00,130.33
3915.00,130.32
3914.00,130.31
3913.00,130.30
3912.00,130.30
3911.00,130.30
3910.00,130.30
3909.00,130.31
3908.00,130.32
3907.00,130.34
3906.00,130.36
3905.00,130.39
3904.00,130.41
3903.00,130.43
3902.00,130.44
3901.00,130.44
3900.00,130.44
3899.00,130.44
3898.00,130.42
3897.00,130.40
3896.00,130.39
3895.00,130.39
3894.00,130.38
3893.00,130.38
3892.00,130.38
3891.00,130.38
3890.00,130.39
3889.00,130.38
3888.00,130.38
3887.00,130.39
3886.00,130.40
3885.00,130.40
3884.00,130.39
3883.00,130.38
3882.00,130.39
3881.00,130.40
3880.00,130.39
3879.00,130.37
3878.00,130.35
3877.00,130.34
3876.00,130.35
3875.00,130.36
3874.00,130.37
3873.00,130.36
3872.00,130.35
3871.00,130.37
3870.00,130.39
3869.00,130.40
3868.00,130.38
3867.00,130.37
3866.00,130.37
3865.00,130.38
3864.00,130.36
3863.00,130.34
3862.00,130.32
3861.00,130.32
3860.00,130.33
3859.00,130.34
3858.00,130.35
3857.00,130.37
3856.00,130.38
3855.00,130.39
3854.00,130.42
3853.00,130.43
3852.00,130.43
3851.00,130.41
3850.00,130.41
3849.00,130.39
3848.00,130.37
3847.00,130.34
3846.00,130.31
3845.00,130.30
3844.00,130.30
3843.00,130.32
3842.00,130.33
3841.00,130.34
3840.00,130.35
3839.00,130.36
3838.00,130.37
3837.00,130.37
3836.00,130.36
3835.00,130.36
3834.00,130.35
3833.00,130.33
3832.00,130.31
3831.00,130.28
3830.00,130.25
3829.00,130.23
3828.00,130.21
3827.00,130.21
3826.00,130.22
3825.00,130.22
3824.00,130.22
3823.00,130.22
3822.00,130.24
3821.00,130.26
3820.00,130.25
3819.00,130.23
3818.00,130.21
3817.00,130.21
3816.00,130.21
3815.00,130.18
3814.00,130.14
3813.00,130.12
3812.00,130.12
3811.00,130.13
3810.00,130.11
3809.00,130.09
3808.00,130.09
3807.00,130.11
3806.00,130.13
3805.00,130.13
3804.00,130.13
3803.00,130.15
3802.00,130.16
3801.00,130.16
3800.00,130.15
3799.00,130.13
3798.00,130.13
3797.00,130.13
3796.00,130.12
3795.00,130.09
3794.00,130.06
3793.00,130.04
3792.00,130.04
3791.00,130.03
3790.00,130.02
3789.00,130.02
3788.00,130.02
3787.00,130.02
3786.00,130.02
3785.00,130.03
3784.00,130.04
3783.00,130.05
3782.00,130.05
3781.00,130.05
3780.00,130.05
3779.00,130.05
3778.00,130.05
3777.00,130.04
3776.00,130.04
3775.00,130.05
3774.00,130.05
3773.00,130.05
3772.00,130.05
3771.00,130.06
3770.00,130.07
3769.00,130.08
3768.00,130.08
3767.00,130.08
3766.00,130.08
3765.00,130.09
3764.00,130.08
3763.00,130.07
3762.00,130.07
3761.00,130.07
3760.00,130.08
3759.00,130.08
3758.00,130.08
3757.00,130.09
3756.00,130.10
3755.00,130.11
3754.00,130.12
3753.00,130.13
3752.00,130.14
3751.00,130.16
3750.00,130.18
3749.00,130.21
3748.00,130.21
3747.00,130.20
3746.00,130.19
3745.00,130.18
3744.00,130.16
3743.00,130.11
3742.00,130.08
3741.00,130.07
3740.00,130.06
3739.00,130.05
3738.00,130.02
3737.00,130.01
3736.00,130.01
3735.00,130.01
3734.00,130.00
3733.00,129.99
3732.00,129.97
3731.00,129.95
3730.00,129.91
3729.00,129.88
3728.00,129.86
3727.00,129.84
3726.00,129.83
3725.00,129.81
3724.00,129.80
3723.00,129.80
3722.00,129.80
3721.00,129.79
3720.00,129.78
3719.00,129.77
3718.00,129.77
3717.00,129.78
3716.00,129.79
3715.00,129.80
3714.00,129.81
3713.00,129.84
3712.00,129.85
3711.00,129.87
3710.00,129.87
3709.00,129.88
3708.00,129.88
3707.00,129.88
3706.00,129.88
3705.00,129.88
3704.00,129.88
3703.00,129.89
3702.00,129.91
3701.00,129.93
3700.00,129.95
3699.00,129.97
3698.00,129.99
3697.00,130.02
3696.00,130.06
3695.00,130.09
3694.00,130.13
3693.00,130.17
3692.00,130.21
3691.00,130.25
3690.00,130.28
3689.00,130.31
3688.00,130.34
3687.00,130.35
3686.00,130.36
3685.00,130.36
3684.00,130.37
3683.00,130.37
3682.00,130.36
3681.00,130.37
3680.00,130.40
3679.00,130.42
3678.00,130.44
3677.00,130.47
3676.00,130.50
3675.00,130.53
3674.00,130.53
3673.00,130.53
3672.00,130.53
3671.00,130.53
3670.00,130.51
3669.00,130.46
3668.00,130.42
3667.00,130.38
3666.00,130.36
3665.00,130.33
3664.00,130.30
3663.00,130.27
3662.00,130.25
3661.00,130.24
3660.00,130.23
3659.00,130.23
3658.00,130.23
3657.00,130.24
3656.00,130.25
3655.00,130.25
3654.00,130.26
3653.00,130.27
3652.00,130.29
3651.00,130.30
3650.00,130.30
3649.00,130.29
3648.00,130.29
3647.00,130.28
3646.00,130.25
3645.00,130.22
3644.00,130.18
3643.00,130.15
3642.00,130.12
3641.00,130.10
3640.00,130.08
3639.00,130.08
3638.00,130.08
3637.00,130.08
3636.00,130.09
3635.00,130.10
3634.00,130.13
3633.00,130.16
3632.00,130.18
3631.00,130.20
3630.00,130.23
3629.00,130.26
3628.00,130.26
3627.00,130.25
3626.00,130.25
3625.00,130.26
3624.00,130.26
3623.00,130.26
3622.00,130.25
3621.00,130.25
3620.00,130.26
3619.00,130.28
3618.00,130.29
3617.00,130.29
3616.00,130.30
3615.00,130.30
3614.00,130.31
3613.00,130.31
3612.00,130.30
3611.00,130.29
3610.00,130.29
3609.00,130.28
3608.00,130.27
3607.00,130.25
3606.00,130.24
3605.00,130.23
3604.00,130.22
3603.00,130.21
3602.00,130.20
3601.00,130.19
3600.00,130.20
3599.00,130.20
3598.00,130.21
3597.00,130.22
3596.00,130.22
3595.00,130.23
3594.00,130.24
3593.00,130.24
3592.00,130.26
3591.00,130.27
3590.00,130.28
3589.00,130.29
3588.00,130.30
3587.00,130.30
3586.00,130.30
3585.00,130.30
3584.00,130.30
3583.00,130.30
3582.00,130.30
3581.00,130.29
3580.00,130.29
3579.00,130.29
3578.00,130.30
3577.00,130.31
3576.00,130.32
3575.00,130.33
3574.00,130.34
3573.00,130.35
3572.00,130.36
3571.00,130.38
3570.00,130.40
3569.00,130.42
3568.00,130.43
3567.00,130.45
3566.00,130.46
3565.00,130.46
3564.00,130.46
3563.00,130.45
3562.00,130.45
3561.00,130.44
3560.00,130.43
3559.00,130.43
3558.00,130.43
3557.00,130.43
3556.00,130.43
3555.00,130.44
3554.00,130.44
3553.00,130.44
3552.00,130.45
3551.00,130.45
3550.00,130.46
3549.00,130.46
3548.00,130.46
3547.00,130.46
3546.00,130.46
3545.00,130.46
3544.00,130.46
3543.00,130.46
3542.00,130.46
3541.00,130.46
3540.00,130.46
3539.00,130.45
3538.00,130.45
3537.00,130.45
3536.00,130.46
3535.00,130.46
3534.00,130.47
3533.00,130.47
3532.00,130.48
3531.00,130.48
3530.00,130.48
3529.00,130.49
3528.00,130.49
3527.00,130.49
3526.00,130.49
3525.00,130.49
3524.00,130.49
3523.00,130.49
3522.00,130.49
3521.00,130.49
3520.00,130.48
3519.00,130.48
3518.00,130.47
3517.00,130.46
3516.00,130.46
3515.00,130.45
3514.00,130.45
3513.00,130.45
3512.00,130.45
3511.00,130.45
3510.00,130.44
3509.00,130.44
3508.00,130.44
3507.00,130.43
3506.00,130.43
3505.00,130.42
3504.00,130.42
3503.00,130.41
3502.00,130.41
3501.00,130.41
3500.00,130.41
3499.00,130.41
3498.00,130.41
3497.00,130.41
3496.00,130.41
3495.00,130.41
3494.00,130.41
3493.00,130.42
3492.00,130.43
3491.00,130.43
3490.00,130.44
3489.00,130.44
3488.00,130.45
3487.00,130.46
3486.00,130.47
3485.00,130.48
3484.00,130.49
3483.00,130.50
3482.00,130.51
3481.00,130.52
3480.00,130.53
3479.00,130.54
3478.00,130.55
3477.00,130.57
3476.00,130.58
3475.00,130.59
3474.00,130.60
3473.00,130.61
3472.00,130.62
3471.00,130.62
3470.00,130.63
3469.00,130.64
3468.00,130.65
3467.00,130.67
3466.00,130.68
3465.00,130.69
3464.00,130.71
3463.00,130.72
3462.00,130.72
3461.00,130.73
3460.00,130.74
3459.00,130.75
3458.00,130.76
3457.00,130.77
3456.00,130.77
3455.00,130.78
3454.00,130.79
3453.00,130.79
3452.00,130.80
3451.00,130.81
3450.00,130.82
3449.00,130.83
3448.00,130.83
3447.00,130.84
3446.00,130.85
3445.00,130.86
3444.00,130.87
3443.00,130.88
3442.00,130.88
3441.00,130.89
3440.00,130.89
3439.00,130.90
3438.00,130.90
3437.00,130.90
3436.00,130.91
3435.00,130.92
3434.00,130.92
3433.00,130.93
3432.00,130.94
3431.00,130.94
3430.00,130.95
3429.00,130.95
3428.00,130.95
3427.00,130.96
3426.00,130.96
3425.00,130.96
3424.00,130.96
3423.00,130.96
3422.00,130.95
3421.00,130.95
3420.00,130.94
3419.00,130.93
3418.00,130.92
3417.00,130.91
3416.00,130.90
3415.00,130.88
3414.00,130.86
3413.00,130.84
3412.00,130.83
3411.00,130.81
3410.00,130.79
3409.00,130.77
3408.00,130.75
3407.00,130.73
3406.00,130.71
3405.00,130.69
3404.00,130.67
3403.00,130.64
3402.00,130.61
3401.00,130.59
3400.00,130.57
3399.00,130.56
3398.00,130.55
3397.00,130.53
3396.00,130.52
3395.00,130.50
3394.00,130.48
3393.00,130.46
3392.00,130.45
3391.00,130.44
3390.00,130.43
3389.00,130.43
3388.00,130.42
3387.00,130.41
3386.00,130.41
3385.00,130.40
3384.00,130.40
3383.00,130.39
3382.00,130.39
3381.00,130.38
3380.00,130.38
3379.00,130.38
3378.00,130.37
3377.00,130.37
3376.00,130.37
3375.00,130.37
3374.00,130.37
3373.00,130.37
3372.00,130.36
3371.00,130.36
3370.00,130.35
3369.00,130.35
3368.00,130.35
3367.00,130.35
3366.00,130.36
3365.00,130.36
3364.00,130.36
3363.00,130.36
3362.00,130.36
3361.00,130.36
3360.00,130.36
3359.00,130.36
3358.00,130.35
3357.00,130.35
3356.00,130.35
3355.00,130.35
3354.00,130.35
3353.00,130.34
3352.00,130.34
3351.00,130.34
3350.00,130.34
3349.00,130.34
3348.00,130.34
3347.00,130.34
3346.00,130.35
3345.00,130.35
3344.00,130.35
3343.00,130.35
3342.00,130.35
3341.00,130.35
3340.00,130.35
3339.00,130.35
3338.00,130.36
3337.00,130.36
3336.00,130.37
3335.00,130.38
3334.00,130.39
3333.00,130.39
3332.00,130.40
3331.00,130.41
3330.00,130.42
3329.00,130.43
3328.00,130.43
3327.00,130.44
3326.00,130.45
3325.00,130.46
3324.00,130.48
3323.00,130.49
3322.00,130.50
3321.00,130.51
3320.00,130.52
3319.00,130.54
3318.00,130.55
3317.00,130.56
3316.00,130.58
3315.00,130.59
3314.00,130.61
3313.00,130.63
3312.00,130.65
3311.00,130.67
3310.00,130.69
3309.00,130.71
3308.00,130.74
3307.00,130.76
3306.00,130.79
3305.00,130.81
3304.00,130.83
3303.00,130.85
3302.00,130.85
3301.00,130.85
3300.00,130.84
3299.00,130.82
3298.00,130.79
3297.00,130.76
3296.00,130.73
3295.00,130.70
3294.00,130.67
3293.00,130.64
3292.00,130.61
3291.00,130.58
3290.00,130.56
3289.00,130.53
3288.00,130.51
3287.00,130.49
3286.00,130.47
3285.00,130.45
3284.00,130.43
3283.00,130.42
3282.00,130.40
3281.00,130.39
3280.00,130.38
3279.00,130.36
3278.00,130.35
3277.00,130.34
3276.00,130.33
3275.00,130.33
3274.00,130.32
3273.00,130.31
3272.00,130.30
3271.00,130.29
3270.00,130.29
3269.00,130.29
3268.00,130.30
3267.00,130.30
3266.00,130.30
3265.00,130.30
3264.00,130.30
3263.00,130.30
3262.00,130.30
3261.00,130.30
3260.00,130.30
3259.00,130.30
3258.00,130.30
3257.00,130.30
3256.00,130.30
3255.00,130.30
3254.00,130.31
3253.00,130.31
3252.00,130.31
3251.00,130.31
3250.00,130.31
3249.00,130.30
3248.00,130.30
3247.00,130.30
3246.00,130.30
3245.00,130.31
3244.00,130.31
3243.00,130.31
3242.00,130.31
3241.00,130.31
3240.00,130.31
3239.00,130.31
3238.00,130.31
3237.00,130.31
3236.00,130.31
3235.00,130.31
3234.00,130.32
3233.00,130.32
3232.00,130.33
3231.00,130.34
3230.00,130.34
3229.00,130.35
3228.00,130.36
3227.00,130.37
3226.00,130.37
3225.00,130.38
3224.00,130.39
3223.00,130.40
3222.00,130.41
3221.00,130.42
3220.00,130.43
3219.00,130.44
3218.00,130.45
3217.00,130.47
3216.00,130.48
3215.00,130.49
3214.00,130.50
3213.00,130.51
3212.00,130.52
3211.00,130.53
3210.00,130.55
3209.00,130.55
3208.00,130.56
3207.00,130.57
3206.00,130.58
3205.00,130.59
3204.00,130.60
3203.00,130.60
3202.00,130.61
3201.00,130.61
3200.00,130.62
3199.00,130.62
3198.00,130.62
3197.00,130.62
3196.00,130.62
3195.00,130.62
3194.00,130.62
3193.00,130.62
3192.00,130.62
3191.00,130.61
3190.00,130.61
3189.00,130.61
3188.00,130.61
3187.00,130.61
3186.00,130.62
3185.00,130.62
3184.00,130.62
3183.00,130.63
3182.00,130.63
3181.00,130.63
3180.00,130.64
3179.00,130.64
3178.00,130.64
3177.00,130.64
3176.00,130.63
3175.00,130.63
3174.00,130.63
3173.00,130.62
3172.00,130.62
3171.00,130.62
3170.00,130.62
3169.00,130.63
3168.00,130.63
3167.00,130.63
3166.00,130.64
3165.00,130.65
3164.00,130.65
3163.00,130.66
3162.00,130.67
3161.00,130.67
3160.00,130.68
3159.00,130.68
3158.00,130.69
3157.00,130.69
3156.00,130.69
3155.00,130.69
3154.00,130.69
3153.00,130.69
3152.00,130.69
3151.00,130.69
3150.00,130.69
3149.00,130.69
3148.00,130.69
3147.00,130.68
3146.00,130.68
3145.00,130.68
3144.00,130.68
3143.00,130.67
3142.00,130.67
3141.00,130.67
3140.00,130.66
3139.00,130.66
3138.00,130.67
3137.00,130.67
3136.00,130.67
3135.00,130.67
3134.00,130.68
3133.00,130.68
3132.00,130.68
3131.00,130.68
3130.00,130.68
3129.00,130.68
3128.00,130.69
3127.00,130.70
3126.00,130.70
3125.00,130.71
3124.00,130.71
3123.00,130.72
3122.00,130.72
3121.00,130.73
3120.00,130.73
3119.00,130.74
3118.00,130.75
3117.00,130.77
3116.00,130.78
