Created as New Dataset,Sample 041 By Analyst Date Wednesday, February 12 2025
cm-1,%T
4000.00,99.91
3998.00,99.91
3996.00,99.91
3994.00,99.91
3992.00,99.91
3990.00,99.91
3988.00,99.91
3986.00,99.91
3984.00,99.91
3982.00,99.91
3980.00,99.90
3978.00,99.90
3976.00,99.90
3974.00,99.90
3972.00,99.90
3970.00,99.90
3968.00,99.90
3966.00,99.90
3964.00,99.90
3962.00,99.90
3960.00,99.90
3958.00,99.90
3956.00,99.90
3954.00,99.90
3952.00,99.90
3950.00,99.89
3948.00,99.89
3946.00,99.89
3944.00,99.89
3942.00,99.89
3940.00,99.89
3938.00,99.89
3936.00,99.89
3934.00,99.89
3932.00,99.89
3930.00,99.89
3928.00,99.89
3926.00,99.89
3924.00,99.89
3922.00,99.89
3920.00,99.89
3918.00,99.89
3916.00,99.88
3914.00,99.88
3912.00,99.88
3910.00,99.88
3908.00,99.88
3906.00,99.88
3904.00,99.88
3902.00,99.88
3900.00,99.87
3898.00,99.87
3896.00,99.87
3894.00,99.87
3892.00,99.87
3890.00,99.87
3888.00,99.87
3886.00,99.87
3884.00,99.87
3882.00,99.87
3880.00,99.87
3878.00,99.87
3876.00,99.87
3874.00,99.87
3872.00,99.87
3870.00,99.87
3868.00,99.86
3866.00,99.86
3864.00,99.86
3862.00,99.86
3860.00,99.86
3858.00,99.86
3856.00,99.86
3854.00,99.86
3852.00,99.86
3850.00,99.85
3848.00,99.85
3846.00,99.85
3844.00,99.85
3842.00,99.85
3840.00,99.85
3838.00,99.85
3836.00,99.85
3834.00,99.85
3832.00,99.85
3830.00,99.85
3828.00,99.85
3826.00,99.85
3824.00,99.85
3822.00,99.86
3820.00,99.86
3818.00,99.86
3816.00,99.86
3814.00,99.85
3812.00,99.85
3810.00,99.85
3808.00,99.85
3806.00,99.85
3804.00,99.86
3802.00,99.86
3800.00,99.85
3798.00,99.85
3796.00,99.85
3794.00,99.85
3792.00,99.85
3790.00,99.85
3788.00,99.85
3786.00,99.86
3784.00,99.86
3782.00,99.85
3780.00,99.85
3778.00,99.85
3776.00,99.85
3774.00,99.85
3772.00,99.85
3770.00,99.85
3768.00,99.85
3766.00,99.85
3764.00,99.85
3762.00,99.85
3760.00,99.85
3758.00,99.85
3756.00,99.85
3754.00,99.85
3752.00,99.85
3750.00,99.85
3748.00,99.85
3746.00,99.85
3744.00,99.85
3742.00,99.85
3740.00,99.86
3738.00,99.86
3736.00,99.86
3734.00,99.86
3732.00,99.86
3730.00,99.86
3728.00,99.86
3726.00,99.86
3724.00,99.86
3722.00,99.85
3720.00,99.85
3718.00,99.85
3716.00,99.85
3714.00,99.85
3712.00,99.85
3710.00,99.85
3708.00,99.85
3706.00,99.85
3704.00,99.85
3702.00,99.84
3700.00,99.84
3698.00,99.84
3696.00,99.84
3694.00,99.84
3692.00,99.84
3690.00,99.84
3688.00,99.84
3686.00,99.84
3684.00,99.84
3682.00,99.84
3680.00,99.84
3678.00,99.84
3676.00,99.84
3674.00,99.84
3672.00,99.84
3670.00,99.84
3668.00,99.84
3666.00,99.84
3664.00,99.84
3662.00,99.84
3660.00,99.84
3658.00,99.84
3656.00,99.84
3654.00,99.84
3652.00,99.84
3650.00,99.84
3648.00,99.84
3646.00,99.84
3644.00,99.84
3642.00,99.84
3640.00,99.84
3638.00,99.85
3636.00,99.85
3634.00,99.85
3632.00,99.85
3630.00,99.85
3628.00,99.85
3626.00,99.85
3624.00,99.85
3622.00,99.85
3620.00,99.85
3618.00,99.85
3616.00,99.86
3614.00,99.86
3612.00,99.86
3610.00,99.87
3608.00,99.87
3606.00,99.87
3604.00,99.87
3602.00,99.87
3600.00,99.87
3598.00,99.87
3596.00,99.87
3594.00,99.87
3592.00,99.87
3590.00,99.87
3588.00,99.87
3586.00,99.87
3584.00,99.87
3582.00,99.87
3580.00,99.87
3578.00,99.87
3576.00,99.87
3574.00,99.87
3572.00,99.87
3570.00,99.87
3568.00,99.87
3566.00,99.87
3564.00,99.88
3562.00,99.88
3560.00,99.88
3558.00,99.88
3556.00,99.88
3554.00,99.88
3552.00,99.88
3550.00,99.88
3548.00,99.88
3546.00,99.89
3544.00,99.89
3542.00,99.89
3540.00,99.88
3538.00,99.88
3536.00,99.88
3534.00,99.88
3532.00,99.89
3530.00,99.89
3528.00,99.89
3526.00,99.89
3524.00,99.89
3522.00,99.89
3520.00,99.89
3518.00,99.89
3516.00,99.89
3514.00,99.89
3512.00,99.89
3510.00,99.89
3508.00,99.89
