Created as New Dataset,Sample 348 By Analyst Date Tuesday, February 04 2025
cm-1,%T
4000.00,100.14
3999.00,100.14
3998.00,100.14
3997.00,100.14
3996.00,100.14
3995.00,100.14
3994.00,100.14
3993.00,100.14
3992.00,100.13
3991.00,100.13
3990.00,100.14
3989.00,100.14
3988.00,100.14
3987.00,100.13
3986.00,100.13
3985.00,100.13
3984.00,100.13
3983.00,100.13
3982.00,100.13
3981.00,100.14
3980.00,100.14
3979.00,100.14
3978.00,100.14
3977.00,100.13
3976.00,100.14
3975.00,100.14
3974.00,100.14
3973.00,100.14
3972.00,100.13
3971.00,100.13
3970.00,100.13
3969.00,100.13
3968.00,100.13
3967.00,100.13
3966.00,100.13
3965.00,100.13
3964.00,100.13
3963.00,100.13
3962.00,100.13
3961.00,100.13
3960.00,100.13
3959.00,100.13
3958.00,100.13
3957.00,100.13
3956.00,100.13
3955.00,100.13
3954.00,100.13
3953.00,100.13
3952.00,100.12
3951.00,100.12
3950.00,100.12
3949.00,100.11
3948.00,100.11
3947.00,100.11
3946.00,100.11
3945.00,100.11
3944.00,100.11
3943.00,100.11
3942.00,100.11
3941.00,100.11
3940.00,100.11
3939.00,100.12
3938.00,100.12
3937.00,100.12
3936.00,100.12
3935.00,100.12
3934.00,100.11
3933.00,100.10
3932.00,100.10
3931.00,100.11
3930.00,100.11
3929.00,100.11
3928.00,100.11
3927.00,100.11
3926.00,100.11
3925.00,100.12
3924.00,100.12
3923.00,100.11
3922.00,100.10
3921.00,100.10
3920.00,100.09
3919.00,100.09
3918.00,100.10
3917.00,100.10
3916.00,100.11
3915.00,100.11
3914.00,100.11
3913.00,100.12
3912.00,100.12
3911.00,100.13
3910.00,100.13
3909.00,100.12
3908.00,100.12
3907.00,100.11
3906.00,100.10
3905.00,100.09
3904.00,100.07
3903.00,100.06
3902.00,100.04
3901.00,100.04
3900.00,100.04
3899.00,100.06
3898.00,100.07
3897.00,100.08
3896.00,100.09
3895.00,100.09
3894.00,100.10
3893.00,100.10
3892.00,100.10
3891.00,100.11
3890.00,100.10
3889.00,100.09
3888.00,100.08
3887.00,100.07
3886.00,100.07
3885.00,100.08
3884.00,100.08
3883.00,100.07
3882.00,100.06
3881.00,100.06
3880.00,100.08
3879.00,100.08
3878.00,100.08
3877.00,100.08
3876.00,100.08
3875.00,100.08
3874.00,100.09
3873.00,100.09
3872.00,100.08
3871.00,100.06
3870.00,100.06
3869.00,100.06
3868.00,100.07
3867.00,100.06
3866.00,100.05
3865.00,100.06
3864.00,100.07
3863.00,100.07
3862.00,100.07
3861.00,100.07
3860.00,100.07
3859.00,100.08
3858.00,100.10
3857.00,100.12
3856.00,100.13
3855.00,100.12
3854.00,100.10
3853.00,100.08
3852.00,100.07
3851.00,100.06
3850.00,100.06
3849.00,100.06
3848.00,100.07
3847.00,100.08
3846.00,100.08
3845.00,100.08
3844.00,100.08
3843.00,100.08
3842.00,100.08
3841.00,100.07
3840.00,100.07
3839.00,100.06
3838.00,100.06
3837.00,100.06
3836.00,100.05
3835.00,100.06
3834.00,100.06
3833.00,100.06
3832.00,100.07
3831.00,100.08
3830.00,100.08
3829.00,100.08
3828.00,100.08
3827.00,100.08
3826.00,100.09
3825.00,100.09
3824.00,100.08
3823.00,100.06
3822.00,100.06
3821.00,100.06
3820.00,100.07
3819.00,100.06
3818.00,100.05
3817.00,100.05
3816.00,100.06
3815.00,100.08
3814.00,100.09
3813.00,100.09
3812.00,100.10
3811.00,100.10
3810.00,100.11
3809.00,100.10
3808.00,100.10
3807.00,100.09
3806.00,100.09
3805.00,100.09
3804.00,100.08
3803.00,100.07
3802.00,100.07
3801.00,100.08
3800.00,100.09
3799.00,100.08
3798.00,100.07
3797.00,100.07
3796.00,100.08
3795.00,100.09
3794.00,100.10
3793.00,100.10
3792.00,100.10
3791.00,100.11
3790.00,100.12
3789.00,100.12
3788.00,100.12
3787.00,100.12
3786.00,100.11
3785.00,100.11
3784.00,100.11
3783.00,100.11
3782.00,100.10
3781.00,100.10
3780.00,100.10
3779.00,100.10
3778.00,100.11
3777.00,100.11
3776.00,100.10
3775.00,100.11
3774.00,100.11
3773.00,100.11
3772.00,100.10
3771.00,100.10
3770.00,100.10
3769.00,100.09
3768.00,100.09
3767.00,100.08
3766.00,100.08
3765.00,100.08
3764.00,100.09
3763.00,100.08
3762.00,100.08
3761.00,100.07
3760.00,100.08
3759.00,100.08
3758.00,100.08
3757.00,100.07
3756.00,100.07
3755.00,100.06
3754.00,100.06
3753.00,100.05
3752.00,100.04
3751.00,100.03
3750.00,100.02
3749.00,100.02
3748.00,100.02
3747.00,100.01
3746.00,100.01
3745.00,100.01
3744.00,100.02
3743.00,100.03
3742.00,100.03
3741.00,100.01
3740.00,100.01
3739.00,100.00
3738.00,100.00
3737.00,100.00
3736.00,100.00
3735.00,100.01
3734.00,100.01
3733.00,100.01
3732.00,100.02
3731.00,100.03
3730.00,100.04
3729.00,100.04
3728.00,100.04
3727.00,100.05
3726.00,100.06
3725.00,100.06
3724.00,100.06
3723.00,100.06
3722.00,100.06
3721.00,100.07
3720.00,100.07
3719.00,100.08
3718.00,100.08
3717.00,100.08
3716.00,100.08
3715.00,100.07
3714.00,100.06
3713.00,100.06
3712.00,100.05
3711.00,100.05
3710.00,100.05
3709.00,100.05
3708.00,100.06
3707.00,100.07
3706.00,100.08
3705.00,100.08
3704.00,100.08
3703.00,100.09
3702.00,100.09
3701.00,100.10
3700.00,100.10
3699.00,100.10
3698.00,100.09
3697.00,100.10
3696.00,100.10
3695.00,100.10
3694.00,100.09
3693.00,100.09
3692.00,100.08
3691.00,100.08
3690.00,100.08
3689.00,100.07
3688.00,100.07
3687.00,100.07
3686.00,100.07
3685.00,100.07
3684.00,100.08
3683.00,100.08
3682.00,100.08
3681.00,100.08
3680.00,100.08
3679.00,100.08
3678.00,100.06
3677.00,100.04
3676.00,100.03
3675.00,100.04
3674.00,100.04
3673.00,100.03
3672.00,100.02
3671.00,100.02
3670.00,100.03
3669.00,100.05
3668.00,100.06
3667.00,100.06
3666.00,100.07
3665.00,100.08
3664.00,100.09
3663.00,100.10
3662.00,100.10
3661.00,100.10
3660.00,100.10
3659.00,100.10
3658.00,100.09
3657.00,100.08
3656.00,100.08
3655.00,100.08
3654.00,100.07
3653.00,100.05
3652.00,100.03
3651.00,100.02
3650.00,100.01
3649.00,100.00
3648.00,100.00
3647.00,100.00
3646.00,100.02
3645.00,100.03
3644.00,100.04
3643.00,100.06
3642.00,100.08
3641.00,100.09
3640.00,100.10
3639.00,100.10
3638.00,100.09
3637.00,100.09
3636.00,100.09
3635.00,100.08
3634.00,100.08
3633.00,100.08
3632.00,100.07
3631.00,100.05
3630.00,100.03
3629.00,100.03
3628.00,100.03
3627.00,100.04
3626.00,100.04
3625.00,100.04
3624.00,100.05
3623.00,100.07
3622.00,100.08
3621.00,100.08
3620.00,100.08
3619.00,100.07
3618.00,100.06
3617.00,100.05
3616.00,100.04
3615.00,100.03
3614.00,100.03
3613.00,100.03
3612.00,100.03
3611.00,100.03
3610.00,100.02
3609.00,100.03
3608.00,100.04
3607.00,100.05
3606.00,100.06
3605.00,100.07
3604.00,100.07
3603.00,100.07
3602.00,100.08
3601.00,100.08
3600.00,100.08
3599.00,100.08
3598.00,100.07
3597.00,100.07
3596.00,100.07
3595.00,100.07
3594.00,100.07
3593.00,100.07
3592.00,100.07
3591.00,100.06
3590.00,100.05
3589.00,100.05
3588.00,100.05
3587.00,100.05
3586.00,100.05
3585.00,100.06
3584.00,100.06
3583.00,100.07
3582.00,100.08
3581.00,100.09
3580.00,100.10
3579.00,100.10
3578.00,100.10
3577.00,100.10
3576.00,100.10
3575.00,100.09
3574.00,100.09
3573.00,100.09
3572.00,100.08
3571.00,100.07
3570.00,100.06
3569.00,100.04
3568.00,100.04
3567.00,100.04
3566.00,100.04
3565.00,100.05
3564.00,100.05
3563.00,100.05
3562.00,100.06
3561.00,100.07
3560.00,100.08
3559.00,100.09
3558.00,100.09
3557.00,100.09
3556.00,100.09
3555.00,100.10
3554.00,100.10
3553.00,100.10
3552.00,100.10
3551.00,100.09
3550.00,100.09
3549.00,100.08
3548.00,100.07
3547.00,100.07
3546.00,100.07
3545.00,100.08
3544.00,100.08
3543.00,100.08
3542.00,100.08
3541.00,100.09
3540.00,100.09
3539.00,100.10
3538.00,100.10
3537.00,100.10
3536.00,100.10
3535.00,100.10
3534.00,100.10
3533.00,100.10
3532.00,100.09
3531.00,100.09
3530.00,100.09
3529.00,100.09
3528.00,100.09
3527.00,100.08
3526.00,100.08
3525.00,100.08
3524.00,100.08
3523.00,100.08
3522.00,100.08
3521.00,100.09
