Created as New Dataset,Sample 382 By Analyst Date Monday, February 10 2025
cm-1,%T
4000.00,100.91
3999.00,100.91
3998.00,100.91
3997.00,100.91
3996.00,100.91
3995.00,100.91
3994.00,100.91
3993.00,100.91
3992.00,100.91
3991.00,100.91
3990.00,100.91
3989.00,100.92
3988.00,100.92
3987.00,100.91
3986.00,100.91
3985.00,100.91
3984.00,100.91
3983.00,100.91
3982.00,100.91
3981.00,100.91
3980.00,100.91
3979.00,100.91
3978.00,100.91
3977.00,100.91
3976.00,100.91
3975.00,100.91
3974.00,100.91
3973.00,100.91
3972.00,100.91
3971.00,100.91
3970.00,100.90
3969.00,100.90
3968.00,100.90
3967.00,100.90
3966.00,100.90
3965.00,100.90
3964.00,100.90
3963.00,100.90
3962.00,100.90
3961.00,100.90
3960.00,100.90
3959.00,100.90
3958.00,100.90
3957.00,100.90
3956.00,100.90
3955.00,100.90
3954.00,100.90
3953.00,100.90
3952.00,100.90
3951.00,100.90
3950.00,100.90
3949.00,100.90
3948.00,100.90
3947.00,100.90
3946.00,100.90
3945.00,100.90
3944.00,100.90
3943.00,100.90
3942.00,100.91
3941.00,100.91
3940.00,100.91
3939.00,100.91
3938.00,100.90
3937.00,100.90
3936.00,100.90
3935.00,100.90
3934.00,100.90
3933.00,100.90
3932.00,100.90
3931.00,100.90
3930.00,100.90
3929.00,100.90
3928.00,100.90
3927.00,100.90
3926.00,100.90
3925.00,100.90
3924.00,100.91
3923.00,100.91
3922.00,100.90
3921.00,100.90
3920.00,100.90
3919.00,100.90
3918.00,100.90
3917.00,100.90
3916.00,100.90
3915.00,100.90
3914.00,100.90
3913.00,100.90
3912.00,100.90
3911.00,100.90
3910.00,100.90
3909.00,100.90
3908.00,100.90
3907.00,100.89
3906.00,100.89
3905.00,100.90
3904.00,100.90
3903.00,100.90
3902.00,100.90
3901.00,100.90
3900.00,100.90
3899.00,100.91
3898.00,100.91
3897.00,100.91
3896.00,100.91
3895.00,100.90
3894.00,100.90
3893.00,100.90
3892.00,100.90
3891.00,100.90
3890.00,100.91
3889.00,100.91
3888.00,100.90
3887.00,100.89
3886.00,100.88
3885.00,100.90
3884.00,100.91
