Created as New Dataset,Sample 385 By Analyst Date Monday, February 10 2025
cm-1,%T
4000.00,93.36
3999.00,93.36
3998.00,93.36
3997.00,93.36
3996.00,93.36
3995.00,93.36
3994.00,93.36
3993.00,93.36
3992.00,93.36
3991.00,93.36
3990.00,93.36
3989.00,93.36
3988.00,93.35
3987.00,93.35
3986.00,93.35
3985.00,93.35
3984.00,93.35
3983.00,93.35
3982.00,93.35
3981.00,93.35
3980.00,93.34
3979.00,93.34
3978.00,93.34
3977.00,93.34
3976.00,93.34
3975.00,93.35
3974.00,93.35
3973.00,93.35
3972.00,93.35
3971.00,93.35
3970.00,93.35
3969.00,93.35
3968.00,93.35
3967.00,93.35
3966.00,93.34
3965.00,93.35
3964.00,93.35
3963.00,93.35
3962.00,93.35
3961.00,93.35
3960.00,93.35
3959.00,93.36
3958.00,93.36
3957.00,93.36
3956.00,93.36
3955.00,93.36
3954.00,93.36
3953.00,93.36
3952.00,93.36
3951.00,93.36
3950.00,93.35
3949.00,93.35
3948.00,93.35
3947.00,93.34
3946.00,93.34
3945.00,93.35
3944.00,93.36
3943.00,93.36
3942.00,93.35
3941.00,93.35
3940.00,93.35
3939.00,93.36
3938.00,93.36
3937.00,93.35
3936.00,93.34
3935.00,93.34
3934.00,93.34
3933.00,93.34
3932.00,93.34
3931.00,93.34
3930.00,93.33
3929.00,93.33
3928.00,93.33
3927.00,93.33
3926.00,93.34
3925.00,93.33
3924.00,93.32
3923.00,93.31
3922.00,93.30
3921.00,93.30
3920.00,93.30
3919.00,93.30
3918.00,93.31
3917.00,93.31
3916.00,93.31
3915.00,93.32
3914.00,93.33
3913.00,93.34
3912.00,93.34
3911.00,93.34
3910.00,93.33
3909.00,93.31
3908.00,93.29
3907.00,93.28
3906.00,93.26
3905.00,93.25
3904.00,93.22
3903.00,93.21
3902.00,93.21
3901.00,93.24
3900.00,93.27
3899.00,93.28
3898.00,93.27
3897.00,93.27
3896.00,93.28
3895.00,93.28
3894.00,93.29
3893.00,93.30
3892.00,93.31
3891.00,93.29
3890.00,93.26
3889.00,93.24
3888.00,93.26
3887.00,93.29
3886.00,93.29
3885.00,93.26
3884.00,93.24
3883.00,93.26
3882.00,93.30
3881.00,93.32
3880.00,93.30
3879.00,93.26
3878.00,93.25
3877.00,93.27
3876.00,93.30
3875.00,93.29
3874.00,93.25
3873.00,93.21
3872.00,93.21
3871.00,93.25
3870.00,93.25
3869.00,93.21
3868.00,93.19
3867.00,93.22
3866.00,93.26
3865.00,93.27
3864.00,93.26
3863.00,93.26
3862.00,93.26
3861.00,93.27
3860.00,93.27
3859.00,93.24
3858.00,93.18
3857.00,93.11
3856.00,93.06
3855.00,93.07
3854.00,93.13
3853.00,93.15
3852.00,93.11
