Created as New Dataset,Sample 348 By Analyst Date Wednesday, February 05 2025
cm-1,%T
4000.00,106.96
3999.00,106.95
3998.00,106.95
3997.00,106.95
3996.00,106.94
3995.00,106.94
3994.00,106.94
3993.00,106.94
3992.00,106.94
3991.00,106.94
3990.00,106.94
3989.00,106.94
3988.00,106.93
3987.00,106.93
3986.00,106.93
3985.00,106.93
3984.00,106.93
3983.00,106.93
3982.00,106.93
3981.00,106.92
3980.00,106.92
3979.00,106.92
3978.00,106.92
3977.00,106.92
3976.00,106.92
3975.00,106.92
3974.00,106.92
3973.00,106.92
3972.00,106.93
3971.00,106.93
3970.00,106.92
3969.00,106.92
3968.00,106.92
3967.00,106.92
3966.00,106.92
3965.00,106.92
3964.00,106.92
3963.00,106.92
3962.00,106.92
3961.00,106.92
3960.00,106.92
3959.00,106.92
3958.00,106.92
3957.00,106.92
3956.00,106.92
3955.00,106.92
3954.00,106.92
3953.00,106.92
3952.00,106.92
3951.00,106.92
3950.00,106.92
3949.00,106.92
3948.00,106.92
3947.00,106.92
3946.00,106.92
3945.00,106.91
3944.00,106.91
3943.00,106.91
3942.00,106.91
3941.00,106.91
3940.00,106.91
3939.00,106.90
3938.00,106.90
3937.00,106.91
3936.00,106.91
3935.00,106.91
3934.00,106.91
3933.00,106.91
3932.00,106.91
3931.00,106.91
3930.00,106.91
3929.00,106.90
3928.00,106.91
3927.00,106.91
3926.00,106.91
3925.00,106.91
3924.00,106.91
3923.00,106.91
3922.00,106.92
3921.00,106.92
3920.00,106.92
3919.00,106.92
3918.00,106.92
3917.00,106.92
3916.00,106.91
3915.00,106.91
3914.00,106.90
3913.00,106.89
3912.00,106.89
3911.00,106.90
3910.00,106.90
3909.00,106.90
3908.00,106.90
3907.00,106.90
3906.00,106.91
3905.00,106.92
3904.00,106.95
3903.00,106.97
3902.00,106.98
3901.00,106.96
3900.00,106.95
3899.00,106.94
3898.00,106.94
3897.00,106.94
3896.00,106.93
3895.00,106.93
3894.00,106.92
3893.00,106.91
3892.00,106.90
3891.00,106.90
3890.00,106.92
3889.00,106.93
3888.00,106.92
3887.00,106.91
3886.00,106.91
3885.00,106.93
3884.00,106.94
3883.00,106.93
