Created as New Dataset,Sample 363 By Analyst Date Thursday, February 06 2025
cm-1,%T
4000.00,98.48
3999.00,98.48
3998.00,98.48
3997.00,98.48
3996.00,98.48
3995.00,98.48
3994.00,98.48
3993.00,98.48
3992.00,98.48
3991.00,98.48
3990.00,98.48
3989.00,98.48
3988.00,98.48
3987.00,98.48
3986.00,98.48
3985.00,98.48
3984.00,98.48
3983.00,98.48
3982.00,98.48
3981.00,98.48
3980.00,98.48
3979.00,98.48
3978.00,98.48
3977.00,98.48
3976.00,98.48
3975.00,98.48
3974.00,98.48
3973.00,98.48
3972.00,98.47
3971.00,98.47
3970.00,98.47
3969.00,98.47
3968.00,98.47
3967.00,98.47
3966.00,98.47
3965.00,98.47
3964.00,98.48
3963.00,98.48
3962.00,98.48
3961.00,98.48
3960.00,98.48
3959.00,98.48
3958.00,98.48
3957.00,98.48
3956.00,98.48
3955.00,98.48
3954.00,98.48
3953.00,98.48
3952.00,98.48
3951.00,98.48
3950.00,98.48
3949.00,98.48
3948.00,98.47
3947.00,98.47
3946.00,98.47
3945.00,98.48
3944.00,98.48
3943.00,98.48
3942.00,98.48
3941.00,98.48
3940.00,98.48
3939.00,98.48
3938.00,98.47
3937.00,98.47
3936.00,98.47
3935.00,98.47
3934.00,98.47
3933.00,98.47
3932.00,98.47
3931.00,98.47
3930.00,98.47
3929.00,98.47
3928.00,98.47
3927.00,98.47
3926.00,98.47
3925.00,98.47
3924.00,98.47
3923.00,98.47
3922.00,98.47
3921.00,98.47
3920.00,98.47
3919.00,98.47
3918.00,98.47
3917.00,98.47
3916.00,98.47
3915.00,98.47
3914.00,98.47
3913.00,98.48
3912.00,98.48
3911.00,98.48
3910.00,98.47
3909.00,98.47
3908.00,98.47
3907.00,98.47
3906.00,98.47
3905.00,98.47
3904.00,98.47
3903.00,98.47
3902.00,98.47
3901.00,98.47
3900.00,98.47
3899.00,98.47
3898.00,98.47
3897.00,98.47
3896.00,98.47
3895.00,98.47
3894.00,98.48
3893.00,98.48
3892.00,98.48
3891.00,98.47
3890.00,98.47
3889.00,98.47
3888.00,98.47
3887.00,98.47
3886.00,98.47
3885.00,98.47
3884.00,98.47
3883.00,98.47
3882.00,98.47
3881.00,98.47
3880.00,98.47
3879.00,98.47
3878.00,98.47
3877.00,98.47
3876.00,98.47
3875.00,98.47
3874.00,98.46
3873.00,98.46
3872.00,98.47
3871.00,98.47
3870.00,98.47
3869.00,98.46
3868.00,98.46
3867.00,98.46
3866.00,98.47
3865.00,98.47
3864.00,98.47
3863.00,98.46
3862.00,98.46
3861.00,98.46
3860.00,98.46
3859.00,98.46
3858.00,98.46
3857.00,98.45
3856.00,98.46
3855.00,98.46
3854.00,98.47
3853.00,98.47
3852.00,98.46
3851.00,98.46
3850.00,98.47
3849.00,98.47
3848.00,98.47
3847.00,98.47
3846.00,98.47
3845.00,98.47
3844.00,98.47
3843.00,98.47
3842.00,98.47
3841.00,98.47
3840.00,98.47
3839.00,98.47
3838.00,98.47
3837.00,98.46
3836.00,98.46
3835.00,98.47
3834.00,98.47
3833.00,98.47
3832.00,98.47
3831.00,98.47
3830.00,98.47
3829.00,98.47
3828.00,98.47
3827.00,98.47
3826.00,98.46
3825.00,98.46
3824.00,98.46
3823.00,98.47
3822.00,98.47
3821.00,98.46
3820.00,98.46
3819.00,98.46
3818.00,98.46
3817.00,98.47
3816.00,98.47
3815.00,98.47
3814.00,98.47
3813.00,98.47
3812.00,98.47
3811.00,98.47
3810.00,98.47
3809.00,98.47
3808.00,98.47
3807.00,98.47
3806.00,98.46
3805.00,98.46
3804.00,98.47
3803.00,98.47
3802.00,98.47
3801.00,98.47
3800.00,98.47
3799.00,98.47
3798.00,98.47
3797.00,98.48
3796.00,98.48
3795.00,98.48
3794.00,98.48
3793.00,98.48
3792.00,98.48
3791.00,98.48
3790.00,98.48
3789.00,98.48
3788.00,98.48
3787.00,98.48
3786.00,98.48
3785.00,98.48
3784.00,98.48
3783.00,98.48
3782.00,98.48
3781.00,98.48
3780.00,98.48
3779.00,98.48
3778.00,98.47
3777.00,98.47
3776.00,98.47
3775.00,98.47
3774.00,98.47
3773.00,98.47
3772.00,98.47
3771.00,98.47
3770.00,98.47
3769.00,98.47
3768.00,98.47
3767.00,98.47
3766.00,98.47
3765.00,98.47
3764.00,98.46
3763.00,98.47
3762.00,98.47
3761.00,98.47
3760.00,98.47
3759.00,98.47
3758.00,98.46
3757.00,98.46
3756.00,98.46
3755.00,98.45
3754.00,98.45
3753.00,98.45
3752.00,98.45
3751.00,98.46
3750.00,98.45
3749.00,98.45
3748.00,98.45
3747.00,98.46
3746.00,98.46
3745.00,98.47
3744.00,98.47
3743.00,98.46
3742.00,98.46
3741.00,98.46
3740.00,98.46
3739.00,98.46
3738.00,98.45
3737.00,98.46
3736.00,98.46
3735.00,98.46
3734.00,98.46
3733.00,98.46
3732.00,98.46
3731.00,98.46
3730.00,98.46
3729.00,98.47
3728.00,98.47
3727.00,98.47
3726.00,98.47
3725.00,98.47
3724.00,98.47
3723.00,98.47
3722.00,98.47
3721.00,98.47
3720.00,98.47
3719.00,98.47
3718.00,98.46
3717.00,98.46
3716.00,98.46
3715.00,98.46
3714.00,98.46
3713.00,98.46
3712.00,98.46
3711.00,98.46
3710.00,98.46
3709.00,98.46
3708.00,98.46
3707.00,98.46
3706.00,98.46
3705.00,98.46
3704.00,98.46
3703.00,98.46
3702.00,98.46
3701.00,98.46
3700.00,98.46
3699.00,98.46
3698.00,98.46
3697.00,98.46
3696.00,98.46
3695.00,98.45
3694.00,98.45
3693.00,98.45
3692.00,98.45
3691.00,98.45
3690.00,98.45
3689.00,98.45
3688.00,98.45
3687.00,98.45
3686.00,98.46
3685.00,98.46
3684.00,98.46
3683.00,98.46
3682.00,98.45
3681.00,98.45
3680.00,98.45
3679.00,98.44
3678.00,98.44
3677.00,98.45
3676.00,98.45
3675.00,98.44
3674.00,98.43
3673.00,98.44
3672.00,98.44
3671.00,98.45
3670.00,98.45
3669.00,98.45
3668.00,98.44
3667.00,98.45
3666.00,98.45
3665.00,98.45
3664.00,98.45
3663.00,98.45
3662.00,98.45
3661.00,98.45
3660.00,98.45
3659.00,98.45
3658.00,98.45
3657.00,98.45
3656.00,98.45
3655.00,98.44
3654.00,98.44
3653.00,98.44
3652.00,98.44
3651.00,98.44
3650.00,98.44
3649.00,98.44
3648.00,98.44
3647.00,98.45
3646.00,98.45
3645.00,98.45
3644.00,98.46
3643.00,98.46
3642.00,98.46
3641.00,98.46
3640.00,98.46
3639.00,98.46
3638.00,98.46
3637.00,98.46
3636.00,98.46
3635.00,98.46
3634.00,98.46
3633.00,98.45
3632.00,98.45
3631.00,98.45
3630.00,98.46
3629.00,98.46
3628.00,98.46
3627.00,98.46
3626.00,98.46
3625.00,98.46
3624.00,98.46
3623.00,98.46
3622.00,98.46
3621.00,98.46
3620.00,98.46
3619.00,98.46
3618.00,98.46
3617.00,98.45
3616.00,98.45
3615.00,98.45
3614.00,98.45
3613.00,98.45
3612.00,98.45
3611.00,98.45
3610.00,98.45
3609.00,98.45
3608.00,98.46
3607.00,98.46
3606.00,98.46
3605.00,98.46
3604.00,98.46
3603.00,98.46
3602.00,98.46
3601.00,98.46
3600.00,98.46
3599.00,98.46
3598.00,98.46
3597.00,98.46
3596.00,98.46
3595.00,98.46
3594.00,98.46
3593.00,98.45
3592.00,98.45
3591.00,98.45
3590.00,98.45
3589.00,98.45
3588.00,98.46
3587.00,98.46
3586.00,98.46
3585.00,98.46
3584.00,98.46
3583.00,98.46
3582.00,98.46
3581.00,98.46
3580.00,98.46
3579.00,98.46
3578.00,98.46
3577.00,98.46
3576.00,98.46
3575.00,98.47
3574.00,98.46
3573.00,98.46
3572.00,98.46
3571.00,98.46
3570.00,98.45
3569.00,98.45
3568.00,98.45
3567.00,98.45
3566.00,98.45
3565.00,98.45
3564.00,98.45
3563.00,98.45
3562.00,98.45
3561.00,98.45
3560.00,98.45
3559.00,98.46
3558.00,98.46
3557.00,98.46
3556.00,98.45
3555.00,98.45
3554.00,98.45
3553.00,98.45
3552.00,98.45
3551.00,98.45
3550.00,98.45
3549.00,98.45
3548.00,98.45
3547.00,98.45
3546.00,98.45
3545.00,98.45
3544.00,98.45
3543.00,98.45
3542.00,98.45
3541.00,98.46
3540.00,98.46
3539.00,98.46
3538.00,98.46
3537.00,98.46
3536.00,98.46
3535.00,98.46
3534.00,98.46
3533.00,98.46
3532.00,98.46
3531.00,98.46
3530.00,98.46
3529.00,98.46
3528.00,98.46
3527.00,98.45
3526.00,98.45
3525.00,98.45
3524.00,98.46
3523.00,98.46
3522.00,98.46
3521.00,98.46
3520.00,98.46
3519.00,98.46
3518.00,98.46
3517.00,98.46
3516.00,98.46
3515.00,98.46
3514.00,98.46
3513.00,98.46
3512.00,98.46
3511.00,98.46
3510.00,98.45
3509.00,98.45
3508.00,98.45
3507.00,98.45
3506.00,98.45
3505.00,98.45
3504.00,98.45
3503.00,98.45
3502.00,98.45
3501.00,98.45
3500.00,98.45
3499.00,98.45
3498.00,98.45
3497.00,98.45
3496.00,98.45
3495.00,98.45
3494.00,98.45
3493.00,98.45
3492.00,98.45
3491.00,98.45
3490.00,98.45
3489.00,98.45
3488.00,98.45
3487.00,98.45
3486.00,98.45
3485.00,98.45
3484.00,98.45
3483.00,98.45
3482.00,98.45
3481.00,98.45
3480.00,98.45
3479.00,98.45
3478.00,98.46
3477.00,98.46
3476.00,98.46
3475.00,98.46
3474.00,98.46
3473.00,98.45
3472.00,98.45
3471.00,98.45
3470.00,98.45
3469.00,98.45
3468.00,98.45
3467.00,98.45
3466.00,98.45
3465.00,98.45
3464.00,98.45
3463.00,98.45
3462.00,98.45
3461.00,98.45
3460.00,98.45
3459.00,98.45
3458.00,98.45
3457.00,98.45
3456.00,98.45
3455.00,98.45
3454.00,98.45
3453.00,98.45
3452.00,98.45
3451.00,98.45
3450.00,98.45
3449.00,98.45
3448.00,98.45
3447.00,98.45
3446.00,98.45
3445.00,98.45
3444.00,98.45
3443.00,98.45
3442.00,98.45
3441.00,98.45
3440.00,98.45
3439.00,98.45
3438.00,98.45
3437.00,98.45
3436.00,98.45
3435.00,98.45
3434.00,98.45
3433.00,98.45
3432.00,98.45
3431.00,98.45
3430.00,98.45
3429.00,98.45
3428.00,98.45
3427.00,98.45
3426.00,98.45
3425.00,98.45
3424.00,98.45
3423.00,98.45
3422.00,98.45
3421.00,98.45
3420.00,98.45
3419.00,98.45
3418.00,98.45
3417.00,98.45
3416.00,98.45
3415.00,98.45
3414.00,98.45
3413.00,98.45
3412.00,98.45
3411.00,98.45
3410.00,98.45
3409.00,98.45
3408.00,98.45
3407.00,98.45
3406.00,98.45
3405.00,98.45
3404.00,98.45
3403.00,98.45
3402.00,98.45
3401.00,98.45
3400.00,98.45
3399.00,98.45
3398.00,98.45
3397.00,98.45
3396.00,98.45
3395.00,98.45
3394.00,98.45
3393.00,98.45
3392.00,98.45
3391.00,98.45
3390.00,98.45
3389.00,98.46
3388.00,98.46
3387.00,98.46
3386.00,98.45
3385.00,98.45
3384.00,98.46
3383.00,98.46
3382.00,98.46
3381.00,98.46
3380.00,98.46
3379.00,98.46
3378.00,98.46
3377.00,98.46
3376.00,98.46
3375.00,98.46
3374.00,98.46
3373.00,98.46
3372.00,98.46
3371.00,98.46
3370.00,98.46
3369.00,98.46
