Created as New Dataset,Sample 396 By Analyst Date Monday, February 10 2025
cm-1,%T
4000.00,104.85
3999.00,104.85
3998.00,104.85
3997.00,104.85
3996.00,104.84
3995.00,104.84
3994.00,104.84
3993.00,104.84
3992.00,104.84
3991.00,104.83
3990.00,104.83
3989.00,104.83
3988.00,104.83
3987.00,104.83
3986.00,104.83
3985.00,104.83
3984.00,104.82
3983.00,104.82
3982.00,104.82
3981.00,104.82
3980.00,104.82
3979.00,104.82
3978.00,104.82
3977.00,104.82
3976.00,104.82
3975.00,104.82
3974.00,104.83
3973.00,104.83
3972.00,104.83
3971.00,104.83
3970.00,104.83
3969.00,104.83
3968.00,104.83
3967.00,104.83
3966.00,104.83
3965.00,104.84
3964.00,104.84
3963.00,104.84
3962.00,104.84
3961.00,104.84
3960.00,104.84
3959.00,104.84
3958.00,104.84
3957.00,104.84
3956.00,104.84
3955.00,104.85
3954.00,104.85
3953.00,104.85
3952.00,104.85
3951.00,104.84
3950.00,104.84
3949.00,104.84
3948.00,104.84
3947.00,104.84
3946.00,104.84
3945.00,104.84
3944.00,104.84
3943.00,104.84
3942.00,104.84
3941.00,104.84
3940.00,104.83
3939.00,104.83
3938.00,104.83
3937.00,104.83
3936.00,104.83
3935.00,104.83
3934.00,104.83
3933.00,104.83
3932.00,104.82
3931.00,104.82
3930.00,104.82
3929.00,104.82
3928.00,104.82
3927.00,104.82
3926.00,104.82
3925.00,104.82
3924.00,104.82
3923.00,104.82
3922.00,104.82
3921.00,104.82
3920.00,104.82
3919.00,104.82
3918.00,104.82
3917.00,104.81
3916.00,104.82
3915.00,104.82
3914.00,104.82
3913.00,104.82
3912.00,104.82
3911.00,104.83
3910.00,104.83
3909.00,104.83
3908.00,104.83
3907.00,104.82
3906.00,104.82
3905.00,104.81
3904.00,104.81
3903.00,104.80
3902.00,104.80
3901.00,104.79
3900.00,104.79
3899.00,104.80
3898.00,104.80
3897.00,104.80
3896.00,104.81
3895.00,104.81
3894.00,104.81
3893.00,104.81
3892.00,104.81
3891.00,104.82
3890.00,104.81
3889.00,104.81
3888.00,104.80
3887.00,104.80
3886.00,104.80
3885.00,104.80
3884.00,104.80
3883.00,104.79
3882.00,104.79
3881.00,104.79
3880.00,104.80
3879.00,104.80
3878.00,104.80
3877.00,104.80
3876.00,104.79
3875.00,104.80
3874.00,104.80
3873.00,104.80
3872.00,104.79
3871.00,104.78
3870.00,104.78
3869.00,104.79
3868.00,104.78
3867.00,104.78
3866.00,104.78
3865.00,104.79
3864.00,104.79
3863.00,104.80
3862.00,104.80
3861.00,104.80
3860.00,104.80
3859.00,104.81
3858.00,104.81
3857.00,104.81
3856.00,104.81
3855.00,104.81
3854.00,104.80
3853.00,104.79
3852.00,104.79
3851.00,104.78
3850.00,104.79
3849.00,104.80
3848.00,104.81
3847.00,104.81
3846.00,104.82
3845.00,104.82
3844.00,104.82
3843.00,104.82
3842.00,104.82
3841.00,104.81
3840.00,104.81
3839.00,104.80
3838.00,104.80
3837.00,104.79
3836.00,104.79
3835.00,104.79
3834.00,104.79
3833.00,104.79
3832.00,104.80
3831.00,104.80
3830.00,104.80
3829.00,104.80
3828.00,104.80
3827.00,104.80
3826.00,104.80
3825.00,104.80
3824.00,104.79
3823.00,104.78
3822.00,104.78
3821.00,104.78
3820.00,104.78
3819.00,104.77
3818.00,104.76
3817.00,104.76
3816.00,104.77
3815.00,104.77
3814.00,104.77
3813.00,104.78
3812.00,104.78
3811.00,104.79
3810.00,104.79
3809.00,104.79
3808.00,104.79
3807.00,104.79
3806.00,104.79
3805.00,104.78
3804.00,104.78
3803.00,104.77
3802.00,104.78
3801.00,104.78
3800.00,104.78
3799.00,104.78
3798.00,104.78
3797.00,104.79
3796.00,104.80
3795.00,104.80
3794.00,104.81
3793.00,104.81
3792.00,104.81
3791.00,104.82
3790.00,104.82
3789.00,104.82
3788.00,104.82
3787.00,104.82
3786.00,104.82
3785.00,104.82
3784.00,104.82
3783.00,104.82
3782.00,104.81
3781.00,104.81
3780.00,104.81
3779.00,104.81
3778.00,104.81
3777.00,104.81
3776.00,104.81
3775.00,104.81
3774.00,104.81
3773.00,104.81
3772.00,104.80
3771.00,104.80
3770.00,104.80
3769.00,104.80
3768.00,104.80
3767.00,104.80
3766.00,104.80
3765.00,104.80
3764.00,104.80
3763.00,104.80
3762.00,104.80
3761.00,104.80
3760.00,104.80
3759.00,104.80
3758.00,104.80
3757.00,104.80
3756.00,104.80
3755.00,104.79
3754.00,104.79
3753.00,104.78
3752.00,104.77
3751.00,104.77
3750.00,104.76
3749.00,104.76
3748.00,104.76
3747.00,104.75
3746.00,104.75
3745.00,104.76
3744.00,104.76
3743.00,104.76
3742.00,104.76
3741.00,104.76
3740.00,104.77
3739.00,104.77
3738.00,104.76
3737.00,104.76
3736.00,104.76
3735.00,104.76
3734.00,104.76
3733.00,104.76
3732.00,104.76
3731.00,104.76
3730.00,104.76
3729.00,104.76
3728.00,104.76
3727.00,104.76
3726.00,104.77
3725.00,104.77
3724.00,104.76
3723.00,104.76
3722.00,104.77
3721.00,104.77
3720.00,104.77
3719.00,104.77
3718.00,104.77
3717.00,104.77
3716.00,104.76
3715.00,104.76
3714.00,104.75
3713.00,104.75
3712.00,104.74
3711.00,104.74
3710.00,104.75
3709.00,104.75
3708.00,104.76
3707.00,104.76
3706.00,104.77
3705.00,104.78
3704.00,104.78
3703.00,104.79
3702.00,104.80
3701.00,104.81
3700.00,104.81
3699.00,104.81
3698.00,104.81
3697.00,104.82
3696.00,104.82
3695.00,104.82
3694.00,104.82
3693.00,104.82
3692.00,104.82
3691.00,104.83
3690.00,104.83
3689.00,104.83
3688.00,104.83
3687.00,104.83
3686.00,104.83
3685.00,104.83
3684.00,104.84
3683.00,104.84
3682.00,104.84
3681.00,104.85
3680.00,104.85
3679.00,104.84
3678.00,104.83
3677.00,104.82
3676.00,104.82
3675.00,104.82
3674.00,104.81
3673.00,104.80
3672.00,104.80
3671.00,104.80
3670.00,104.81
3669.00,104.81
3668.00,104.82
3667.00,104.82
3666.00,104.83
3665.00,104.83
3664.00,104.84
3663.00,104.84
3662.00,104.84
3661.00,104.84
3660.00,104.84
3659.00,104.84
3658.00,104.84
3657.00,104.83
3656.00,104.83
3655.00,104.83
3654.00,104.82
3653.00,104.81
3652.00,104.81
3651.00,104.80
3650.00,104.80
3649.00,104.80
3648.00,104.80
3647.00,104.80
3646.00,104.80
3645.00,104.81
3644.00,104.82
3643.00,104.82
3642.00,104.83
3641.00,104.84
3640.00,104.84
3639.00,104.84
3638.00,104.84
3637.00,104.84
3636.00,104.84
3635.00,104.84
3634.00,104.83
3633.00,104.83
3632.00,104.82
3631.00,104.82
3630.00,104.81
3629.00,104.81
3628.00,104.81
3627.00,104.80
3626.00,104.80
3625.00,104.81
3624.00,104.81
3623.00,104.82
3622.00,104.82
3621.00,104.82
3620.00,104.82
3619.00,104.82
3618.00,104.82
3617.00,104.81
3616.00,104.81
3615.00,104.80
3614.00,104.80
3613.00,104.80
3612.00,104.80
3611.00,104.80
3610.00,104.80
3609.00,104.80
3608.00,104.80
3607.00,104.81
3606.00,104.81
3605.00,104.82
3604.00,104.82
3603.00,104.82
3602.00,104.83
3601.00,104.83
3600.00,104.83
3599.00,104.83
3598.00,104.83
3597.00,104.84
3596.00,104.84
3595.00,104.84
3594.00,104.84
3593.00,104.84
3592.00,104.84
3591.00,104.84
3590.00,104.84
3589.00,104.84
3588.00,104.84
3587.00,104.85
3586.00,104.85
3585.00,104.85
3584.00,104.86
3583.00,104.86
3582.00,104.86
3581.00,104.87
3580.00,104.87
