Created as New Dataset,Sample 052 By Analyst Date Wednesday, February 12 2025
cm-1,%T
4000.00,91.68
3998.00,91.68
3996.00,91.68
3994.00,91.68
3992.00,91.68
3990.00,91.68
3988.00,91.68
3986.00,91.68
3984.00,91.68
3982.00,91.67
3980.00,91.67
3978.00,91.67
3976.00,91.67
3974.00,91.67
3972.00,91.67
3970.00,91.67
3968.00,91.67
3966.00,91.67
3964.00,91.67
3962.00,91.67
3960.00,91.67
3958.00,91.67
3956.00,91.67
3954.00,91.67
3952.00,91.67
3950.00,91.66
3948.00,91.66
3946.00,91.66
3944.00,91.66
3942.00,91.65
3940.00,91.65
3938.00,91.65
3936.00,91.65
3934.00,91.65
3932.00,91.65
3930.00,91.65
3928.00,91.65
3926.00,91.65
3924.00,91.65
3922.00,91.65
3920.00,91.65
3918.00,91.65
3916.00,91.65
3914.00,91.64
3912.00,91.65
3910.00,91.65
3908.00,91.65
3906.00,91.65
3904.00,91.65
3902.00,91.65
3900.00,91.64
3898.00,91.64
3896.00,91.64
3894.00,91.64
3892.00,91.64
3890.00,91.65
3888.00,91.65
3886.00,91.65
3884.00,91.65
3882.00,91.65
3880.00,91.65
3878.00,91.65
3876.00,91.66
3874.00,91.66
3872.00,91.66
3870.00,91.66
3868.00,91.66
3866.00,91.66
3864.00,91.66
3862.00,91.67
3860.00,91.67
3858.00,91.67
3856.00,91.68
3854.00,91.68
3852.00,91.67
3850.00,91.67
3848.00,91.67
3846.00,91.67
3844.00,91.67
3842.00,91.68
3840.00,91.68
3838.00,91.68
3836.00,91.68
3834.00,91.68
3832.00,91.67
3830.00,91.67
3828.00,91.67
3826.00,91.67
3824.00,91.68
3822.00,91.68
3820.00,91.68
3818.00,91.68
3816.00,91.68
3814.00,91.67
3812.00,91.67
3810.00,91.67
3808.00,91.68
3806.00,91.68
3804.00,91.68
3802.00,91.68
3800.00,91.67
3798.00,91.67
3796.00,91.66
3794.00,91.65
3792.00,91.65
3790.00,91.65
3788.00,91.65
3786.00,91.65
3784.00,91.65
3782.00,91.64
3780.00,91.64
3778.00,91.64
3776.00,91.63
3774.00,91.63
3772.00,91.63
3770.00,91.63
3768.00,91.64
3766.00,91.64
3764.00,91.64
3762.00,91.65
3760.00,91.65
3758.00,91.66
3756.00,91.67
3754.00,91.67
3752.00,91.68
3750.00,91.68
3748.00,91.68
3746.00,91.68
3744.00,91.68
3742.00,91.68
3740.00,91.68
3738.00,91.68
3736.00,91.68
3734.00,91.68
3732.00,91.67
3730.00,91.67
3728.00,91.66
3726.00,91.65
3724.00,91.65
3722.00,91.65
3720.00,91.65
3718.00,91.65
3716.00,91.65
3714.00,91.65
3712.00,91.65
3710.00,91.64
3708.00,91.64
3706.00,91.64
3704.00,91.63
3702.00,91.63
3700.00,91.63
3698.00,91.64
3696.00,91.64
3694.00,91.64
3692.00,91.63
3690.00,91.63
3688.00,91.62
3686.00,91.62
3684.00,91.62
3682.00,91.62
3680.00,91.62
3678.00,91.63
3676.00,91.63
3674.00,91.63
3672.00,91.63
3670.00,91.62
3668.00,91.62
3666.00,91.61
3664.00,91.61
3662.00,91.62
3660.00,91.63
3658.00,91.63
3656.00,91.64
3654.00,91.64
3652.00,91.63
3650.00,91.63
3648.00,91.62
3646.00,91.62
3644.00,91.61
3642.00,91.61
3640.00,91.61
3638.00,91.62
3636.00,91.62
3634.00,91.62
3632.00,91.61
3630.00,91.61
3628.00,91.60
3626.00,91.59
3624.00,91.59
3622.00,91.58
3620.00,91.59
3618.00,91.59
3616.00,91.59
3614.00,91.59
3612.00,91.59
3610.00,91.59
3608.00,91.59
3606.00,91.59
3604.00,91.59
3602.00,91.59
3600.00,91.59
3598.00,91.59
3596.00,91.59
3594.00,91.59
3592.00,91.59
3590.00,91.58
3588.00,91.58
3586.00,91.58
3584.00,91.57
3582.00,91.57
3580.00,91.57
3578.00,91.57
3576.00,91.57
3574.00,91.57
3572.00,91.57
3570.00,91.57
3568.00,91.57
3566.00,91.56
3564.00,91.56
3562.00,91.56
3560.00,91.56
3558.00,91.56
3556.00,91.56
3554.00,91.56
3552.00,91.56
3550.00,91.56
3548.00,91.56
3546.00,91.56
3544.00,91.56
3542.00,91.56
3540.00,91.55
3538.00,91.55
3536.00,91.55
3534.00,91.55
3532.00,91.55
3530.00,91.55
3528.00,91.55
3526.00,91.55
3524.00,91.55
3522.00,91.55
3520.00,91.55
3518.00,91.55
3516.00,91.55
3514.00,91.55
3512.00,91.55
3510.00,91.55
3508.00,91.56
3506.00,91.56
3504.00,91.56
3502.00,91.56
3500.00,91.56
3498.00,91.56
3496.00,91.56
3494.00,91.57
3492.00,91.57
3490.00,91.57
3488.00,91.57
3486.00,91.57
3484.00,91.57
3482.00,91.57
3480.00,91.56
3478.00,91.56
3476.00,91.56
3474.00,91.56
3472.00,91.56
3470.00,91.56
3468.00,91.55
3466.00,91.55
3464.00,91.55
3462.00,91.55
3460.00,91.55
3458.00,91.55
3456.00,91.55
3454.00,91.54
3452.00,91.54
3450.00,91.54
3448.00,91.54
3446.00,91.54
3444.00,91.54
3442.00,91.54
3440.00,91.54
3438.00,91.54
3436.00,91.54
3434.00,91.55
3432.00,91.55
3430.00,91.55
3428.00,91.54
3426.00,91.54
3424.00,91.54
3422.00,91.54
3420.00,91.54
3418.00,91.54
3416.00,91.54
3414.00,91.55
3412.00,91.55
3410.00,91.55
3408.00,91.55
3406.00,91.55
3404.00,91.56
3402.00,91.56
3400.00,91.56
3398.00,91.57
3396.00,91.57
3394.00,91.57
3392.00,91.57
3390.00,91.57
3388.00,91.57
3386.00,91.57
3384.00,91.57
3382.00,91.58
3380.00,91.58
3378.00,91.58
3376.00,91.58
3374.00,91.58
3372.00,91.57
3370.00,91.57
3368.00,91.57
3366.00,91.57
3364.00,91.57
3362.00,91.56
3360.00,91.56
3358.00,91.56
3356.00,91.56
3354.00,91.56
3352.00,91.56
3350.00,91.56
3348.00,91.56
3346.00,91.56
3344.00,91.56
3342.00,91.56
3340.00,91.56
3338.00,91.56
3336.00,91.56
3334.00,91.56
3332.00,91.56
3330.00,91.56
3328.00,91.56
3326.00,91.56
3324.00,91.56
3322.00,91.56
3320.00,91.56
3318.00,91.55
3316.00,91.55
3314.00,91.55
3312.00,91.55
3310.00,91.55
3308.00,91.55
3306.00,91.55
3304.00,91.54
3302.00,91.54
3300.00,91.54
3298.00,91.54
3296.00,91.54
3294.00,91.55
3292.00,91.55
3290.00,91.55
3288.00,91.55
3286.00,91.55
3284.00,91.56
3282.00,91.56
3280.00,91.56
3278.00,91.56
3276.00,91.56
3274.00,91.56
3272.00,91.56
3270.00,91.56
3268.00,91.56
3266.00,91.55
3264.00,91.55
3262.00,91.55
3260.00,91.55
3258.00,91.55
3256.00,91.55
3254.00,91.55
3252.00,91.55
3250.00,91.55
3248.00,91.55
3246.00,91.55
3244.00,91.55
3242.00,91.55
3240.00,91.55
3238.00,91.55
3236.00,91.55
3234.00,91.55
3232.00,91.55
3230.00,91.55
3228.00,91.55
3226.00,91.55
3224.00,91.55
3222.00,91.55
3220.00,91.55
3218.00,91.55
3216.00,91.55
3214.00,91.55
3212.00,91.54
3210.00,91.54
3208.00,91.54
3206.00,91.54
3204.00,91.54
3202.00,91.53
3200.00,91.53
3198.00,91.53
3196.00,91.53
3194.00,91.53
3192.00,91.53
3190.00,91.53
3188.00,91.53
3186.00,91.53
3184.00,91.53
3182.00,91.53
3180.00,91.53
3178.00,91.53
3176.00,91.53
3174.00,91.53
3172.00,91.53
3170.00,91.53
3168.00,91.53
3166.00,91.53
3164.00,91.52
3162.00,91.52
3160.00,91.52
3158.00,91.52
3156.00,91.52
3154.00,91.52
3152.00,91.52
3150.00,91.52
3148.00,91.52
3146.00,91.52
3144.00,91.52
3142.00,91.52
3140.00,91.52
3138.00,91.52
3136.00,91.52
3134.00,91.52
3132.00,91.52
3130.00,91.52
3128.00,91.52
3126.00,91.53
3124.00,91.53
3122.00,91.53
3120.00,91.53
3118.00,91.53
3116.00,91.52
3114.00,91.52
3112.00,91.52
3110.00,91.52
3108.00,91.52
3106.00,91.51
3104.00,91.51
3102.00,91.51
3100.00,91.50
3098.00,91.50
3096.00,91.50
3094.00,91.50
3092.00,91.50
3090.00,91.49
3088.00,91.49
3086.00,91.49
3084.00,91.49
3082.00,91.49
3080.00,91.49
3078.00,91.49
3076.00,91.49
3074.00,91.49
3072.00,91.49
3070.00,91.49
3068.00,91.49
3066.00,91.49
3064.00,91.49
3062.00,91.49
3060.00,91.49
3058.00,91.49
3056.00,91.49
3054.00,91.49
3052.00,91.49
3050.00,91.49
3048.00,91.49
3046.00,91.49
3044.00,91.49
3042.00,91.49
3040.00,91.49
3038.00,91.49
3036.00,91.49
3034.00,91.49
3032.00,91.49
3030.00,91.49
3028.00,91.49
3026.00,91.49
3024.00,91.49
3022.00,91.50
3020.00,91.50
3018.00,91.50
3016.00,91.50
3014.00,91.50
3012.00,91.50
3010.00,91.50
3008.00,91.50
3006.00,91.49
3004.00,91.49
3002.00,91.49
3000.00,91.49
2998.00,91.49
2996.00,91.48
2994.00,91.48
2992.00,91.48
2990.00,91.48
2988.00,91.48
2986.00,91.48
2984.00,91.48
2982.00,91.48
2980.00,91.48
2978.00,91.48
2976.00,91.48
2974.00,91.48
2972.00,91.48
2970.00,91.48
2968.00,91.48
2966.00,91.49
2964.00,91.49
2962.00,91.49
2960.00,91.49
2958.00,91.49
2956.00,91.49
2954.00,91.49
2952.00,91.49
2950.00,91.49
2948.00,91.49
2946.00,91.49
2944.00,91.49
2942.00,91.49
2940.00,91.49
2938.00,91.49
2936.00,91.48
2934.00,91.48
2932.00,91.48
2930.00,91.49
2928.00,91.49
2926.00,91.49
2924.00,91.49
2922.00,91.49
2920.00,91.49
2918.00,91.49
2916.00,91.50
2914.00,91.50
2912.00,91.50
2910.00,91.49
2908.00,91.49
2906.00,91.49
2904.00,91.49
2902.00,91.49
2900.00,91.49
2898.00,91.48
2896.00,91.48
2894.00,91.48
2892.00,91.48
2890.00,91.48
2888.00,91.48
2886.00,91.47
2884.00,91.47
2882.00,91.47
2880.00,91.47
2878.00,91.47
2876.00,91.47
2874.00,91.47
2872.00,91.48
2870.00,91.48
2868.00,91.48
2866.00,91.48
2864.00,91.49
2862.00,91.49
2860.00,91.49
2858.00,91.49
2856.00,91.49
2854.00,91.49
2852.00,91.50
2850.00,91.50
2848.00,91.50
2846.00,91.49
2844.00,91.49
2842.00,91.49
2840.00,91.49
2838.00,91.49
2836.00,91.49
2834.00,91.48
2832.00,91.48
2830.00,91.48
2828.00,91.48
2826.00,91.48
2824.00,91.48
2822.00,91.48
2820.00,91.48
2818.00,91.48
2816.00,91.48
2814.00,91.48
2812.00,91.48
2810.00,91.48
2808.00,91.48
