Created as New Dataset,Sample 033 By Analyst Date Thursday, March 27 2025
cm-1,A
4000.00,-0.0971
3999.00,-0.0971
3998.00,-0.0971
3997.00,-0.0971
3996.00,-0.0971
3995.00,-0.0970
3994.00,-0.0970
3993.00,-0.0970
3992.00,-0.0970
3991.00,-0.0970
3990.00,-0.0969
3989.00,-0.0969
3988.00,-0.0969
3987.00,-0.0969
3986.00,-0.0969
3985.00,-0.0969
3984.00,-0.0968
3983.00,-0.0968
3982.00,-0.0968
3981.00,-0.0968
3980.00,-0.0968
3979.00,-0.0967
3978.00,-0.0967
3977.00,-0.0967
3976.00,-0.0967
3975.00,-0.0966
3974.00,-0.0966
3973.00,-0.0966
3972.00,-0.0966
3971.00,-0.0966
3970.00,-0.0966
3969.00,-0.0966
3968.00,-0.0966
3967.00,-0.0965
3966.00,-0.0965
3965.00,-0.0965
3964.00,-0.0965
3963.00,-0.0965
3962.00,-0.0965
3961.00,-0.0965
3960.00,-0.0965
3959.00,-0.0965
3958.00,-0.0965
3957.00,-0.0965
3956.00,-0.0966
3955.00,-0.0966
3954.00,-0.0966
3953.00,-0.0966
3952.00,-0.0966
3951.00,-0.0965
3950.00,-0.0965
3949.00,-0.0965
3948.00,-0.0965
3947.00,-0.0965
3946.00,-0.0965
3945.00,-0.0965
3944.00,-0.0965
3943.00,-0.0965
3942.00,-0.0965
3941.00,-0.0965
3940.00,-0.0965
3939.00,-0.0965
3938.00,-0.0965
3937.00,-0.0965
3936.00,-0.0964
3935.00,-0.0964
3934.00,-0.0964
3933.00,-0.0964
3932.00,-0.0964
3931.00,-0.0963
3930.00,-0.0963
3929.00,-0.0963
3928.00,-0.0963
3927.00,-0.0963
3926.00,-0.0962
3925.00,-0.0962
3924.00,-0.0962
3923.00,-0.0962
3922.00,-0.0962
3921.00,-0.0961
3920.00,-0.0961
3919.00,-0.0961
3918.00,-0.0961
3917.00,-0.0961
3916.00,-0.0961
3915.00,-0.0960
3914.00,-0.0961
3913.00,-0.0961
3912.00,-0.0961
3911.00,-0.0961
3910.00,-0.0961
3909.00,-0.0960
3908.00,-0.0960
3907.00,-0.0960
3906.00,-0.0960
3905.00,-0.0959
3904.00,-0.0959
3903.00,-0.0958
3902.00,-0.0958
3901.00,-0.0958
3900.00,-0.0958
3899.00,-0.0958
3898.00,-0.0958
3897.00,-0.0959
