Created as New Dataset,Sample 014 By Analyst Date Friday, March 28 2025
cm-1,A
4000.00,0.0125
3999.00,0.0125
3998.00,0.0125
3997.00,0.0125
3996.00,0.0125
3995.00,0.0125
3994.00,0.0126
3993.00,0.0126
3992.00,0.0126
3991.00,0.0125
3990.00,0.0125
3989.00,0.0126
3988.00,0.0126
3987.00,0.0126
3986.00,0.0126
3985.00,0.0126
3984.00,0.0126
3983.00,0.0126
3982.00,0.0126
3981.00,0.0126
3980.00,0.0126
3979.00,0.0126
3978.00,0.0126
3977.00,0.0126
3976.00,0.0126
3975.00,0.0126
3974.00,0.0126
3973.00,0.0126
3972.00,0.0126
3971.00,0.0126
3970.00,0.0126
3969.00,0.0126
3968.00,0.0126
3967.00,0.0126
3966.00,0.0126
3965.00,0.0126
3964.00,0.0126
3963.00,0.0126
3962.00,0.0126
3961.00,0.0127
3960.00,0.0127
3959.00,0.0126
3958.00,0.0126
3957.00,0.0126
3956.00,0.0126
3955.00,0.0127
3954.00,0.0127
3953.00,0.0127
3952.00,0.0127
3951.00,0.0127
3950.00,0.0128
3949.00,0.0128
3948.00,0.0128
3947.00,0.0128
3946.00,0.0128
3945.00,0.0128
3944.00,0.0128
3943.00,0.0128
3942.00,0.0128
3941.00,0.0128
3940.00,0.0128
3939.00,0.0127
3938.00,0.0127
3937.00,0.0128
3936.00,0.0128
3935.00,0.0128
3934.00,0.0129
3933.00,0.0129
3932.00,0.0129
3931.00,0.0129
3930.00,0.0129
3929.00,0.0129
3928.00,0.0129
3927.00,0.0129
3926.00,0.0129
3925.00,0.0129
3924.00,0.0129
3923.00,0.0130
3922.00,0.0130
3921.00,0.0130
3920.00,0.0130
3919.00,0.0130
3918.00,0.0130
3917.00,0.0129
3916.00,0.0129
3915.00,0.0129
3914.00,0.0128
3913.00,0.0128
3912.00,0.0127
3911.00,0.0128
3910.00,0.0128
3909.00,0.0129
3908.00,0.0130
3907.00,0.0131
3906.00,0.0132
3905.00,0.0133
3904.00,0.0135
3903.00,0.0135
3902.00,0.0135
3901.00,0.0133
3900.00,0.0132
3899.00,0.0132
3898.00,0.0132
3897.00,0.0132
3896.00,0.0131
3895.00,0.0131
3894.00,0.0131
3893.00,0.0130
3892.00,0.0130
3891.00,0.0131
3890.00,0.0132
3889.00,0.0133
3888.00,0.0132
3887.00,0.0131
3886.00,0.0132
3885.00,0.0133
3884.00,0.0134
3883.00,0.0133
3882.00,0.0131
3881.00,0.0130
